pageid	ns	title	lang
8700159	14	Category:'Are'are terms with IPA pronunciation	'Are'are
7889864	14	Category:A-Hmao terms with IPA pronunciation	A-Hmao
4688756	14	Category:Abau terms with IPA pronunciation	Abau
4688449	14	Category:Abaza terms with IPA pronunciation	Abaza
4688962	14	Category:Abenaki terms with IPA pronunciation	Abenaki
4688437	14	Category:Abkhaz terms with IPA pronunciation	Abkhaz
6526308	14	Category:Acehnese terms with IPA pronunciation	Acehnese
5790867	14	Category:Achang terms with IPA pronunciation	Achang
6071275	14	Category:Achumawi terms with IPA pronunciation	Achumawi
4688329	14	Category:Adyghe terms with IPA pronunciation	Adyghe
4688936	14	Category:Afar terms with IPA pronunciation	Afar
4688334	14	Category:Afrikaans terms with IPA pronunciation	Afrikaans
7406786	14	Category:Aghwan terms with IPA pronunciation	Aghwan
6084017	14	Category:Aguacateca terms with IPA pronunciation	Aguacateca
6071212	14	Category:Agutaynen terms with IPA pronunciation	Agutaynen
4972953	14	Category:Ahtna terms with IPA pronunciation	Ahtna
8690883	14	Category:Ai-Cham terms with IPA pronunciation	Ai-Cham
4688477	14	Category:Ainu terms with IPA pronunciation	Ainu
5787576	14	Category:Aiton terms with IPA pronunciation	Aiton
5842757	14	Category:Ajië terms with IPA pronunciation	Ajië
4688920	14	Category:Akan terms with IPA pronunciation	Akan
5462339	14	Category:Akha terms with IPA pronunciation	Akha
4691448	14	Category:Akkadian terms with IPA pronunciation	Akkadian
5071332	14	Category:Aklanon terms with IPA pronunciation	Aklanon
5429481	14	Category:Akoye terms with IPA pronunciation	Akoye
5388462	14	Category:Akuntsu terms with IPA pronunciation	Akuntsu
4691501	14	Category:Alamblak terms with IPA pronunciation	Alamblak
4688115	14	Category:Albanian terms with IPA pronunciation	Albanian
8007693	14	Category:Alekano terms with IPA pronunciation	Alekano
4688362	14	Category:Alemannic German terms with IPA pronunciation	Alemannic German
4688807	14	Category:Aleut terms with IPA pronunciation	Aleut
7441879	14	Category:Algerian Arabic terms with IPA pronunciation	Algerian Arabic
4688719	14	Category:Algonquin terms with IPA pronunciation	Algonquin
4688880	14	Category:Alutor terms with IPA pronunciation	Alutor
4688498	14	Category:Alviri-Vidari terms with IPA pronunciation	Alviri-Vidari
4688421	14	Category:Ama terms with IPA pronunciation	Ama
4688841	14	Category:Amanab terms with IPA pronunciation	Amanab
