word	ipa	pageid
achiperres	/a.t͡ʃi.ˈpe.res/	4083258
alavez	/alaˈβeθ/	8532362
amallatar	/a.ma.ʎa.ˈta(ɾ)/	4707235
aragonés	[aɾaɣoˈnes]	1018164
aturar	/a.tu.ˈɾa(ɾ)/	2076403
bomber	/bom.ˈbeɾ/, /bom.ˈbe/	73500
borina	/bo.ɾi.na/	4972112
caixico	/kaˈʃi.ko/, /kajˈʃi.ko/	3717961
casalizo	/ka.sa.ˈli.θo/, an, /ka.sa.ˈli.so/	4707240
charrador	/t͡ʃa.ra.ˈdor/, /t͡ʃa.ra.ˈdo/	3927358
chicotén	/t͡ʃi.ko.ˈten/	4532463
chincharana	/t͡ʃint͡ʃaˈɾana/	4083298
chirmán	/t͡ʃirˈmaɳ/	4351906
choliba	/t͡ʃo.ˈli.ba/	4560476
cometas	/ko.ˈme.tas/, an, /ko.ˈme.tes/	367960
cosa	/ˈko.sa/	83651
cullebra	/kuˈʎe.bɾa/	6735351
cullebra diamán	/kuˈʎe.bɾa djaˈman/	5185021
enguerau	/en.ɡe.ˈɾaw/	4972160
escarabaxo	/eskaraˈβaʃo/, /eskaraˈβaθʃo/	43797
falcada	/fal.ˈka.da/	4707247
falordia	/fa.ˈloɾ.dja/	4532382
flors	/flos/	984024
fornica	/forˈnika/, /forˈniɣa/	43786
garra	/ˈɡa.ra/	328900
hache	/ˈat͡ʃe/	229051
ibón	/iˈβon/	43207
mallata	/ma.ˈʎa.ta/	1489485
mosal	/mo.ˈsal/	4083369
pas	/pas/	60718
paxaro	/pa(j)ˈʃaro/	43810
pedaleta	/pe.da.ˈle.ta/	4083346
plata	/ˈpla.ta/	5714
santmigalada	/sanmiɡaˈlada/	4081335
tozino	[toˈθino]	8046722
truco	/ˈtɾu.ko/	627081
zernillón	/θeɾ.ni.ˈʎon/, an, /seɾ.ni.ˈʎon/	4083321
