word	ipa	pageid
aa	/aː/	17051
Adabei	/aːd̥aˈb̥aɛ̯/, bar, /aːd̥aˈb̥æː/	8571444
amoi	[ˈaːmɔe], 	6898557
Aug	/ao̯ɡ̥/, bar, /ɒːɡ̥/	74130
Bam	/ˈb̥aːm/	3057414
Beisl	/ˈb̥aɛsl̩/, bar, /ˈb̥æːsl̩/, /ˈb̥æːsɫ/	8520469
Butta	/ˈbuta/	8137868
büsln	/ˈb̥yːsl̩n/	8571588
Dichter	/ˈdiçta/	311578
-er	/-a/	40836
es	/es/, [es]	33291
eß	/es/, [es]	6686910
Freida	/ˈfraɪ̯dà/	6223646
Fruahjåhr	/ˈfruɐ̯ˌjɔa̯/	8183258
Gatsch	/ɡ̥ad̥ʃ/	8575818
gfreun	/ˈkfræːn/	8183100
Gscheidwaschl	[ˈɡʃaɪ̯tvaʃl̩]	7030958
gstinkert	/ˈɡschdinɡàd/	8734614
hatschen		8565309
Haus	[haːu̯z̥], bar, [haːi̯z̥ɐ], bar, [hɒːs], bar, [hæz̥ɐ]	1512
Jåhr	/jɔa̯/	8255557
Kafää	/kaˈfeː/	7769781
Kas	/kaːs/	8570082
Kasler	/kaːslɐ/	8586126
Kiberei		8565215
Kiberer		8565167
Kieberei		8565212
Kieberer		8565156
Kind	/ˈkʰint/	136635
Koda	[ˈkɔːda]	6291062
Kåda	[kɔːda]	7652047
Mezzie	/meˈd̥siː/	8573766
Minga	/ˈmɪŋ(ː)ɐ/	1916490
-n	/-n/, /-n̩/	55349
net	/ˈnet/, /ˈnɛt/	34115
Oachkatzlschwoaf	[ˈoa̯xkat͡sl̩ˌʃwoa̯f]	7202643
Packerl		8564594
Paläster	/paˈlɛsta/	8183464
palästern	/paˈlɛstaːn/	8183456
Pfinzda	/ˈp͡finzdà/	6223645
Påår	/ˈpɔa̯/	8183547
påår	/ˈpɔa̯/	8183548
rass	/ràss/	605320
Sackerl		4222737
Salzstangel		8565032
Samsda	/ˈsamsdà/	6223647
schiaßen	/ˈʃiɐ̯sn̩/	8183228
Schnapsidee	/ˈʃnɔpsiˌtɛ/	6464427
Speis	/ʃb̥aɛ̯s/, /ʃb̥aɪ̯s/	8575661
Sun	/ˈsun/	159443
Sunnda	/ˈsunndà/	6223648
Tanz	/d̥ɒnd̥͡s/, bar, /d̥ɒ̃ːnd̥͡s/	201729
tuan	/ˈtua̯n/	181251
und	/ˈunt/	44225
vü	/fʏ/, /fʏː/	3548011
wei	/vaɪ̯/	5012
wieder	/ˈvita/	182213
Wien	/ˈvin/, /ˈvɛa̯n/, dated	53437
Wind	/ˈvint/	170067
wissen	/ˈvisːn̩/	194791
Wossa	[ˈvɔsa]	4809299
wårm	/ˈvɔa̯m/	8138231
Zechn	/ˈtseːçn̩/	8570678
ziagn	/ˈt͡siɐ̯kn̩/	7447890
zwischen	/ˈt͡sviʃn̩/	37906
zårt	/ˈt͡sɔa̯t/	8182924
ös	/es/, [es]	1400723
öß	/es/, [es]	6686916
