word	ipa	pageid
a-bezh	/aˈbeːs/	8518650
a-walc'h	/a walχ/	1077338
a-wezhioù	/a.ˈwe.ʃu/	3478263
abad	/ˈɑː.bat/	49043
abaded	/aˈbɑː.det/	1956087
abardaez	/a.bar.ˈdaɛs/	3432032
adanv	/aˈdãnw/, /aˈdãː.no/	8519254
adarre	/ˈa.da.ʁe/	1170936
adliester	/adliˈestɛr/	8519620
adverb	/ˈad.vɛrp/	1915
aer	/ɛʁ/	45955
aerlestr	/ˈɛʁlest/, /ˈɛʁlestʁ/	3475965
aerlistri	/ɛʁˈlistʁi/	3475966
aes	/ɛz/	209490
albaneg	/albãːnek/	1971450
albanek	/albãːnek/	1971454
alc'hwez	[ˈal.ɣwe], [ˈal.ɣwɛs]	280030
alies	/aˈliːes/	1170916
all	/ˈalː/	4348
amann	/ã.ˈmãnː/	1043877
amañ	/ˈã.mːã/	1064283
amezeg	/ãˈmeːzek/	8569033
amezegez	/ã.meˈzeː.ɡes/	8569050
amprevanoniezh	/ãmprevãnɔ̃ˈniːɛs/	8485623
amzer-da-zont	/ˌãmzɛrdaˈzõnt/	1158544
amzer-dremenet	/ˌãmzɛrdrẽˈmẽːnet/	8519626
aneval	/ɑ̃ˈne.val/	1936592
anv	/ˈɑ̃n.o/	1080189
anv-badez	/ãnwˈbɑːdes/	8533214
anv-gwan	/ãnwˈɡwãː.n/	8489852
anv-gwan-verb	/ãnwɡwãnˈvɛrp/	8491965
anv-pluenn	/ãnwˈplyːɛn/	8533135
anv-tiegezh	/ãnwtiˈeːɡɛs/	8531201
anv-verb	/ãnwˈvɛrp/	8491969
anvioù	/ɑ̃n.ˈvi.ɔʊ/	1170892
aod	/ˈɔːt/	178448
aon	/ɔ̃n/, /ˈãwn/	215130
aour	/ˈawʁ/, /ˈɔwr/	2106731
aouraval	/ɔwˈrɑːval/	8515323
aourgi	/ˈɔwrɡi/	8515331
arall	/aˈralː/	3434356
aramaeg	/a.raˈmaɛk/	2660470
araogenn	/aˈrɔːɡɛn/	1168552
arar	/a.ʁaʁ/	344318
arc'hant-bev	/ar.ɣãntˈbew/	1971459
arc'hanti	/ˈaʁχɑ̃nti/	1971442
arc'hlas	/ˈarxlas/	8509840
arvelen	/arˈveːlɛn/	998129
arvrec'h	/ˈaʁvʁɛx/	1956178
arz	/ˈars/	265808
arzh gell	/aʁsˈɡɛlː/	2658904
askell	/ˈas.kɛl/	2658891
askorn	/ˈas.kɔrn/	2410601
askornoniezh	/askɔrnɔ̃ˈniːɛs/	8478865
atom	/ˈa.tɔmː/	29589
atomek	/aˈtɔmː.ek/	8537470
atomenn	/aˈtɔː.mɛn/	8537424
aval	/ˈɑː.val/	549769
avaloù	/a.ˈvɑː.lu/	1937934
avank	/ˈɑːvãŋk/	1892716
avel	/ˈɑːvɛl/, /ˈɑːwɛl/	51340
aven	/ˈɑː.ven/	1101054
avu	/ˈɑːvy/	102447
aze	/ˈɑː.ze/	1004013
azen	/ˈɑː.zɛn/	265850
azenn	/ˈɑː.zɛn/	1956074
azenned	/a.ˈzɛ.nːet/	1956073
azvelen	/azˈveːlɛn/	8515343
bananez	/bãˈnãː.nes/	1793766
bananezenn	/bã.nãˈneː.zɛn/	8488419
bank	/ˈbãŋk/	2148
bank-ilinek	/bãŋɡiˈlĩːnek/	8517866
banniel	/ba.njɛl/	1134209
bara	/ˈbɑː.ra/	198429
bara-mel	/ˌba.ra.ˈmeːl/	8524246
barvek	/ˈbar.vɛk/	8513933
barzh	/ˈbars/	8478798
barzhoniezh	/ˌbarzɔ̃ˈniːɛs/	8478794
bazh	/ˈbɑːs/	8513850
bazh-krog	/basˈkroːk/	8513865
bazh-loaek	/bazˈlwɑːek/	8513917
bazhad	/ˈbɑːzat/	8513872
beajiñ	/beˈɑː.ʒĩ/	1172265
beg-botez	/ˈbeːkˌbo.te/	7318243
beleg	/ˈbɛːlek/	1205684
belegiezh	/bɛleˈɡiːɛs/	8513156
belo	/ˈbeːlo/	840226
bemdez	/ˈbɛ̃m.de/	1081581
benel	/ˈbẽːnɛl/	8478720
bennak	/bɛˈnaːk/	3340944
benveg sonerezh	/ˌbẽnvek sɔ̃ˈnɛːrɛs/	8518688
berrdro	/ˈbɛr.dro/	8514129
