word	ipa	pageid
baaz	[baːz]	7011175
batbat	[bat̪bat̪]	7011176
belis	[belis]	3095481
bepayr	[bepaɻ]	7010986
bula	[bula]	101942
bulbul	[bulbul]	549852
bush	[buʃ]	64129
busroosro	[buʂoːʂoː]	7010984
buwa	[buwa]	534290
crhin	/ʈ͡ʂʰin/	7011177
du	[d̪u]	8365
ganttey	[ɡaɳʈej]	7011180
garmun	[ɡaɾmun]	7011181
gatshir	[ɡat͡sʰiɾ]	7011179
ghaan	[ɣaːn]	7011184
ghasrep	[ɣaʂep]	7011185
ghunghundil	[ɣuɣund̪il]	7011186
gonoolanas	[ɡonoːlanas]	7011182
gus bush	[ɡus buʃ]	7010977
gus pharisr	[ɡus pʰaɾiʂ]	7011183
hal	[hal]	72367
hir bush	[hiɾ buʃ]	7010979
hir qarqaamuts	[hiɾ qaqaːmut͡s]	7011187
huk	[hook]	33325
mayon	[majon]	4005758
partaawuus	[part̪aːwus]	7011188
pharisr	[pʰaɾiʂ]	7011178
qarqaamuts	[qarqaːmut͡s]	7011190
qhamuluṭéeli	/qʰamuluˈʈeːli/	3868281
sar	[saɾ]	270359
shadi	[ʃad̪i]	7010974
sheer	[ʃeːɾ]	62582
ta	[t̪a]	26555
tal	[t̪al]	74038
tootaan	[t̪oːtaːn]	7011191
tshiir	[t͡sʰiːɾ]	7010975
tshindar	[t͡sʰind̪aɾ]	7010980
tshiyar	[t͡sʰijaɾ]	7011012
ڞ	/ʈ͡ʂʰ/	6048502
ݳ	/a/	7191281
ݴ	/ˈaː/	7191282
ݶ	/ˈiː/	7191284
ݷ	/ɻ/	7191285
ݸ	/o/	7191286
ݹ	/ˈoː/	7191287
ݺ	/e/	7191272
ݻ	/ˈeː/	7191271
ݼ	/tsʰe/, bsk, /tsʰ/	5652472
ݽ	/ʂin/, bsk, /ʂ/	5653125
