word	ipa	pageid
bk	/ˈβoːʔək/, Early Demotic, egx-dem, /βoːk/, Late Demotic	3460985
gš	/kʼaʃ/	6385770
hy	/haj/, egx-dem, /hej/	357750
hꜥleṱ	/ħaʕˈleːt/	6387181
jṱ	/joːt/	7842347
jrt	/ʔəˈɾoːtə/	6279384
ls	/las/, /les/	4108320
nbw	/nuːβ/	6347177
nby	/ˈnoʔβə/, egx-dem, /ˈnaʔβə/	6385767
nkt	/nəˈkʰaʔ/	6575472
ntr	/ˈnuːtə/	7606966
p.t	/pʰeʔ/	7849807
pr	/poːɾ/, egx-dem, /pəɾ/	174578
pr ꜥꜣ	/ˌpəɾəˈʕoʔ/, /ˌpəɾəˈʕaʔ/	317667
rmt	/ˈɾoːmə/	6387082
rꜥ	/ɾeːʕ/	1466949
sbꜣ.t	/səˈβoːʔ/	7608185
sfy	/ˈseːfə/	6387188
snf	/səˈnof/	6228581
sḏ	/səˈt͡ʃʼeʔ/	6385725
wpṱ	/wəpˈweːt/	7849799
wynn	/wəjˈniːn/	39229
šr	/ˈʃeːɾə/, Bohairic, Sahidic, egx-dem, /ˈʃeːlə/, Fayyumic	7706990
ḥl	/ħoːl/	7850505
ḥm.t	/ˈħiːmə/	7856517
ḥrry	/ħəˈɾeːɾə/	6304961
ḥry	/ħəˈɾaj/, /ħəˈɾej/	6220266
ḥt	/ħat/	6387026
ḥtr	/ħəˈtʰoʔ/	6388086
tb	/ˈtʼoːβə/	3164409
ꜥꜥn	/ʔaˈʕen/	7849519
