word	ipa	pageid
เʼงีย	/ˀŋia̯/	7932658
ʼนะ	/ˀnaʔ/	7935337
ʼมา-อุ	/ˀmawˀ/	7935381
ʼมา-อู	/ˀmaw/	7949796
เʼมิก	/ˀmək/	7935114
แʼม	/ˀmɛ/	7932224
โʼมะ	/ˀmoʔ/	7935379
กรัจ	/krac/	7949748
กรา	/kra/	7932548
กลัจ	/klac/	7949749
กวง	/kua̯ŋ/	7932402
กอก	/kɔk/	7232324
กอฺ	/kɒ/	7935355
กเอ-อูฮ	/k.ʔew̥/	7942246
กะ	/kaʔ/	6523147
กัก	/kak/	6562342
กัญ	/kaɲ/	7932216
กัด	/kat/	1108927
กัม	/kam/	7934880
กัว	/kua̯/	7932253
กา-อือ	/kaɨ̯/	7928480
กา-อู	/kaw/	7942194
กิฮ	/kih/	7932322
กี-เอิด	/kiə̯t/	7934720
กึด	/kɨt/	7935240
กู-เอิน	/kuə̯n/	7934724
เก-อู	/kew/	7942195
เก-อูฮ	/kew̥/	7947279
เกฮ	/keh/	7949759
เกือง	/kɨa̯ŋ/	7934886
เกือฮ	/kɨa̯h/	7932397
โกก	/kok/	7935067
ครัก	/kʰrak/	7949917
คลัก	/kʰlak/	7949921
คีทอ-อี	/kʰi.tʰɔj/	7947403
คุด	/kʰut/	7944889
เครฮ	/kʰreh/	7942345
เครีย	/kʰria̯/	7936323
เคลฮ	/kʰleh/	7942346
เคลีย	/kʰlia̯/	7936324
เคะ	/kʰeʔ/	7932282
เคียบ	/kʰia̯p/	7935305
โคระ	/kʰroʔ/	7947330
โคละ	/kʰloʔ/	7947331
โคะ	/kʰoʔ/	7928490
ฆ̱อ	/ᵑɡɔ/	7932222
ฆ̱ับ	/ᵑɡap/	7932726
ฆ̱า-อูง	/ᵑɡau̯ŋ/	7944916
โฆ̱ง	/ᵑɡoŋ/	7944915
งอ	/ŋɔ/	1108889
งอง	/ŋɔŋ/	7944904
งา-อูง	/ŋau̯ŋ/	7944905
จวง	/cua̯ŋ/	7934911
จอ	/cɔ/	4590291
จะ	/caʔ/	1952414
จัก	/cak/	5860291
จึง	/cɨŋ/	1660224
จุดวู	/cut.wu/	7934819
จุบเจียบ	/cup.cia̯p/	7935047
เจียน	/cia̯n/	7355777
โจง	/coŋ/	7932388
ชา-อุ	/cʰawˀ/	7944880
โชะ	/cʰoʔ/	7944879
ซเกิญ	/s.kəɲ/	7944803
ซแกญ	/s.kɛɲ/	7944802
ซครัก	/s.kʰrak/	7944830
ซคลัก	/s.kʰlak/	7944831
ซคา	/s.kʰa/	7932246
ซงา	/s.ŋa/	7935321
ซงา-อิ	/s.ŋajˀ/	7932288
ซเง-อี	/s.ŋej/	7947398
ซเงะ	/s.ŋeʔ/	7932289
ซเงีย	/s.ŋia̯/	7935314
ซแงะ	/s.ŋɛʔ/	7932294
ซตะ	/s.taʔ/	7932340
ซตัญ	/s.taɲ/	7932836
ซนู-เอิน	/s.nuə̯n/	7932766
ซเบิง	/s.ɓəŋ/	7934811
ซปะ	/s.paʔ/	7934898
ซปู-อี	/s.puj/	7944796
ซมา	/s.ma/	7932553
ซมา-อุ	/s.mawˀ/	7934855
ซโมะ	/s.moʔ/	7934854
ซอง	/sɔŋ/	6105248
ซอัง	/s.ʔaŋ/	7932228
ซเอฮ	/s.ʔeh/	7934848
ซเอิง	/s.ʔəŋ/	7932353
ซัก	/sak/	5361574
ซัง	/saŋ/	7928505
ซัญ	/saɲ/	7932343
ซัด	/sat/	6513291
ซา-อุ	/sawˀ/	7934835
