word	ipa	pageid
abadzivɔ	/ˈəbʌˌdʒɪvɔː/	643177
abati	/ˈəbʌˌtɪ/	571152
abolo	/ˈəˌbəʊləʊ/	643063
Abraham	/ˈæbræhæm/	102489
afi	/æfɪ/	198318
Afɔfiɛ	/ˈəfɒˌfɪɛ/	680432
afɔkɔe	/ˈəfɒkɒɛ/	639986
agble	/ˈæ.ɡ͡blɛ/	633391
aha	/æhæ/	23966
ako	/ako/	49411
akpe ɖeka	/ək͡pɛ ɖɛkɑː/	578852
akpɔkplɔ	[æk͡pɒ k͡plɒ]	627462
alafa ɖeka	/əlæfɑː ɖɛkɑː/	578851
ameyibɔ	/ˈəmɛjɪbɒ/	639616
anyĩtsi	/æɲiːtʃɪ/	617994
asi	/əsɪ/	102450
asiekelia	/ˈəsɪeɪkeɪljɑː/	578708
ati	/ætiː/	102449
aɖɔɖi	/ˈədɒdɪ/	657986
blibo	/blɪbəʊ/	597834
bɔs	/ˈbɒs/	633452
dadi	/da di/	576922
dzesi	/dʒɛsɪ/	596906
dzesinu	/d͡ze.si.nu/	4567540
dzidzime	/dʒɪ dʒɪ mɛ/	620291
dzime	/ˈdʒɪmɛ/	639480
dzitsitsi	/ˈdʒɪ.tʃɪˌtʃɪ/	637664
dzitsitsiwo	/ˈdʒɪ.tʃɪˌtʃɪwəʊ/	637669
Dzodze	/ˈdʒəʊdʒɛ/	680428
dzosasa	/dʒəʊ sæsɑː/	623708
Dzove	/ˈdʒo.vɛ/	680427
dzĩ	/ˈdʒɛ̃/	639628
enelia	/ˈenelɪɑː/	578408
Esau	/ˈisaʊ/	290368
eve	/ˈeve/	26271
evelia	/ˈevelɪɑː/	577005
ewolia	/ˈewəʊlɪɑː/	578731
eya	/ˈɛjæ/	332365
Eʋe	[ɛ̀βɛ̀]	576639
Eʋegbe	/ˈɛβɛɡ͡bɛ/	576642
Februar	/ˈfɛbɹʊʌɹ/	127459
fexexeɖeta	/fɛ xɛxɛ dɛ tæ/	606007
fia	/ˈfɪæ/	279754
fianyɔnu	/ˈfɪəˌɲɒnʊ/	639949
fiaŋutsu	/ˈfɪəˌŋʊtʃʊ/	639945
fli	/ˈflɪ/	605799
fo	[fəʊ]	37540
fukpekpe	/fuːk͡pɛk͡pɛ/	596902
fukpekpewo	/fuːk͡pɛk͡pɛwɒ/	596904
fɔbubu	/fɒbuːbuː/	613148
gbãtɔ	/ɡ͡bãtɔ/	577000
Gɛ̃	/ ɡɜː̃ /	587199
Gɛ̃gbe	/ɡɜː̃ɡ͡bɜː /	578863
Hagar	/ˈhɑːɡæ/	325353
ka	/ˈkɑː/	96003
kekeli	/ kɛkɛliː /	587169
koklo	/ˈkəʊkləʊ/	639657
koklonɔ	/ˈkəʊkləʊnɒ/	639645
koklotsu	/ˈkəʊkləʊtʃuː/	639646
koklovi	/ˈkəʊkləʊviː/	639654
kpodzi	/k͡pəʊ dʒɪ/	623660
kpɔ	/k͡pɒ/	597991
kutsetse	/ˈkʊˌtʃɛˌtʃɛ/	709124
kuviatɔ	/kʊviːɑː tɒ/	613644
kuviawɔwɔ	/kuːvɪɑː wɒwɒ/	613653
lala	/lælæ/	596911
mamayɔvi	/ˈmʌ.ˌmæ.yɒ.ˌvɪ/	633134
Mars	/ˈmʌɹs/	139923
megbe	/ˈmɛˌɡ͡bɛ/	639473
mi	/ˈmɪ/	2677
miawo	/ miːɑːwəʊ /	587185
mí	/ˈmɪ/	224349
míawo	/ ˈmiaˌwo /	587179
mɔkpɔkpɔ	/mɒk͡pɒk͡pɒ/	597396
no	/no/	465945
notsi	/nəʊ tʃiː/	617735
notsi babla	/nəʊ tʃiː bɑːblæ/	617950
Nubabla xoxo	/ nuːbɑːblæ /	587211
nunono	/nʊ nəʊnəʊ/	623689
nutata	/nʊtætæ/	613238
nuŋlɔla	/nʊ ŋlɒ lɑː/	605386
nuɖaɖa	/nudædæ/	613199
nyagblɔɖila	/ɲæ ɡ͡blɔː dɪ læ/	605398
nye	/ˈɲɛ/	639510
nyi	/ˈɲɪ/	639433
nyinɔ	/ˈɲɪnɒ/	639388
nyitsu	/ˈɲɪˌtʃuː/	639383
nyo	/ˈɲəʊ/	633073
nyɔnu	/ˈɲɒ.nʊ/	633085
nyɔnuvi	/ˈɲɒ.nʊ.vɪ/	633124
nɔgã	/nɒɡɑ̃ː/	587191
nɔvi	/nɒvɪ/	587219
nɔvinyɔnu	/nɒvɪɲɒnʊ/	587218
nɔviŋutsu	/nɒvɪŋuːtʃʊ/	587197
nɔɖi	/ˈnɒ.dɪ/	587192
papa	/pæpɑː/	37501
se	/sɛ/	31481
Set	/ˈsɛt/	156250
sidzedze	/sɪ dʒɛ dʒɛ/	605945
sue	/suːɛ/, /suːeɪ/	50128
sɔ	/ˈsɒ/	743691
tasi	/tɑːsiː/	587190
tedzi	[ˈtɛdʒɪ]	627425
tsi dzi	/ˈtʃɪdʒɪ/	637658
tsɛ	[tʃɛ]	633063
tɔgbuiyɔvi	/ˈtɒ.ɡ͡bɪ.jɒ.vɪ/	618920
tɔgbuiyɔvinyɔnu	/tɒɡ͡bɪjɒvɪ ɲɒnʊ/	618930
tɔgã	/tɒɡɑ̃ː/	587195
tɔsisi	/tɒsɪsɪ/	623679
tɔɖe	/tɒdeɪ/	587194
vi	/viː/	2715
viviti	/ vɪvɪtɪ /	587171
vovototo	/vəʊ vəʊ təʊ təʊ/	605973
vɔsamlekpui	/vɒsæ mlɛ k͡pɪ/	623673
wein	/wɑːɪn/	197417
wò	/ wo /	483435
wɔ	/wɒ /	587166
wɔfa	/wɒfæ/	587196
Xawa	/xɑːwæ/	623711
Yakob	/ˈjæ.kɒb/	1214153
Yanuar	/ˈjʌnʊʌɹ/	641868
yibɔ	/ˈjɪbɒ/	639620
Yosua	/ˈjosua/	3076041
ŋaneŋane	/ˈŋænɛŋænɛ/	637674
ŋusẽ	/ŋuːsɛ̃/	596927
ŋutinya	/ŋʊtɪɲɑː/	614172
ɖa	/dæ/	614165
ɖeka	/ˈdɛ.kɑː/	576250
ʋɔnudrɔ̃la	/ˈβɒnʊ.drɒlæ/	1208923
