word	ipa	pageid
bancu	/ˈbanku/	221821
biaittu	/bjaˈittu/	8643510
bianca	/ˈbjanka/	51726
bianchi	/ˈbjanki/	529327
biancu	/ˈbjanku/	4815727
cantu	/ˈkan.tu/	2475973
cantà	/kanˈta/	932694
càttedra	/ˈkattedra/	8645484
esse	/ˈɛs.se/	40054
essi	/ˈes.si/	73000
Gaddura	/ɡaɖˈɖura/	8643101
gadduresa	/ɡaɖɖuˈreza/	8643162
gadduresi	/ɡaɖɖuˈrezi/	8643165
gadduresu	/ɡaɖɖuˈrezu/	8643156
grisgi	/ˈɡriʒi/	8643720
grìsgia	/ˈɡriʒa/	8643719
grìsgiu	/ˈɡriʒu/	8643713
istatu	/isˈta.tu/	7826730
magghjori	/maɟˈɟori/	8643209
maiori	/maˈjori/	2396320
murru	/ˈmurru/	292129
mùrinu	/ˈmurinu/	8643688
rosa	/ˈrɔza/	38241
statu	/ˈsta.tu/	2377870
tarra	/ˈtarːa/	1127437
