word	ipa	pageid
aba	/ˈa.ba/	49191
alpaka	/alˈpaka/	766429
bardawica	/barˈdavjit͡sa/, /barˈdavit͡sa/	8068081
bawidło	/baˈvi.dwɔ/	8527183
Berlëno	/berˈlə.nɔ/	8545727
bòber	/ˈbwɛbɛr/	7342675
Bôłt	/ˈbɞwt/	1818534
chtos	/ˈxtos/	929476
chëcza	/ˈxət͡ʃa/	8067908
czasnik	/ˈt͡ʃas.ɲik/	8545794
czerwc	/t͡ʃɛrvt͡s/	8069452
czerwińc	/t͡ʃɛrviɲt͡s/	923377
czwiôrtk	/t͡ʃvjɞrtk/	7843819
czwôrtk	/t͡ʃvɞrtk/	923367
cëc	/ˈt͡sət͡s/	8340514
cëcac	/ˈt͡sət͡sat͡s/	8340370
cëcón	/ˈt͡sət͡son/	8340194
delfin	/ˈdɛlfin/	206893
dromader	/drɔˈmadɛr/	897390
dzecny	/d͡zɛt͡sˈni/	8070023
dzub	/ˈd͡zup/	8339047
dzysô	[d͡zisɞ]	927115
dzél	/d͡zel/	8070029
dzëb	/ˈd͡zəp/	8339044
dzëba	/ˈd͡zəba/	8339034
dzëbôk	/ˈd͡zəbɞk/	8339017
dzëk	/ˈd͡zək/	7342664
dzób	/ˈd͡zop/	8339042
dél	/del/	264514
dôwôcz	/dɞvɞt͡ʃ/	923349
gepard	/ˈɡɛ.part/	538984
gnic	/ˈɡɲit͡s/	8339118
gołdny	/ɡɔwdni/	7811518
gromicznik	/ɡrɔmit͡ʃɲik/	923373
grëbi	/ɡrəˈbi/	929305
grëzc	/ˈɡrəst͡s/	8343577
grëzôk	/ˈɡrəzɞk/	8343576
gòdnik	/ɡwɛdɲik/	923382
gòralk	/ˈɡwɛralk/	8343868
gòril	/ˈɡwɛril/	8343810
gółd	/ɡowd/	7811512
hiena	/ˈxjɛna/	385489
hipòpòtam	/hipwɛˈpwɛtam/	8344011
jagùar	/ˈja.ɡwu.ar/	8572530
Jastra	/ˈjas.tra/	4808949
Jastrë	/ˈjas.trə/	4808948
jeléń	/ˈjɛleɲ/	8345672
jenot	/ˈjɛ.nɔt/	8572656
jesc	/jɛst͡s/	8068866
jeżownik	/jɛˈʒovɲik/	8343647
jeżozwiérz	/ˌjɛʒoˈzvjer̝̊/	8343650
jo	/jɔ/	59206
jãzëk	 /ˈjãzək/	924119
jéż	/ˈjeʃ/	8343653
-jôd	/-jɞt/, csb, /-jɞd/	8339655
kamela	/kaˈmɛla/	1041683
kamë	[ˈkämə]	4203502
kangùr	/kanɡwur/	8338995
kapibara	/kapiˈbara/	1655054
kaszalot	/kaˈʃalɔt/	4584419
knéga	/kneɡa/	929825
knëga	/knəɡa/	7796782
koruna	/kɔˈruna/	267968
kret	/ˈkrɛt/	273886
krzidło	/ˈkr̝̊idwɔ/	6398610
kòala	/kwɛˈala/	8339081
kòczkòdan	/kwɛt͡ʃˈkwɛdan/	8343797
kòlczatka	/kwɛlˈt͡ʃatka/	8339004
kòt	/ˈkwɛt/	875329
kóń	/ˈkoɲ/	1217152
kôta	/kɞta/	8083617
kôłbasa	/kɞwbasa/, /kɞlbasa/	8073496
lama	/ˈlama/	4073
lampart	/ˈlam.part/	1173509
leopard	/lɛˈɔ.part/	37243
lew	/ˈlɛf/	1055482
lipc	/lipt͡s/	8069455
luks	/ˈluks/	2751742
lës	/ˈlis/	934160
lëstopadnik	/ləstɔpadɲik/	923381
lëstopôd	/ləstɔpɞd/	8069457
makak	/ˈmakak/	1953788
mamùt	/ˈmamwut/	8343872
mangùsta	/maŋˈɡwus.ta/	8572485
marc	/mart͡s/	60594
marwa	/ˈmarva/	8139301
Matéùsz	/maˈte.wuʃ/	8544373
miec	/mjɛt͡s/	4092070
miedwiédz	/ˈmjɛdvjet͡s/	7844592
miedzwiédz	/ˈmjɛd͡zvjet͡s/	2997527
miodownik	/mjɔdɔvɲik/	8069453
mroch	/mrɔx/	4759990
mrówka	/ˈmrofka/	5828
mrówkòjôd	/ˈmrofkwɛˌjɞt/	8339551
mërmòt	/mərˈmwɛt/	8343779
mësz	/ˈməʃ/	7704918
mëszôk	/ˈməʃɞk/	8338896
mòrsczi	/ˈmwɛrst͡ʃi/	8343665
mòrsczi kóń	/ˌmwɛrst͡ʃi ˈkoɲ/	8345475
mòrsczi szczirz	/ˌmwɛrst͡ʃi ˈʃt͡ʃir̝̊/	8345627
mòrskô swinka	/ˌmwɛrskɞ ˈsvinka/	8345640
