word	ipa	pageid
aci	/atʃi/	478219
air	/ä.jäq/	4347
awat	/awat/	1233962
ayaq	/ajaʕ/	1480827
cek	/tʃɛʔ/	3548583
cenge	/tʃəŋɛ/	1668446
cewi	/tʃewi/	3550957
dekak	[də.kɑʔ]	8021550
depa	/de.pɑ/	842445
ghosek	/ʁoseʔ/	3551359
hangpa	/haŋpa/, /hampa/	3548094
jerang	[d͡ʒə.ʁäŋ]	8042339
kalut	/kalɔt/	768411
lagu	/laɡu/	205736
loqlaq	/loʕlaʕ/	3546034
mai	/mai/	63161
meghelit	/məʁəlɪt/	3550824
ni	/ni/	25502
nyiur	/ɲoq/	276845
peghak	/pəʁaʔ/	3550994
pi	/pi/	3880
sat	/sat/	7633
sepa	/sepa/	992827
tidoq	/tidoʕ/	3549733
