word	ipa	pageid
'n	/ŋ/, lij, /n/	100844
'na	/na/	3171727
'nsce	/ŋˈʃe/	6439385
'nsciâ	/ŋˈʃaː/	6439395
'nsciô	/ŋˈʃuː/	6439389
'nscê	/ŋˈʃeː/	6439413
'nscî	/ŋˈʃiː/	6439410
a-a	/aːa/	3678460
a-e	/aːe/	6040476
a-i	/ai̯/	6040474
a-o	/au/	6040472
abalotâ	/abaluˈtaː/	6040276
abarlügâ	/abarlyˈɡaː/	6040291
abarlügòu	/abarlyˈɡɔw/	6040284
abaxùr	/abaˈʒur/	7228019
abàsta	/aˈbasta/	6040414
abàtte	/aˈbate/	7228060
abæn	/aˈbɛŋ/	6040271
abòu	/aˈbɔw/	7228028
acatâ	/akaˈtaː/	6515564
acatòu	/akaˈtɔw/	6515619
acénto	/aˈt͡ʃeŋtu/	6437314
acûto	/aˈkyːtu/	6437328
africàn	/afriˈkaŋ/	6519424
africànn-a	/afriˈkaŋa/	6519443
agón	/aˈɡuŋ/	7217532
agósto	/aˈɡustu/	6436854
agùsso	/aˈɡyssu/	6437684
americàn	/ameriˈkaŋ/	4972204
americànn-a	/ameriˈkaŋa/	6519638
amiâ	/aˈmjaː/	6516952
amiâdô	/amjaːˈduː/	6517038
América	/aˈmerika/	721567
ancheu	/aŋˈkøː/	3780609
anciôa	/aŋˈt͡ʃuːa/	3780824
ancun	/aŋˈkunː/	4583249
ancö	/aŋˈkøː/	4583242
andâ	/aŋˈdaː/	6477042
andæto	/aŋˈdɛːtu/	6482913
angæzo	/aŋˈɡɛːzu/	6437157
antighitæ	/aŋtiɡiˈtɛː/	6467942
antîgo	/aŋˈtiːɡu/	6467934
anâ	/aˈnaː/	6482959
aotùnno	/awˈtynu/, [ɔːˈtynu]	6449511
arbanèlla	/arbaˈnɛlla/	6515534
arbaxîa	/arbaˈʒiːa/	6437192
argentòu	/ard͡ʒeŋˈtɔw/	6445987
argénto	/arˈd͡ʒeŋtu/	6445061
arivâ	/ariˈvaː/	6493034
articiòcca	/artiˈt͡ʃɔkka/	4583251
artifiçiâle	/artifiˈsjaːle/	6450426
aruxentâ	/aryʒeŋˈtaː/	6493787
arvî	/arˈviː/	6436841
assæ	/aˈsɛː/	8022820
asunâse	/asyˈnaːse/	6519745
ato	/ˈaː.tu/	213270
avéi	/aˈvej/	6464104
avéighe	/aˈvejɡe/	7227173
açidente	/asiˈdente/	3777730
bacàn	/baˈkaŋ/	6429437
bacànn-a	/baˈkaŋ.ŋa/	6429441
balénn-a	/baˈleŋa/	6532579
banbòccia	/baŋˈbɔtt͡ʃa/	3780688
batifêugo	/batiˈføːɡu/	6450519
baxaicò	/baʒajˈkɔ/	6526090
baxeicò	/baʒejˈkɔ/	6526092
bazànn-a	/baˈzaŋa/	6530006
belìn	/beˈliŋ/	6447206
benvegnûo	/beŋ.veˈɲyː.u/, [beŋveˈɲyːu]	6064081
bescheutâ	/beskøˈtaː/	6517291
bescheutòu	/beskøˈtɔw/	6517292
beschéutto	/besˈkøtu/	6517285
bezagnin	/bezaˈŋin/	4583280
bezeugnâ	/bezøɲˈɲaː/	7227269
bezugnâ	/bezyɲˈɲaː/	7227240
bezéugno	/beˈzøɲɲu/	7227220
bibìn	/biˈbiŋ/	3780148
bixo	/ˈbiːʒu/	826347
bleu	/bløː/	51005
boxi		578152
breviâio	/breˈvjaːju/	6451490
brignun	/briˈŋun/	4583285
bruxou	/bryˈʒɔw/	8022805
bruxâ	/bryˈʒaː/	4583290
bruxéuia	/bryˈʒøja/	6493482
bràsso	/ˈbrassu/	6429291
brêve	/ˈbreːve/, [ˈbrejve]	6451492
brîxa	/ˈbriːʒa/	6437188
brónzo	/ˈbruŋzu/	6450579
bàcco	/ˈbak.ku/	6429433
bàrba	/ˈbarba/	3779716
bàsta	/ˈbasta/	6040305
bàtte	/ˈbatte/	6450514
bâxo	/ˈbaːʒu/	6450744
bæ	/bɛː/	211002
bæxinâ	/bɛːʒiˈnaː/	3777690
bèllo	/ˈbɛllu/	6444346
béie	/ˈbejje/	7228069
béive	/ˈbejve/	7228067
cabànna	/kaˈbanna/	3780819
caciâta	/kaˈt͡ʃaːta/	6517317
caciòu	/kaˈt͡ʃɔw/	6515674
cacéuia	/kaˈt͡ʃøja/	6515718
cagna	/ˈkaɲ.ɲa/	289636
cagnetto	/kaɲˈɲe.tu/	1102214
cagnétta	/kaɲˈɲetta/	6455009
cagnìn	/kaɲˈɲiŋ/	6455005
cagnìnn-a	/kaɲˈɲiŋŋa/	6455014
calendâio	/kaleŋˈdaːju/	6437012
camalâ	/kamaˈlaː/	7227739
caminadô	/kaminaˈduː/	6517181
caminâ	/kamiˈnaː/	6517066
camixétta	/kamiˈʒetta/	7216120
camixìnn-a	/kamiˈʒiŋa/	7216128
camàllo	/kaˈmalu/	7227717
camìn	/kaˈmiŋ/	6517050
camîxa	/kaˈmiːʒa/	7216110
can	/kaŋ/	1574
cangiâ	/kaŋˈd͡ʒaː/	6513420
canpànn-a	/kaŋˈpaŋŋa/	3780710
cantonê	/kaŋtuˈneː/	3780707
cantâ	/kaŋˈtaː/	3780151
cantón	/kaŋˈtuŋ/	1311121
canâ	/kaˈnaː/	3780697
caregâ	/kareˈɡaː/	6517238
carpî	/karˈpiː/	6452691
carêga	/kaˈreːɡa/	6517225
chen	/keŋ/	488076
cheu	/køː/	3536915
chinâ	/kiˈnaː/	7227969
chinâse	/kiˈnaːse/	7227979
chìnze	/ˈkiŋze/	6465014
ciamâ	/t͡ʃaˈmaː/	6467862
ciamâse	/t͡ʃaˈmaːse/	6467912
ciamâta	/t͡ʃaˈmaːta/	6467927
cian	/t͡ʃan/	176233
ciantâ	/t͡ʃaŋˈtaː/	6450147
circonflèsso	/t͡ʃirkuŋˈflɛssu/	6437711
ciànta	/ˈt͡ʃaŋta/	6450136
ciànze	/ˈtʃanze/	8019003
ciàtto	/ˈt͡ʃattu/	6450163
ciæo	/t͡ʃɛːu/	3777703
ciùmma	/ˈt͡ʃymma/	6516188
co-a	/ˈkuːa/	6439089
co-e	/ˈkuːe/	6439094
co-i	/ˈkuːi/	6439091
co-o	/ˈkuː/	6439087
colôre	/kuˈluː.re/	6429207
comensâ	/kumeŋˈsaː/	3780575
comunitæ	/kumyniˈtɛː/	6449607
con	/ˈkuŋ/	27632
Confeugo	/kuŋˈføɡu/	3796507
confuxón	/kuŋfyˈʒuŋ/, [kuŋfyˈʒuŋ]	6432187
coniogaçión	/kuŋjuɡaˈsjuŋ/	3780576
consonànte	/kuŋsuˈnaŋte/	6444956
constroî	/kuŋsˈtrwiː/	7228470
copùsso	/kuˈpyssu/	3780903
costroî	/kusˈtrwiː/	7228467
cotelâ	/kuteˈlaː/	7227074
cotéllo	/kuˈtelu/	7227061
covertûa	/kuverˈtyːa/	6524651
covèrcio	/kuˈvɛrt͡ʃu/	6524634
coæ	/kwɛː/	6530171
crastâ	/krasˈtaː/	7224699
crastòu	/krasˈtɔw/	7224704
crastón	/krasˈtuŋ/	7224712
crovî	/kruˈviː/	6520173
Crìsto	/ˈkristu/	6451482
cugiâ	/kyˈd͡ʒaː/	7227070
càccia	/ˈkatt͡ʃa/	6515659
càngio	/ˈkaŋd͡ʒu/	6513445
càrne	/ˈkarne/	6452745
càssa	/ˈkassa/	3779362
câza	/ˈkaːza/	3780925
cêuve	/ˈt͡ʃøːve/	7227662
cîfra	/ˈt͡ʃiːfra/	6506972
cómme	/ˈkumme/	74815
cónba	/ˈkuŋba/	6447395
cónbo	/ˈkuŋbu/	6447394
cösa	/ˈkɔːsa/	6506527
cöse	/ˈkɔːse/	6506529
cùrto	/ˈkyrtu/	6452531
cü	/ky/	4583306
da	/da/	37536
da-a	/daː/	6437870
da-e	/daːe/	6437872
da-i	/dai̯/	6437871
da-o	/dau̯/	6437868
de	/de/	1519
defæti	/deˈfɛti/	8024853
delfìn	/delˈfiŋ/	6532574
deliçiôzo	/deliˈsjuːzu/	3779832
desbêlâ	/dezbeːˈlaː/	3780861
descadenâ	/deskadeˈnaː/	3780851
desfæto	/deˈsfɛːtu/	3780856
desviâ	/deˈzvjaː/	3780883
dexénbre	/deˈʒeŋbre/	6436861
di	/di/	42579
difiçilménte	/difisilˈmeŋte/	7229417
difìçile	/diˈfisile/	7229411
disnâ	/disˈnaː/, [dizˈnaː]	3780880
diségno	/diˈseɲɲu/	3780848
ditóngo	/diˈtuŋɡu/	6449381
dixinêuve	/diʒiˈnøːve/	6506558
dixéutto	/diˈʒøttu/	6506557
do	/du/	6346
doman	/duˈmaŋ/	384542
domàn	/duˈmaŋ/	6429287
doménega	/duˈmeneɡa/	2998141
dovéi	/duˈvej/	7227152
doî	/ˈdwiː/	6437733
drafìn	/draˈfiŋ/	6532576
dunque	/ˈdunkwe/, [ˈd̪uŋ.kwe]	330116
duâ	/dɥaː/	6467863
dâ	/daː/	4063447
dénte	/ˈdeŋte/	2996298
dêxe	"/ˈdeːʒe/, [ˈdejʒe]
"	6439591
dî	/diː/	4063462
dîo	/ˈdiːu/	6432192
Dîo	/ˈdiːu/	6451440
dîsètte	/diːˈsɛtte/	6506553
dîto	/ˈdiːtu/	7227630
dònna	/ˈdɔ.na/, [ˈd̪ɔnˑä]	3779718
dòppo	/ˈdɔppu/	6506832
dòppodisnâ	/dɔppudisˈnaː/, [ˌdɔppudizˈnaː]	6506855
dóggio	/ˈdudd͡ʒu/	6437993
dózze	/ˈduzze/	6465008
-dô	/duː/	6517186
-dôa	/ˈduːa/	6517831
dôe	/ˈduːe/	6437734
dôve	/ˈduːve/	6506539
dôçeménte	/duːseˈmeŋte/	3780825
dûo	/ˈdyːu/	6467848
e	/e/	8537
eoropêo	/ewroˈpeːu/	6519632
Eoröpa	/ewˈrɔːpa/	6519449
erxo	/ˈærʒu/	4583405
erxu	/ˈærʒu/	4583403
esercitaçión	/esert͡ʃitaˈsjuŋ/	6514769
esercitâ	/esert͡ʃiˈtaː/	6514777
esercìçio	/eserˈt͡ʃisju/	3779833
estæ	/estɛː/	6449529
eugezâ	/ød͡ʒeˈzaː/	3780589
existénsa	/eʒisˈteŋsa/	6507399
existénte	/eʒisˈteŋte/	6507402
exìste	/eˈʒiste/	6507011
facìn	/faˈtʃiŋ/	8025225
famìggia	/faˈmid͡ʒa/	6464080
fantâxima	/faŋˈtaːʒima/	7216157
faxeu	/faˈʒøː/	3780588
faxàn	/faˈʒaŋ/	6447421
façilitæ	/fasiliˈtɛː/	7229365
façilménte	/fasilˈmeŋte/	7229367
figeu	/fiˈd͡ʒøː/	3779366
figiónn-a	/fiˈd͡ʒuŋŋa/	6450732
figétta	/fiˈd͡ʒetta/	6450738
forcafæra	/furkaˈfɛːra/	7227015
forcón	/furˈkuŋ/	7226987
fornâ	/furˈnaː/	6517401
fornâxe	/furˈnaːʒe/	6517373
fortunòu	/furtyˈnɔw/	6467844
fortùnn-a	/furˈtyŋa/	6467838
forçinâ	/fursiˈnaː/	7227027
forçinìn	/fursiˈniŋ/	7227026
forçìnn-a	/furˈsiŋa/	7227021
fra	/fra/	51758
fregüggia	/freˈɡyd͡ʒa/	4583316
frevâ	/freˈvaː/	6436846
fræ	/frɛː/	200697
fugetìnn-a	/fyd͡ʒeˈtiŋa/	6529177
fugétta	/fyˈd͡ʒetta/	6529174
fànga	/ˈfaŋɡa/	7216146
fàrco	/ˈfarku/	6505672
fàçile	/ˈfasile/	7229361
fâ	/faː/	4063451
færo	/ˈfɛːru/	7227011
fæto	/ˈfɛːtu/	7229283
féuggia	/ˈfødd͡ʒa/	6529168
fêugo	/ˈføːɡu/	6450387
fìggia	/ˈfidd͡ʒa/	6429395
fìggio	/ˈfid.d͡ʒu/	6429391
fò	/fɔ/	6526080
fónzo	/ˈfuŋzu/	7224607
fórca	/ˈfurka/	7226944
fórno	/ˈfurnu/	6517307
föa	/ˈføa/	4583314
ganberétto	/ɡaŋbeˈrettu/	6472867
Gexù	/d͡ʒeˈʒy/	3795804
gexù	/d͡ʒeˈʒy/	6451507
ghe	/ɡe/	3002272
giastemâ	/d͡ʒasteˈmaː/	6450608
giastemón	/d͡ʒasteˈmuŋ/	6450716
giastémma	/d͡ʒasˈtemma/	6450711
giasâ	/d͡ʒaˈsaː/	6494132
giasòu	/d͡ʒaˈsɔw/	6494137
giornâ	/d͡ʒurˈnaː/	7227078
giurisdiçión	/d͡ʒyrisdiˈsjuŋ/	3780867
giànco	/ˈd͡ʒaŋku/	6429198
giàssa	/ˈd͡ʒassa/	6494127
giàsso	/ˈd͡ʒassu/	6494131
giæa	/ˈd͡ʒɛːa/	3777712
giórno	/ˈd͡ʒurnu/	6040521
Giöxèppe	/d͡ʒɔːˈʒɛppe/	6446026
giùdiçe	/d͡ʒydise/	3777728
gnâtri	/ˈɲaːtri/	6506065
goæra	/ˈɡwɛːra/	6446464
goèrsa	/ˈɡwɛrsa/	4563622
goèrso	/ˈɡwɛrsu/	6447246
grafìa	/ɡraˈfia/	6445026
grande	/ˈɡraŋ.de/	74884
gregoriàn	/ɡreɡuˈrjaŋ/	6436988
grende	/ˈɡreŋ.de/	8022698
grendi	/ˈɡreŋ.di/	8022697
grixo	/ˈɡɾiːʒu/	3052223
gràn	/ɡraŋ/	3724834
gràçia	/ˈɡrasja/	3779829
grâve	/ˈɡraːve/	6437696
gànba	/ˈɡaŋba/	6494573
gànbou	/ˈɡaŋbɔw/	3780822
gàtto	/ˈɡattu/	6455281
gælo	/ˈɡɛːlu/	3777716
gêxa	/ˈd͡ʒeːʒa/	3779721
gómio	/ˈɡumju/	7226875
in	/iŋ/, lij, /in/	1533
in sce	/iŋˈʃe/	6437929
indegnitæ	/iŋdeɲɲiˈtɛː/	6437267
indignaçión	/iŋdiɲɲaˈsjuŋ/	6437265
indégno	/iŋˈdeɲɲu/	6437268
infæti	/inˈfɛti/	8024855
inparçiâle	/iŋparˈsjaːle/	3777732
inta	/ˈiŋta/	2848726
inte	/ˈiŋte/	192894
inti	/ˈiŋti/	277103
into	/ˈiŋtu/	48770
invegî	/iŋveˈd͡ʒiː/	6513757
invegîo	/iŋveˈd͡ʒiːu/	6513765
invexendâ	/inveʒenˈdaː/	4583402
invèrno	/iŋˈvɛrnu/	6449561
italian	/itaˈljaŋ/	175197
italiaña	/itaˈljaŋa/	8501173
italiañe	/itaˈljaŋe/	8501175
italien	/itaˈljeŋ/	66449
lasciâ	/laˈʃaː/	3780686
lasciòu	/laˈʃɔw/	3780831
latón	/laˈtuŋ/	677836
lavâ	/laˈvaː/	4376934
lavâse	/laˈvaːse/	6467929
lengua	/ˈleŋɡwa/	215914
lengua de can	/ˈleŋɡwa de ˈkaŋ/	8501147
lentìggia	/leŋˈtidd͡ʒa/	6529415
liâtri	/ˈljaːtri/	6506075
lión	/liˈuŋ/	6455428
lontan	/luŋˈtaŋ/	3567071
louâ	/lɔwˈaː/	3780838
loâso	/ˈlwaːsu/	6429381
loâsso	/ˈlwaːs.su/	6429382
lunario		1065405
lunedì	/lyneˈdi/	56277
lunâio	/lyˈnaːju/	6436966
lupìn	/lyˈpiŋ/	6474804
luxe	/ˈlyːʒe/	60584
luxente	/lyˈʒeŋ.te/	8022720
luxi	/ˈlyːʒi/	2169623
luxî	/lyˈʒiː/	3780641
luña	/ˈlyŋa/	8494415
luñe	/ˈlyŋe/	8494456
làlla	/ˈlal.la/	3779749
læte	/ˈlɛːte/	6437245
lê	/leː/	202534
lêze	/ˈleːze/	1761245
lóngo	/ˈluŋɡu/	6452479
lô	/luː/	4447291
lôa	/ˈluːa/	4565037
lùggio	/ˈlyd͡ʒu/	6436850
lùsso	/ˈlyssu/	6532583
lünn-a	/ˈlyŋa/	4583318
maciâ	/maˈt͡ʃaː/	3780647
maialìn	/majaˈliŋ/	6456166
mainâ	/ma.iˈnaː/	6429376
maiâle	/maˈjaːle/	6456131
man	[maŋ]	1796
mangiâ	/maŋˈd͡ʒaː/	3780646
mangiâse	/maŋˈd͡ʒaːse/	7227700
mangiâta	/maŋˈd͡ʒaːta/	7227788
mangiòu	/maŋˈd͡ʒɔw/	7227699
mangéuia	/maŋˈd͡ʒøːja/	7227705
martedì	/marteˈdi/	40670
marîo	/maˈriːu/	6451422
masccetto	/maʃˈt͡ʃettu/	3780901
matìn	/maˈtiŋ/	6506825
matìnn-a	/maˈtiŋa/	6506818
memöia	/meˈmɔːja/	3779751
merlùsso	/merˈlyssu/	6473874
mescciâ	/meʃˈt͡ʃaː/	7228311
mesciâ	/meʃˈʃaː/	7227324
mesciâse	/meʃˈʃaːse/	7227348
meu	/møː/	79729
mi	/mi/	2677
mogê	/muˈd͡ʒeː/	6451425
mogógno	/muˈɡuɲɲu/	3780821
morìn	/muˈriŋ/	8025211
moschêa	/musˈkeːa/	6451457
moæ	/mwɛː/	6429445
moénn-a	/ˈmweŋa/	6453656
mugere		6959724
muntâ	/munˈta/	4583833
màggia	/ˈmad͡ʒa/	4583418
màio	/ˈmajju/	6451420
màrso	/ˈmarsu/	6436848
màsccio	/ˈmaʃt͡ʃu/	6474783
màzzo	/ˈmazu/	6436852
mâ	/maː/	5407537
mæ	/mɛː/	722271
mæximo	/ˈmɛːʒimu/	6437273
mèrcoledì	/mɛrkoleˈdi/	6040534
méistra	/ˈmei̯stra/	7216710
méistro	/ˈmei̯stru/	7216704
méixi	/ˈmeiʒi/	6436935
méize	/ˈmeize/	6436932
ménoa	/ˈmenwa/	3779828
-ménte	/ˈmeŋte/	7229378
Mérica	/ˈmerika/	6519476
mêghétto	/meːˈɡettu/, [mejˈɡettu]	6449412
mêgo	/ˈmeːɡu/	6449403
mêgâ	/meːˈɡaː/, [mejˈɡaː]	6449493
mêgón	/meːˈɡuŋ/, [mejˈɡuŋ]	6449425
mêua	/ˈmøːa/	6532454
mêxìnn-a	"/meːˈʒiŋ.a/, [mejˈʒiŋˑä]
"	6449390
mêzo	/ˈmeːzu/	6439349
Mòuma	/ˈmɔwma/	6451471
móssa	/ˈmussa/	6447215
Möma	/ˈmɔːma/	6451472
naçión	/naˈsjuŋ/	3780567
ne-a	/ˈneːa/	6438971
ne-e	/ˈneː/	6438973
ne-i	/ˈneːi/	6438972
ne-o	/ˈneːu/	6438970
neiâ	/nejˈjaː/	7227867
nemîga	/neˈmiːɡa/	6507833
nemîgo	/neˈmiːɡu/	6507832
nevàdda	/neˈvada/	7227873
nevâ	/neˈvaː/	7227871
ni	/ni/	25502
nisciùn	/niˈʃyŋ/	4583438
nisciùnn-a	/niˈʃyŋŋa/	6437740
niâtri	/ˈnjaːtri/	6506063
nomiagio	/nuˈmjaː.d͡ʒu/	8023217
nomme	/ˈnu.me/	1686606
novitæ	/nuviˈtɛː/	6501560
novénbre	/nuˈveŋbre/	6436859
noî	/nwiː/	6478882
numeraçión	/nymeraˈsjuŋ/	6506961
numerâle	/nymeˈraːle/	6506964
