word	ipa	pageid
ᤀ		5671294
ᤀᤠᤀᤡᤴ		6034204
ᤀᤠᤀᤡᤴᤋᤠᤴᤍᤡᤰ		6034212
ᤀᤠᤂᤧᤴ		6037125
ᤀᤠᤏᤡ		6033752
ᤀᤠᤑᤠᤗᤣ		6034213
ᤀᤠᤱᤃᤠ		6033748
ᤀᤠᤳᤋᤡᤴ		6419497
ᤀᤠᤴᤇᤡ		6033750
ᤀᤠᤶᤒᤡ		6038502
ᤀᤠᤸᤗᤠᤣ		6034209
ᤀᤡᤰᤗᤣᤰ		6419222
ᤀᤡᤱᤄᤱ		6419506
ᤀᤡᤶᤔᤠ		6032725
ᤀᤧᤄᤠᤱ		6037081
ᤁ		5671295
ᤁᤴ		6033763
ᤁᤴᤇᤡ		6033764
ᤁᤴᤏᤠ		6036904
ᤁᤴᤜᤠ		6033766
ᤂ		5671297
ᤂᤠᤍᤠᤶᤔᤠ		6419219
ᤃ		5671298
ᤄ		5671300
ᤅ		5671301
ᤅᤠᤛᤡ		6034250
ᤆ		5671314
ᤆᤠᤜᤠᤒᤠ		6419223
ᤆᤢᤰᤛᤠ		6034040
ᤆᤣᤛᤢᤱ		6419501
ᤆᤫᤠ		6068029
ᤆᤫᤠ᤹ᤸ		2653612
ᤇ		5671326
ᤈ		5671336
ᤉ		5672063
ᤊ		5672064
ᤋ		5672660
ᤋᤖᤣᤒᤠ		6068018
ᤋᤖᤣᤔᤠ		6068019
ᤋᤠᤃᤣᤖᤠ ᤏᤡᤱᤘᤠᤑᤢᤔᤠᤱ		6068022
ᤋᤠᤑᤧᤶᤒᤠ		6034044
ᤋᤠᤴᤍᤡ		6034208
ᤋᤠᤴᤍᤡᤰ		6034205
ᤌ		5672662
ᤌᤠᤣ		6037079
ᤌᤠᤱᤒᤣᤴ		6068016
ᤌᤡᤒᤠᤣᤱ		6034265
ᤌᤡᤰ		6034243
ᤌᤡᤰᤛᤡᤃᤣᤰ		6420609
ᤍ		5672663
ᤎ		5672664
ᤏ		5673643
ᤏᤠᤁᤢᤛᤱ		6420608
ᤏᤠᤶᤎᤡᤱᤃᤥ		6419229
ᤏᤡᤱᤄᤢᤶ		6420603
ᤏᤢ		6037106
ᤏᤢᤒᤠ		6034034
ᤏᤢᤔᤠ		6034036
ᤏᤢᤛᤡ		6034255
ᤏᤧᤳᤇᤡ		6034244
ᤐ		5673644
ᤐᤠᤍᤠᤱᤒᤠ		6420604
ᤑ		5673645
ᤑᤠᤱᤛᤡ		6034261
ᤑᤢᤱ		6032722
ᤑᤧᤍᤠᤱᤔᤠ		6034198
ᤒ		5673646
ᤓ		5673647
ᤔ		5673648
ᤔᤠᤱ		6032717
ᤔᤡ		6068030
ᤔᤡᤰ		6032723
ᤔᤢᤰᤁᤢᤶᤒᤠ		6048599
ᤔᤧᤴᤇᤢᤔᤠ		6068015
ᤔᤧᤴᤇᤩᤠ		6068017
ᤔᤧᤶᤒᤣ		6037133
ᤕ		5673649
ᤕᤠᤣ		6037080
ᤕᤠᤶᤒᤡᤇᤠ		6068012
ᤕᤣ᤺ᤰᤕᤠ		6048575
ᤕᤧᤳᤇᤡ		6034256
ᤕᤶᤒᤠ		6034039
ᤖ		5673650
ᤗ		5673651
ᤗᤠᤱ		6032724
ᤗᤡᤛᤡ		6034248
ᤗᤣᤵᤔᤡ		6419504
ᤘ		5673652
ᤙ		6034843
ᤚ		7808588
ᤛ		6034844
ᤛᤠᤖᤡᤰ		6419216
ᤛᤠᤵᤔᤢᤴᤎᤢᤶ		6419227
ᤛᤢᤶᤛᤡ		6034245
ᤛᤧᤰᤂᤠᤒᤡ		6038504
ᤜ		6034845
ᤜᤠᤖᤠ		6034053
ᤜᤡᤶ		6032719
ᤜᤢᤏᤡ		6033781
ᤜᤢᤏᤣ		6033774
ᤜᤢᤴᤇᤡ		6033779
ᤜᤥᤵ		6034242
ᤜᤧᤏᤡ		6033762
ᤜᤧᤏᤣ		6033758
ᤜᤧᤰᤁᤣᤀᤠᤱ		6037094
ᤜᤧᤳᤋᤠᤣ		6037078
ᤜᤧᤴ		6033793
ᤜᤧᤴᤇᤡ		6033760
ᤜᤧᤴᤜᤠ		6033798
᥆		6032597
᥇		1450372
᥈		6032598
᥉		6032600
᥊		6032601
᥋		6032602
᥌		6032603
᥍		6032604
᥎		6032605
᥏		6032606
