word	ipa	pageid
alleminium	[ɑ˧ləˈmi˨ɲɔ˧m]	1300885
aomezeik	/ˈɔːm.zɛi̯k/	6598204
argon	[ˈa˨ʁʝo˦n]	30007
arseen	[ɑ˧ʁˈzeː˦n]	505046
barium	[ˈbaː˨ʁjɔ˧m]	30040
bats	/bats/	101647
be-	/bə/	777080
berilium	[ˈbeː˨ʁi˦ʎɔ˧m]	1300844
beuk	/bøː˦˨k/, li, /bø˦˨˧k/	325215
bie	[bi˨], li, [bi˦]	210129
bismuth	[ˈbɪ˦zmœ˧ð]	30069
bloodslieër	/ˈbloːdzlɪɐ(r)/, /ˈbloːðzlɪɐ(r)/	7212979
book	/boːk/	47
bróm	[ˈbʁo˦m]	1174145
bór	[ˈbo˨ʁ]	273778
chlór	[ˈxlo˨ʁ]	793437
chróm	[ˈxʁo˨m]	1300930
dae	[dæː˨]	628196
dao	[dɔː˨], li, [dɔː˦]	536992
disprosium	[dɪ˧zˈpʁoː˨ʃɔ˧m]	1302844
doe	[duː˨]	39452
erbium	[ˈæ˨ʁbjɔ˧m]	30052
europium	[øː˧ˈʁoː˨pjɔ˧m]	30047
fluorien	[fly˦woː˨ˈʁi˨n]	1300870
fosfór	[ˈfo˧ðfo˨ʁ]	744960
fökke	[ˈfœ˦kə]	1296698
gadolinium	[ʝa˧doː˦ˈli˦ɲɔ˧m]	30048
gallium	[ˈʝɑ˦ʎɔ˧m]	30016
geo	[ˈʝeː˦joː˧], li, [ˈʝeː˦joː˨], li, [ʝəʔˈo˦]	1290876
germanium	[ʝɛʁˈmaː˨ɲɔ˧m]	30017
geó	[ʝəʔˈo˦]	1290968
good	[ʝoː˦d], [ʝoː˦t]	4562
gód	[ʝo˦d], [ʝo˦t]	1290937
Gód	[ʝo˦d], [ʝo˦t]	1290944
góldj	[ˈʝo˦lc]	1302923
hae	/hɛː/	342150
hae vertroewtj zich wie eint haes	/hǽː vɐˈtr̥ùʊ̯ɟ zɪ́x ʍìː ɛ̀ɪ̯nt xǽːs/	2193008
hafnium	[ˈhɑ˦fɲɔ˧m]	30056
helium	[ˈheː˨ʎɔ˧m]	28641
