word	ipa	pageid
a		106923
ab		245
abb		300
algid		61283
algõ		4319466
algõd		4319474
algõm		4319471
alli		523639
allitas		4303699
alumīnij		4384992
alā		3576507
alīz		4317632
Amērik		545374
analīz		4299429
analōg		4384917
analōgij		4384911
and		2067
april		175216
atrāita		545294
atrāitanai		545290
Austrij		545477
azūmsõnā		4809361
aššõ		4300982
ažāsõnā		4893364
b		8670
bakbord	/bɑk.bord/	6075663
Belgij		545482
Beļgij		4373623
blēḑ		4317840
Bosnij		4373652
boŗ		4326424
Brissõl		4373633
brēḑig		3456270
brīõz		4317641
brūokst		4809623
Bulgārij		545479
bäzmõr		4310779
bōr		4326342
d		8691
dattõd		4308823
detsembõr		545226
drūošõ		4317622
Dēņmō		545370
Dūoņig		4383530
e		8537
Eirōp		545488
Englišmō		4371693
Engõlmō		545350
eļ		3649329
eļļõ		4301081
ežmi		545085
ežžõmpǟva		545269
f		229
februar		89239
februār		4321972
Frantsij		4371854
g		8692
Gipk		4383381
Grēkõmō		4371694
Grīekmō		545438
h		8693
Holand		545436
Horvātij		4373653
ibbi		4809722
-ij		529229
ikš		545035
ikšlug		4312959
ikštuoistõn		545055
informātsij		4384981
Irē		4383126
Irē joug		4383123
Island		135174
Itālij		4371697
Itāļmō		545430
iz		821376
Izrael		539171
Izraēl		545447
izt		4319454
izā		545499
izāmō	/ˈizɑːˌmoː/	6265246
j		8694
janvār		3495136
Jeimer		4375327
jellõ		4319341
jelāmi		4809312
jemā		545497
jo		59206
joutõmläpš		545296
juo		557384
jõvā ūomõg		4809382
jālga	/ˈjɑːlɡɑ/	4809350
Jālgab		4377139
jōņpǟva kū		553067
Jūdõmō		545450
jūlij		545218
jūnij		545215
jūoji		4317902
k		8695
kakš		545042
kakštuoistõn		545057
kalā	/ˈkɑlɑː/	3919231
kalāmīez		4311363
kanā		4372515
Kanād		4372499
kaš		4301293
kež		3164930
kievādkū		553064
kimdõ		4314474
kimdõz		4314477
kinō		1774960
knaš		4301330
Krīevmō		4371714
Krīevõmō		545358
kuddõ		4809363
Kuldīg		4383541
kuod		545031
kuolm		545043
kuolmtuoistõn		545059
kuolmõndpǟva		545275
Kuoštrõg		4383262
kuoț		4303766
Kurmō		4375350
Kurāmō		4375346
kõzzi		4809302
Kāndab		4377137
kēratiji		4809310
kēratēḑ		4600049
kēļ		4809728
kīlmakū		553072
Kīnõmō		4375431
kīņtš		876180
kīņḑõļkū		3458101
kōdõkskimdõz		4313134
kōdõkstuoistõn		545075
kōrand		4809344
kōŗa		4809326
kū		482608
Kū		1595345
kūlõ		4320724
Kūolka		4383136
Kūolka kõlā		4383142
Kūolka nanā		4383147
kūora		3164913
kūž	/kuːʒ/	545046
kūžtuoistõn		545068
kȭļimkū		553065
l		8696
lapsvȱidaji		545295
Leišmō		545356
Leišõmō		4371716
lešk		545292
lešknai		545289
Lețmō		545355
likkõ		4319612
lugsõnā		4809360
läpš		545301
lēḑkū		3458629
līdõ		4320444
Līvõmō		545514
lōja		4809345
lōlami		4809317
Lūž		4383129
lǟdõ		4320137
m		8697
maij		545214
mer		28298
minā		4313967
mitskimdõ		4317626
