word	ipa	pageid
aberi	/ˈɑberi/	3324417
aigu	/ˈɑi̯ɡu/	1001804
andua	/ˈɑnduɑ̯/	8177326
astuo	/ˈɑstuo̯/	8195399
avain	/ˈɑʋɑi̯n/	484914
avata	/ˈɑʋɑtɑ/	496213
-bo	/bo/	8665
boba	/ˈbobɑ/	100571
briha	/ˈbrihɑ/	7257855
brihačču	/ˈbrʲihɑt͡ʃːu/	8070387
buabo	/ˈbuɑ̯bo/	8195408
buolu	/ˈbuo̯lu/	8299855
burbettua	/ˈburbetːuɑ̯/	8195413
diedʹoi	/ˈdʲie̯dʲoi̯/	8195440
diivie	/ˈdʲiːʋie̯/	8195447
diädö	/ˈdʲiæ̯dʲø/	8195443
dogadie	/ˈdoɡɑdʲie̯/	8195453
eestiläine	/ˈeːstiˌlæi̯ne/	8077615
ehty	/ˈehtʲy/	8195458
ei	/ˈei̯/	34039
eliä	/ˈelʲiæ̯/	8069271
ellendiä	/ˈelʲːendʲiæ̯/	8069091
elo	/ˈelo/	191798
elätti	/ˈelʲætʲːi/	756721
emmo	/ˈemːo/	5716851
en	/ˈen/	1521
et	/ˈet/	8363
etto	/ˈetːo/	922787
eččie	/ˈet͡ʃːie̯/	8536806
eččii	/ˈet͡ʃːiː/	4119520
fatieru	/ˈfɑtʲie̯ru/	8195471
feršali	/ˈferʃɑlʲi/	8195479
fuknie	/ˈfuknʲie̯/	8195481
garbalo	/ˈɡɑrbɑlo/	8195487
gostie	/ˈɡostʲie̯/	8195577
gostittua	/ˈɡostʲitːuɑ̯/	8195583
griba	/ˈɡrʲibɑ/	8195563
harakku	/ˈhɑrɑkːu/	4117537
hebo	/ˈhebo/	756318
heiny	/ˈhei̯nʲy/	4117535
hiemai	/ˈhie̯mɑi̯/	8534952
hiili	/ˈhiːlʲi/	230655
hiiri	/ˈhiːrʲi/	42060
hori	/ˈhorʲi/	1848782
huba	/ˈhubɑ/	263438
hukku	/ˈhukːu/	4117478
huogavuo	/ˈhuo̯ɡɑʋuo̯/	8195628
huomenessah	/ˈhuo̯meˌnʲesːɑh/	8359319
huondes	/ˈhuo̯ndʲes/	3324512
hypätä	/ˈhypætʲæ/	41964
hyö	/ˈhyø̯/	692301
häi	/ˈhæi̯/	315673
-i	/-i/	76856
igä	/ˈiɡæ/	3329834
ikkun	/ˈikːun/	6436758
-in	/-in/	55541
-ine	/-inʲe/	462061
istuo	/ˈistuo̯/	8055525
itkie	/ˈitkʲie̯/	8196588
iäni	/ˈiæ̯nʲi/	756338
iänioppi	/ˈiæ̯nʲiˌopːi/	8299282
jaksavuo	/ˈjɑksɑʋuo̯/	8196607
jalgu	/ˈjɑlɡu/	315674
jiä tervehekse	/ˈjiæ̯ ˈtʲerʋeˌheksʲe/	8067980
jiägiä tervehekse	/ˌjiæ̯ɡiæ̯ ˈtʲerʋeheksʲe/	8067974
jiähä	/ˈjiæ̯hæ/	8067983
jogi	/ˈjoɡi/	1058610
joukko	/ˈjou̯kːo/	484447
juvva	/ˈjuʋːɑ/	4717802
järvi	/ˈjærʋi/	42031
kaikkie hyviä	/ˌkɑi̯kʲːie̯ ˈhyʋiæ̯/	8359282
kala	/ˈkɑlɑ/	44200
Karjal	/ˈkɑrjɑl/	8070104
karjalaine	/ˈkɑrjɑlɑi̯ne/	8070101
karjalan	/ˈkɑrjɑlɑn/	1006928
karjalan kieli	/ˈkɑrjɑlɑn ˌkie̯li/	6608537
Karjalan Tazavaldu	/ˈkɑrjɑlɑn ˈtɑzɑˌʋɑldu/	8077743
kaste	/ˈkɑstʲe/	210120
keittiä	/ˈkei̯tʲːiæ̯/	8536815
keittäi	/ˈkei̯tʲːæi̯/	3324454
ken	/ˈken/	40161
kenguru	/ˈkeŋɡuru/	44925
kezä	/ˈkezæ/	3323275
kezäkuu	/ˈkezæˌkuː/	6223665
kieli	/ˈkie̯li/	42533
kirju	/ˈkirju/	3323264
kirjuttua	/ˈkirjutːuɑ̯/	8069085
kiändiä	/ˈkiæ̯ndiæ̯/	8069167
kiändäi	/ˈkiæ̯ndʲæi̯/	4119518
kodi	/ˈkodʲi/	1650259
koiru	/ˈkoi̯ru/	3591007
kudžoi	/ˈkud͡ʒoi̯/	3329428
kui	/ˈkui̯/	541187
kuibo	/ˈkui̯bo/	8068181
kuibo elät	/ˌkui̯bo ˈelʲæt/	8359077
kuibo elät-olet	/ˌkui̯bo ˈelʲæt ˈolʲet/	8359218
kuibo sinun nimi on	/ˈkui̯bo ˌsinun ˈnimi ˌon/	8068889
kuibo sinuu kučutah	/ˈkui̯bo ˌsinuː ˈkut͡ʃutɑh/	8068890
kuikku	/ˈkui̯kːu/	6816685
kuorʹoi	/ˈkuo̯rʲoi̯/	8316265
kurgi	/ˈkurɡi/	4117564
kuu	/ˈkuː/	41941
kuččuo	/ˈkut͡ʃːuo̯/	8068905
kyly	/ˈkylʲy/	1058611
kylä	/ˈkylʲæ/	44720
kyzyö	/ˈkyzyø̯/	8196652
käby	/ˈkæby/	7257111
käbäl	/ˈkæbæl/	6428246
lapsi	/ˈlɑpsʲi/	41942
late	/ˈlɑtʲe/	55887
