word	ipa	pageid
acixl	[ʔa³³tsʰz̠̩⁶⁶]	7726229
adaxl	[ʔa³³ta̠⁶⁶]	7730684
adoxl	[ʔa³³to̠⁶⁶]	7735858
ago	[ʔa³³ko³³]	41029
ajjix	[ʔa³³dʒi̠⁴⁴]	5788227
alcur	[ʔa⁵⁵tsʰz̩ʷ²¹]	7733444
alker	[ʔa⁵⁵kʰɯ²¹]	6026402
allur	[ʔa⁵⁵ɮɤ²¹]	208750
almir	[ʔa⁵⁵mi²¹]	7726317
almiuxr	[ʔa⁵⁵mʲo̠ʔ²¹]	7726334
alniaxr	[ʔa⁵⁵nʲa̠²¹ʔ]	7726253
ama	[ʔa³³ma³³]	97031
anei	[ʔa³³ne³³]	7731186
aneipo	[ʔa³³ne³³pʰo³³]	7731187
anol	[ʔa³³no⁵⁵]	7726319
arbbor	[ʔa²¹bo²¹]	7730665
arbo	[ʔa²¹po³³]	27553
arpopo	[ʔa²¹pʰo³³pʰo³³]	7731185
azzu	[ʔa³³dzz̩ʷ³³]	7731493
baxr	[pa̠ʔ²¹]	7729347
baxrde	[pa̠ʔ²¹tə³³]	7731495
bbaer	[bæ²¹]	7726372
bbeix	[be̠⁴⁴]	7920471
bber	[bɯ²¹]	7726496
bbi	[bi³³]	7730602
bbiu	[bʲo³³]	7919200
bbiur	[bʲo²¹]	7726516
bbixr	[bi̠ʔ²¹]	7733194
bborji	[bo²¹tʃi³³]	7728375
beizi	[pe³³tsz̩³³]	7731508
bexbex	[pɯ̠⁴⁴pɯ̠⁴⁴]	7726485
bol	[po⁵⁵]	8105
ca	[tsʰa³³]	31468
capor	[tsʰa³³pʰo²¹]	7730612
cei	[tsʰe³³]	2987739
cexlyi	[tsʰə̠⁶⁶ʝi³³]	7731217
daxlco	[ta̠⁶⁶tsʰo³³]	7733199
ddoleixr	[do³³ɮe̠ʔ²¹]	7727060
doxl	[to̠⁶⁶]	7735859
giel	[kʲɛ⁵⁵]	3056589
hax	[xa̠⁴⁴]	104157
hhe	[ɣɯ³³]	7731372
hor	[xo²¹]	248350
ji	[tʃi³³]	234585
jir	[tʃʲɛ²¹]	2200882
jiur	[tʃʲo²¹]	7918836
kax	[kʰa̠⁴⁴]	3469429
ker	[kʰɯ²¹]	885265
lazzar	[ɮa³³dza²¹]	7734186
leixrhher	[ɮe̠ʔ²¹ɣɯ²¹]	7728520
leixrni	[ɮe̠ʔ²¹ni³³]	7729295
leixrnimo	[ɮe̠ʔ²¹ni³³mo³³]	7729297
lilbol	[ɮi⁵⁵po⁵⁵]	7731188
lilmo	[ɮi⁵⁵mo³³]	7731189
lo	[ɮo³³]	45596
lormomar	[ɮo²¹mo³³ma²¹]	7726304
lozi	[ɮo³³tsz̩³³]	4717502
luldaddur	[ɮɤ⁵⁵ta³³dv̩²¹]	7731223
lur	[ɮɤ²¹]	273692
lursae	[ɮɤ²¹sæ³³]	7919175
maerssor	[mæ²¹zo²¹]	7730632
me	[mɯ³³]	5752
meir	[me²¹]	220858
meixddur	[me̠⁴⁴dv̩²¹]	7728114
mer	[mɯ²¹]	28298
merni	[mɯ²¹ni³³]	7441183
mi	[mi³³]	2677
mo	[mo³³]	174306
mur	[mɤ²¹]	267656
ngax	[ŋa̠⁴⁴]	7726370
ngol	[ŋo⁵⁵]	7726494
nimar	[ni³³ma²¹]	7730677
nimo	[ni³³mo³³]	4808015
niur	[nʲo²¹]	7726295
nixmox	[ni̠⁴⁴mo̠⁴⁴]	7729727
nolba	[no⁵⁵pa³³]	7728400
nox	[no̠⁴⁴]	46471
noxlbbex	[no̠⁶⁶bɯ̠⁴⁴]	7728164
olce	[ʔo⁵⁵tsʰə³³]	7727314
olnoxr	[ʔo⁵⁵no̠ʔ²¹]	7729433
paer	[pʰæ²¹]	7733344
peixl	[pʰe̠⁶⁶]	7733380
pia	[pʰʲa³³]	263743
pirze	[pʰi²¹tsə³³]	7729351
por	[pʰo²¹]	48402
qiaxrmeix	[tʃʰʲa̠ʔ²¹me̠⁴⁴]	7727316
qixnex	[tʃʰi̠⁴⁴nə̠⁴⁴]	7731229
sae	[sæ³³]	1406889
seir	[se²¹]	2797950
seixl	[se̠⁶⁶]	7729429
ser	[sə²¹]	36922
silbbar	[sz̩⁵⁵ba²¹]	7733361
sser	[zə²¹]	7920481
ssixrmomar	[zz̩ʔ²¹mo³³ma²¹]	7726360
ssor	[zo²¹]	7730686
ssormaer	[zo²¹mæ²¹]	7730627
veixr	[ve̠ʔ²¹]	7726325
viveixr	[vi³³ve̠ʔ²¹]	7925063
vixlux	[vi̠⁴⁴ɮɤ̠⁴⁴]	7733355
vu	[vɤ³³]	50070
wor	[wo²¹]	310498
worga	[wo²¹ka³³]	7733460
xiubbo	[ʃʲo³³bo³³]	7735840
yix	[ʝi̠⁴⁴]	7726482
zaezir	[tsɛ³³tsz̩²¹]	7731497
zzei	[dze³³]	7733347
zzemar	[dzə³³ma²¹]	7726479
zzo	[dzo³³]	7731952
zzor	[dzo²¹]	7920474
