word	ipa	pageid
अऽ	/əː/	8118839
अ꣱		8118819
इऺ	[ɪ̆]	8076985
उऺ	[ʊ̆]	8076988
गवैया		6507505
ॳ	/ɘ̆/	6049152
ॴ	[ä]	6049153
ॵ	/əo̯/	6049149
ৰ	/ɾ/	5584292
ꣾ	/ə͡e̯/	8076989
𑒁	/a/	5658698
𑒂	/aː/	5658701
𑒃	/i/	5658702
𑒄	/iː/	5659152
𑒅	/u/	5659153
𑒆	/uː/	5659154
𑒇	/r̩/	5659196
𑒈	/r̩ː/	5659212
𑒉	/l̩/	5659215
𑒊	/l̩ː/	5659217
𑒋	/eː/	5659441
𑒌	/ai/	5659442
𑒍	/oː/	5659443
𑒎	/au/	5659446
𑒏	/k/	5659450
𑒐	/kʰ/	5659451
𑒑	/ɡ/	5659453
𑒒	/ɡʱ/	5659455
𑒓	/ŋ/	5659458
𑒔	/t͡ʃ/	5659461
𑒕	/t͡ʃʰ/	5659462
𑒖	/d͡ʒ/	5659463
𑒗	/d͡ʒʱ/	5659466
𑒘	/ɲ/	5659469
𑒙	/ʈ/	5659470
𑒚	/ʈʰ/	5659475
𑒛	/ɖ/	5659477
𑒜	/ɖʱ/	5659479
𑒝	/ɳ/	5660464
𑒞	/t̪/	5660466
𑒟	/t̪ʰ/	5660467
𑒠	/d̪/	5660471
𑒡	/d̪ʱ/	5660474
𑒢	/n/	5660476
𑒣	/p/	5660477
𑒤	/pʰ/	5660478
𑒥	/b/	5660742
𑒦	/bʱ/	5661648
𑒧	/m/	5661649
𑒨	/j/	5661650
𑒩	/r/	5661683
𑒪	/l/	5661687
𑒫	/ʋ/	5661688
𑒬	/ʃ/	5663161
𑒭	/ʂ/	5663162
𑒮	/s/	5663163
𑒯	/ɦ/	5663165
𑒰	/aː/	5663166
𑒱	/i/	5663167
𑒲	/iː/	5663168
