word	ipa	pageid
a'-	[aʔ-]	8016938
a'ba	[ˈaʔba]	8004733
a'bebe	[aʔˈbɛbɛ]	8021863
a'beso'	[aʔˈbesoʔ]	7994202
a'boya	[aʔˈboja]	7994121
a'dengka	[aʔˈdeŋka]	7994244
a'garu	[aʔˈɡaru]	7994410
a'je'ne'	[aʔˈɟeʔneʔ]	7967244
a'lamung	[aʔˈlamuŋ]	7994234
a'lu'	[ˈaʔluʔ]	7994127
a'masa'	[ˈaʔmasaʔ]	7837029
a'raka'	[aʔˈrakaʔ]	8001398
a'rappungang	[aʔraˈpːuŋaŋ]	8001419
a'roko'	[aʔˈrokoʔ]	7984506
abang	[ˈabaŋ]	42865
accera'	[aˈcːeraʔ]	7975294
accini'	[aˈcːiniʔ]	7984497
accokko	[aˈcːɔkːɔ]	7976318
agang	[ˈaɡaŋ], mak, [aˈɡaŋ]	8006363
akkalimbu'	[akːaˈlimbuʔ]	7996186
akkaluru'	[akːaˈluruʔ]	8006007
akkana	[aˈkːana]	821996
akkangkang	[aˈkːaŋkaŋ]	7987233
akke'bu'	[aˈkːeʔbuʔ]	7998102
akkeke	[aˈkːɛkɛ]	7998057
akkio'	[aˈkːioʔ]	7987173
akkulantu'	[akːuˈlantuʔ]	7994135
alimbu'bu'	[alimˈbuʔbuʔ]	8004687
allanngere'	[aˈlːaŋːereʔ]	7979962
alle	[ˈalːɛ]	72122
allembara'	[aˈlːembaraʔ]	7999897
allo	[ˈalːɔ]	72119
alloi	[aˈlːoi]	7976716
allu'lu'	[aˈlːuʔluʔ]	7999870
ambani	[amˈbani]	8008616
ammacco'	[aˈmːacːoʔ]	7999845
ammalli	[aˈmːalːi]	7976344
ammang	/ammaŋ/	7277653
ammenteng	[ˈenteŋ]	7998615
ammera	[aˈmːera]	7999858
amminro	[amːˈinro]	7994422
ammisang	[aˈmːisaŋ]	7999966
ammoca'	[aˈmːocaʔ]	7999961
ammotere'	[aˈmːotereʔ]	7976806
ammuko	[aˈmːukɔ]	2697013
ana'	[ˈanaʔ]	5241719
anggappa	[aŋˈɡapːa]	7994257
Anggarrisi'	[aŋˈɡarːisiʔ]	8014208
anging	[ˈaŋiŋ]	2081384
anjaguru'	[aɲˈɟaɡuruʔ]	7994474
anjakkala'	[aɲˈɟakːalaʔ]	7996123
anjama	[aɲˈɟama]	7996144
anjo	[ˈaɲɟɔ]	1094970
anjo'jo'	[aɲˈɟoʔɟoʔ]	7996159
anjoreng	[aɲˈɟoreŋ]	8004071
anna'gala'	[aˈnːaʔɡalaʔ]	7984522
annampiling	[anːamˈpiliŋ]	7994228
annang	[ˈanːaŋ]	8004430
anne	[ˈanːɛ]	175461
annga'lu'	[aˈŋːaʔluʔ]	7994129
anngai	[aˈŋːai]	7994101
anngakka'	[aˈŋːakːaʔ]	7996166
anngalimbuki	[aŋːalimˈbuki]	7996181
anngalle	[aˈŋːalːɛ]	7987149
anngalloi	[aŋːaˈlːoi]	7976719
anngalotori	[aŋːaloˈtori]	7976766
anngangkang	[aˈŋːaŋkaŋ]	7987231
annganre	[aˈŋːanrɛ]	7976326
anngarru'	[aˈŋːarːuʔ]	7998163
anngerang	[aˈŋːeraŋ]	7976654
annginrang	[aˈŋːinraŋ]	8007486
annginung	[aˈŋːinuŋ]	7980934
anngisseng	[aˈŋːisːeŋ]	7994107
anngokko'	[aˈŋːokːoʔ]	7976672
anngondang	[aˈŋːondaŋ]	7999819
anngota	[aˈŋːota]	7994133
anngu'rangi	[aŋːuʔˈraŋi]	8002417
anno'do'	[aˈnːoʔdoʔ]	7994221
annobo'	[aˈnːoboʔ]	7994215
annyokko	[aˈɳːɔkːɔ]	7976330
annyungke	[aˈɲːuŋkɛ]	8002257
anrappung	[anˈrapːuŋ]	8001415
anri'ba'	[anˈriʔbaʔ]	7976823
anrinni	[anˈrinːi]	8004066
antu	[ˈantu]	6345880
antureng	[anˈtureŋ]	8004068
appaenteng	[apːaˈenteŋ]	7998605
appainro	[apːaˈinro]	7994419
appakarru'	[apːaˈkarːuʔ]	7998152
appala'	[aˈpːalaʔ]	7994118
appallu	[aˈpːallu]	7999839
appare'	[aˈpːareʔ]	7999864
appari'ba'	[apːaˈriʔbaʔ]	7976837
apparinra	[apːaˈrinra]	8001452
appasulu'	[apːaˈsuluʔ]	7986706
appattasa'	[aˈpːatːasaʔ]	7999882
appatu'guru'	[apːaˈtuʔɡuruʔ]	7976429
appela'	[aˈpːelaʔ]	7994125
appila'busi	[apːilaʔˈbusi]	7999800
appilanngeri	[aˈpːilaˈŋːeri]	7980951
appirassi	[apːiraˈsːi]	8001435
Araba	[araˈba]	7751618
areng	[ˈareŋ]	3174547
ase	[ˈasɛ]	206640
assaluara'	[asːaˈluaraʔ]	8016886
assare	[aˈsːarɛ]	2131014
assassa	[aˈsːasːa]	7976369
assingara'	[aˈsːiŋaraʔ]	8002251
assongo'	[aˈsːoŋoʔ]	7979903
assulu'	[aˈsːuluʔ]	7983368
assuro	[aˈsːurɔ]	8002329
atta'gala'	[aˈtːaʔɡalaʔ]	7984530
attayang	[aˈtːajaŋ]	8002343
au	[ˈau]	31079
ba'lalo	/baʔlalo/	7277656
ba'le	/baʔle/	7277658
ba'leang	/baʔleaŋ/	7277659
ba'nusu'	/baʔnusuʔ/	7277662
ba'ra'	/baʔraʔ/	7277893
baine	[baˈinɛ]	5370574
balao	[baˈlaɔ]	7982110
balla'	[ˈbalːaʔ]	7967194
balla' garring	[ˌbalːaʔ ˈɡarːiŋ]	7977822
balli	[ˈbalːi]	571836
bambang	[ˈbambaŋ]	6890760
bangkeng	[ˈbaŋkeŋ]	7971327
barambang	[baˈrambaŋ]	7971322
bari'basa'	[baˈriʔbasaʔ]	7977840
bassoro'	[ˈbasːoroʔ]	7977846
battala'	[ˈbatːalaʔ]	7974981
battang	[ˈbatːaŋ]	7971317
bau'	[ˈbauʔ]	8008579
bawa	[ˈbawa]	3621429
bawi	[ˈbawi]	1238082
bayao	[baˈjaɔ]	7981408
bebe	[ˈbɛbɛ]	341679
bedeng	[ˈbedeŋ]	8004458
bella	[ˈbelːa]	98077
benteng	[ˈbenteŋ]	7347587
berang	[ˈberaŋ]	8007468
berasa'	[ˈberasaʔ]	7975285
beru	[ˈberu]	273454
beso'	[ˈbesoʔ]	7994196
bibere'	[ˈbibereʔ]	7981380
binanga	[biˈnaŋa]	7986713
biralle	[biˈralːɛ]	7994086
bise	[ˈbisɛ]	816719
biseang	[biˈsɛaŋ]	8006505
bitisi'	[ˈbitisiʔ]	7992341
bo'bo'	[ˈboʔboʔ]	7974024
bo'dong	[ˈboʔdoŋ]	8007509
bo'dong-bo'dong	[ˌboʔdomˈboʔdoŋ]	8007503
bodo	[ˈbɔdɔ]	1675837
bolang-bolang	[ˌbolamˈbolaŋ]	8004603
bongga	[ˈboŋɡa]	6335907
botto'	[ˈbotːoʔ]	8008577
boya	[ˈboja]	533037
Bugisi'	[ˈbuɡisiʔ]	8015177
bukkuleng	[buˈkːuleŋ]	7981388
buku	[ˈbuku]	6408
bulang	[ˈbulaŋ]	1249285
bulo	[ˈbulɔ]	77457
bungung	[ˈbuŋuŋ]	7994019
bura'ne	[buˈraʔnɛ]	7992354
butta	[ˈbutːa]	584824
ca'di	[ˈcaʔdi]	7976663
cammi'	[ˈcamːiʔ]	8014138
cara'de'	[caˈraʔdeʔ]	8008624
carammeng	[caˈramːeŋ]	8008717
ce'la	[ˈceʔla]	7974032
cera'	[ˈceraʔ]	7974002
cidu'	[ˈciduʔ]	8008648
cikali	[ciˈkali]	7982082
cini'	[ˈciniʔ]	7984492
cipuru'	[ˈcipuruʔ]	7977844
co'mo'	[ˈcoʔmoʔ]	8008573
cokko	[ˈcɔkːɔ]	7976312
colo'	[ˈcoloʔ]	8008728
dapara'	[ˈdaparaʔ]	7992442
dare'	[ˈdareʔ]	7982136
dengka	[ˈdeŋka]	7994240
dinging	[ˈdiŋiŋ]	469226
ditti'	[ˈditːiʔ]	8250369
doang	[ˈdɔaŋ]	7860118
doke'	[ˈdokeʔ]	7982132
eja	[ˈeɟa]	457407
epa	[ˈepa]	1372063
erang	[ˈeraŋ]	7976649
ero'	[ˈeroʔ]	7977460
gappa	[ˈɡapːa]	7994253
garagaji	[ɡaraˈɡaɟi]	7004937
garring	[ˈɡarːiŋ]	4440559
garu	[ˈɡaru]	289728
gasing-gasing	[ˌɡasiŋˈɡasiŋ]	8014191
gassing	[ˈɡasːiŋ]	568955
gau'	[ˈɡauʔ]	8158319
ingkong	[ˈiŋkoŋ]	3170772
inrang	[ˈinraŋ]	8007484
inro-inro	[ˌinroˈinro]	7994439
inung	[ˈinuŋ]	7980931
isseng	[ˈisːeŋ]	7994105
jaguru'	[ˈɟaɡuruʔ]	7994470
jakkala'	[ˈɟakːalaʔ]	7996120
jama	[ˈɟama]	847443
jamang	[ɟaˈmaŋ]	7996141
jangang	[ˈɟaŋaŋ]	7967202
jangka	[ˈɟaŋka]	7986740
je'ne'	[ˈɟeʔneʔ]	7967216
jo'jo'	[ˈɟoʔɟoʔ]	7996153
juku'	[ˈɟukuʔ]	7978608
ka'daro	[kaʔˈdarɔ]	7994078
ka'daro ulu	[kaʔˌdarɔ ˈulu]	7994080
ka'muru	[kaʔˈmuru]	7981384
kacikoro'	[kaˈcikoroʔ]	7992404
kaeroki	[kaeˈroki]	7977461
kakka'	[ˈkakːaʔ]	7996164
kalarroang	[kalaˈrːɔaŋ]	7978996
kalarroi	[kalaˈrːoi]	7977458
kale	[ˈkalɛ]	44711
kalimbu'	[kaˈlimbuʔ]	7986742
kalimbuki	[kalimˈbuki]	7996176
kallong	[kaˈlːoŋ]	6329388
kalotori	[kaloˈtori]	7976763
kalotoro'	[kaˈlotoroʔ]	7976761
kaluku	[kaˈluku]	7005070
kaluru'	[kaˈluruʔ]	8006003
kamallakkang	[kamaˈlːakːaŋ]	7979016
kambe	[ˈkambɛ]	6963828
kana	[ˈkana]	31400
kangkang	[ˈkaŋkaŋ], mak, [ˈkaŋkaŋ]	7987226
kannying	[ˈkaɲːiŋ]	7992272
kanre	[ˈkanrɛ]	7976308
kapa'-kapasa'	[ˌkapaˈkːapasaʔ]	8004568
karaeng	/kaˈraeŋ/	7847737
karattasa'	[kaˈratːasaʔ]	8008626
karemeng	[kaˈremeŋ]	7981392
karro'-karro'	[ˌkarːoˈkːarːoʔ]	8004556
karruki	[kaˈrːuki]	7998177
karueng	[kaˈrueŋ]	7992435
kassi'	[ˈkasːiʔ]	7979948
katala'	[ˈkatalaʔ]	7985619
katimbang	[kaˈtimbaŋ]	8004607
katinting	[kaˈtintiŋ]	7992408
katte	[ˈkatːɛ]	809719
kawe-kawe	[ˌkawɛˈkawɛ]	8015245
ke'bu'	[ˈkeʔbuʔ]	7998094
kebo'	[ˈkeboʔ]	7973997
keke	[ˈkɛkɛ]	2037271
ki-	[ki]	264686
kio'	[ˈkioʔ]	7987171
kokko'	[ˈkokːoʔ]	7976668
koko	[ˈkɔkɔ]	102075
kongkong	[ˈkoŋkoŋ]	7967173
kota	[ˈkota]	101652
-ku	[ku]	1093137
ku-	[ku]	1409776
kulantu'	[kuˈlantuʔ]	7982101
kullu-kullu	[ˌkulːuˈkulːu]	8004593
kuttu	[ˈkutːu]	474809
kutu	[ˈkutu]	276410
la'bu	[ˈlaʔbu]	8008469
la'busu'	[ˈlaʔbusuʔ]	7999803
lading	[ˈladiŋ]	68543
lamung	[ˈlamuŋ]	7175726
lamungang	[laˈmuŋaŋ]	7994236
langi'	[ˈlaŋiʔ]	7986652
lanngere'	[ˈlaŋːereʔ]	7979959
lantang	[ˈlantaŋ]	8008654
larro	[ˈlarːɔ]	7977456
laso	[ˈlasɔ]	1359034
lau'	[ˈlauʔ]	8010243
le'leng	[ˈleʔleŋ]	7969168
leko'	[ˈlekoʔ]	7983742
leko' toli	[ˌlekoʔ ˈtoli]	8011902
lembara'	[ˈlembaraʔ]	7999895
lembarang	[lemˈbaraŋ]	7999957
lepa-lepa	[ˌlepaˈlepa]	8006449
lila	[ˈlila]	317478
lima	[ˈlima], mak, [ˈlima]	53280
lipa'	[ˈlipaʔ]	8007470
lolo	[ˈlɔlɔ]	310453
lompo	[ˈlɔmpɔ]	4444111
londeng	[ˈlondeŋ]	7981414
lu'lu'	[ˈluʔluʔ]	7999868
luara'	[ˈluaraʔ]	8008459
lunra'	[ˈlunraʔ]	8004573
malla'	[ˈmalːaʔ]	7979013
-mang	[maŋ]	2714512
mangge	[ˈmaŋɡe]	7981421
Mangkasara'	[maŋˈkasaraʔ]	8000080
Marusu'	[ˈmarusuʔ]	8015138
mata	[ˈmata]	97377
membara'	[ˈmembaraʔ]	8014111
miong	[ˈmioŋ]	7982125
moncong	[ˈmoɲcoŋ]	7992430
moncong bulo	[ˌmoɲcomˈbulo]	8158331
-na	[na]	55659
na-	[na]	1400149
nai'	[ˈnaiʔ]	7983520
nakke	[ˈnakːɛ]	1391622
naung	[ˈnauŋ]	7983371
ngai	[ˈŋai]	2153474
nia'	[ˈniaʔ]	7999312
-nu	[nu]	5374441
nu-	[nu]	1496611
olo'	[ˈoloʔ]	7987206
olo'-olo'	[oloʔˈoloʔ]	7994083
ondang	[ˈondaŋ]	7999814
ongkosi	[oŋˈkosi]	8016882
ongkoso'	[ˈoŋkosoʔ]	8016868
otere'	[ˈotereʔ]	7983715
pa'balle	[paʔˈbalːɛ]	7983734
pa'dengka	[paʔˈdeŋka]	7994248
pa'garringang	[paʔɡaˈrːiŋaŋ]	7977804
pa'larroang	[paʔlaˈrːɔaŋ]	7977471
pa'leo'	[paʔˈleoʔ]	8004724
pa'lungang	[paʔˈluŋaŋ]	8007473
pa'rasangang	[paʔraˈsaŋaŋ]	8438002
pa're	[ˈpaʔrɛ]	8014135
pa'risi'	[ˈpaʔrisiʔ]	7985627
pacco'	[ˈpacːoʔ]	7999842
paenteng	[paˈenteŋ]	7998601
painro	[paˈinro]	7994417
paja	[ˈpaɟa]	263790
pakarru'	[paˈkarːuʔ]	7998145
pakke'bu'	[paˈkːeʔbuʔ]	7998108
pakkuttuang	[pakːuˈtːuaŋ]	7994138
pala'	[ˈpalaʔ], mak, [ˈpalaʔ]	7985575
pallu	[ˈpalːu]	4317896
palu'lu'	[paˈluʔluʔ]	7999873
pammaja'	[paˈmːaɟaʔ]	8007338
panjaguru'	[paɲˈɟaɡuruʔ]	7994479
panjo'jo'	[paɲˈɟoʔɟoʔ]	7996157
