word	ipa	pageid
ababe	/ababe/	3314744
abahana	/ə̥ˈbahə̥nə̥/, mg, /ˈbaːn/	3319110
abaribary	/abaɾibaɾʲ/	3316940
abidy	/abidʲ/	3314714
abily	/abilʲ/	3319013
aboretaka	/abuɾetakạ/	3315118
adala	/adalạ/	3315563
adana	/ˈad/	3318219
adary	/adaɾʲ/	3314673
adiady	/adiadʲ/	3315484
adiditra	/adidit͡ʂạ/	3319432
adidy	/adidʲ/	3315036
adilotra	/adilut͡ʂạ/	3315564
adin' andriana	/adin anɖ͡ʐianạ/	3318558
adina	/adinạ/	3316042
adiny	/adinʲ/	3316789
adisanina	/adisaninạ/	3314614
adonadona	/adunadunạ/	3318469
ady	/adʲ/	3314806
ady am-parimbona	/adʲ am͡paɾim͡bunạ/	3314935
ady an-trano	/ˈadənˈt͡ʂanʷ/	3315385
ady antsanga	/adʲ an͡t͡saŋ͡ɡạ/	3314997
afafa	/afafạ/	3319229
afafy	/afafʲ/	3315292
afahy	/afaʔʲ/	3316148
afaitra	/afait͡ʂạ/	3317891
afaka	/afakạ/	3316393
afaka aina	/afaka ainạ/	3315639
afakampitso	/afakam͡pit͡sʷ/	3315632
afakomaly	/afakumalʲ/	3315633
afatotra	/afatut͡ʂạ/	3315110
afatra	/afat͡ʂạ/	3315591
aferon-kena	/afeɾuŋ͡kenạ/	3315003
afioka	/afiukạ/	3319578
afo	/afʷ/	3315242
afofandiovana	/afufandiuvanạ/	3318539
afokasoka	/afukasukạ/	3317003
afonafona	/afunafunạ/	3316421
afondolo	/afundulʷ/	3319589
aforano	/afuɾanʷ/	3314604
afotana	/afutanạ/	3319614
afotroa	/afut͡ʂuạ/	3319513
afovato	/afuvatʷ/	3316310
afovoany	/afuvuanʲ/	3315311
afoy	/afuʲ/	3316373
afy	/afʲ/	3316637
ahady	/aʔadʲ/	3315709
ahaingo	/aʔaiŋ͡ɡʲʷ/	3315648
ahan-dratsy	/aʔanɖ͡ʐat͡sʲ/	3316765
ahanahana	/aʔanaʔanạ/	3315792
ahiahy	/aʔiaʔʲ/	3315476
ahidrano	/aʔiɖ͡ʐanʷ/	3318901
ahimaina	/aʔimainạ/	3316762
ahitra	/aʔit͡ʂạ/	3317018
aho	[ˈa.u]	268785
aholo	/aʔulʷ/	3316795
ahonahona	/aʔunaʔunạ/	3316358
ahy	/aʔi/	3314769
ai-miampify	/aimiam͡pifʲ/	3315642
aiay	/aiaj/	7379244
aidina	/aidinạ/	3316651
ainginaingina	/aiŋ͡ɡinaiŋ͡ɡinạ/	3318879
aingitraingitra	/aiŋ͡ɡit͡ʂaiŋ͡ɡit͡ʂạ/	3315687
akanakana	/akanakanạ/	3315672
akanga	/akaŋ͡ɡạ/	3316690
akanjo	/akand͡zʷ/	3315409
akanjo ba	/akand͡zu bạ/	3316445
akanjo baliaka	/akand͡zu baliakạ/	3316890
akanjo be	/akand͡zu be/	3318160
akanjo bilaozy	/akand͡zu bilauzʲ/	3315060
akanjo bory tanana	/akand͡zu buɾʲ tananạ/	3319493
akanjo fanamiana	/akand͡zu fanamianạ/	3319451
akanjo lava	/akand͡zu lavạ/	3315291
akanjo lobaka	/akand͡zu lubakạ/	3318963
akanjo tsy lena	/akand͡zu t͡sʲ lenạ/	3317181
akarenjy	/akaɾend͡zʲ/	3317139
akatra	/akat͡ʂạ/	3314798
akimpy	/akim͡pʲ/	3318980
akio	/akiʷ/	3318951
akisa	/akisạ/	3316616
akofa	/akufạ/	3315317
akohokely	/aˌkuhuˈkelʲ/, [əˌkuːˈkelʲ]	3315349
ala	/ˈa.la/, [ˈa.lə̥]	47314
alazy	/alazʲ/	3315383
alika	/alikʲạ/	3315264
amalona	/amalunḁ/	3315854
amboa	/əmˈbuə/	7166176
amboadia	/am͡buadiạ/	3316801
amboahaolo	/am͡buaʔaulʷ/	3316387
amboanala	/am͡buanalạ/	7379643
ampaha	/am͡paʔḁ/	3315296
ampondra	/aˈmpuɳɖʳə̥/	3315786
ampongabendanitra	/am͡puŋ͡ɡabendanit͡ʂḁ/	3318327
ampongy	/ampunɡʲ/	7379657
andevokorova	/andevukuɾuvạ/	7385003
andriana	/ˈandʐen/	3317916
anoratana	/ə.ˈnu.ɽə.tə.nə/	1783228
Antananarivo	/ə̥ntə̥ˌnanˈdʐivʷ/	524725
antsangy	/ənˈtsaŋɡʲ/	6384289
aositrisy	/osit͡ʂisʲ/	3318155
arivo	[ˈrivʷ]	3048994
avaratra	/avaɾat͡ʂạ/	3317922
-ay	/aʲ/	3318156
babakoto	/babakutʷ/	4244411
balaonina	/baloninḁ/	3314871
bibikely	/bibikelʲ/	3316853
bibilava	/ˈbibʲˈlav/	236870
biriky	/biɾikʲ/	236449
daty	[datʲ]	3315628
diakona	/diakunạ/	3315638
dite	/dite/	501829
ditra	/dit͡ʂạ/	3315515
elefanta	/elefan͡tạ/	454549
endrika	/enɖ͡ʐikʲə/	2833898
fala	/fala/	270605
fana	/fana/	305779
fanihy	/faniʔi/	3316349
fanontany	/fanuˈntanʲ/	7015853
fantatra	/fan͡tat͡ʂạ/	7415321
farara	/faɾaɾạ/	3392540
farihy	/faˈɾihi/	3316950
fary	/farʲ/	3319193
firaka	/ˈfirəkə̥/	3318254
fivoriana	/fivuˈrʲanạ/	7015888
gidro	/ɡiɖ͡ʐʷ/	3317569
goaika	/ɡuaikʲa/	3315584
hianao	[i.ə.ˈno]	1785861
hianareo	[i.ə.nə.ˈɽe.u]	1785866
hidirôzenina	/ʔidiɾôzeninḁ/	3316806
hoala	/ʔualạ/	7415314
horita	/uˈrit/	5119215
ianao	[jɐ.ˈnɑw], mg, [e.ˈnɑw]	1785812
ianareo	[i.ə.nə.ˈɽe.u]	1785851
isika	[i.ˈsʲi.kʲə]	1785830
isoratana	/i su ˈɽə ʈə nə/	1783260
ividiana	/iviˈden/	1786043
izahay	[i.ˈzai]	1785846
izy	[izʲ]	1785857
jejy	/d͡zed͡zʲ/	3316691
jery	/d͡zɛrʲ/	4528658
karaoty	/kaɾotʲ/	3315283
karibonetra	/kaɾibunet͡ʂḁ/	3314996
kilema	[ki̥ˈlemə̥]	1648784
kolejy	/kuled͡zʲ/	3315437
konseritra	/kunseɾit͡ʂḁ/	3315477
lakolosy	/lakulusʲ/	3314966
lalana	[ˈla lə nə], mg, [lə ˈla nə]	1783326
laposety	/lapusetʲ/	3314546
