word	ipa	pageid
اره	[ˈæːɾɛ]	1178079
اسپه	/əspeː/	2796375
انگیس	/æŋɡis/, /æŋɨs/	8625787
برار	/bərɒːr/	3053738
بز	/bɛz/	567496
ترم	/tərəm/	4849421
دمبک	/dæmbek/	7922204
زلاغ	/zəlɒɣ/	7843446
فرمنی	/fɤrməni/	8629617
مرغنه	/mɤrɣənɛ/	8543840
نا	[nɔː]	850033
نال	/nɑːl/	3506555
هسکا	/hæsːəkɑː/, /hæskɑː/	7876602
هلوه	/hælvɛ/, /hælvæ/	7843458
ورگ	/vɤrɡ/	3049719
ول	/ʋæːl/	555263
پلا	/pəlɒː/	5420498
چنگل	/t͡ʃæŋɡəl/, /t͡ʃæŋəl/	7146624
کرد	/kɤrd/, /kɘrd/	3862176
کلم	/kɤlɤm/, /kolom/	555472
کلونی	/kəlveni/	8645499
کمل	/kæməl/	1728512
گالش	/ɡɒːlɛʃ/	1964185
گزر	/ɡæzər/	455473
