word	ipa	pageid
ahuacaʼ	[aːwakaʔ]	7729843
aja̱yo̱tapitzco̱ltatzoyo̱n	/ahaːjoːtapit͡skoːltaˈt͡sojoːn/	7391029
aja̱yo̱ʼ	/aˈhaːjoːʔ/	7391033
ajá̱huil	/aˈhaːwil/	7391021
albaja̱quej	/albaˈhaːkeh/	7333365
asas	/ˈasas/	1229294
aso̱ltiʼ	/aˈsoːltiʔ/	7503171
a̱co̱xaj	/aːˈkoːʃah/	329183
a̱tzóncal	/aːˈt͡sonkal/	7332561
a̱xi̱x	/ˈaːʃiːʃ/	7390233
a̱xi̱xnanaca	/aːʃiːʃnaˈnaka/	7390231
a̱xo̱qui	/aːˈʃoːki/	7386683
a̱yo̱tzi̱n	/aːˈjoːtsiːn/	299973
a̱ño̱xteyo̱ʼ	/aːɲoːʃˈtejoːʔ/	7391153
a̱ʼti	/ˈaːʔti/	7333293
babasotiʼ	/babaˈsotiʔ/	299966
bibiyoxtiʼ	/bibiˈjoʃtiʔ/	7503182
boboso	/boˈboso/	299965
cacahuaʼ	[kaˈkawaʔ]	1246593
cactli		1320149
cahua̱yoj	/kaˈwaːjoh/	275127
cajli	/ˈkahli/	299957
camoj	/ˈkamoh/	7299924
ca̱la̱ʼ	/ˈkaːlaːʔ/	763132
ca̱yo	[ˈkaːjo]	7502251
chacalin	/tʃaˈkalin/	1320833
chi̱lte	/t͡ʃiːlte/	7503361
chi̱ltemoloj	/t͡ʃiːlteˈmoloh/	7503386
chocho	/ˈt͡ʃot͡ʃo/	1241002
chochopi	/t͡ʃoˈt͡ʃopi/	7386697
choochi̱n	/t͡ʃoˈot͡ʃiːn/	7503521
cho̱pa	/ˈt͡ʃoːpa/	7384841
cocaya̱chij	[kokaˈjaːt͡ʃih]	329160
cochtamánal	/kot͡ʃtaˈmanal/	7384849
coyo̱ʼ	[ˈkojoːʔ]	1222086
co̱nsoquiꞌ	/koːnˈsokiʔ/	7391111
co̱yo̱ʼ	[ˈkoːjoːʔ]	7502265
cuacóla̱l	/kʷaˈkolaːl/	7390221
cuahuiꞌ	/ˈkʷawiʔ/	7299945
cuajcamoj	/kʷahˈkamoh/	7406593
cuananaca	/kʷanaˈnaka/	7390226
cuatetere	/kʷateˈteɾe/	7386737
cuayoj	/ˈkʷajoh/	7380361
cuayojmisto̱n	/kʷajohˈmistoːn/	7380351
cuitaocuilin	/kʷita.okʷilin/	1232505
cóla̱l	/ˈkolaːl/	7390218
epaso̱'	[epasoːʔ]	1320124
esmiqui	/esˈmiki/	7503549
esqui̱sa	/esˈkiːsa/	7390247
esti	/ˈesti/	197768
eti̱ꞌ	/ˈetiːʔ/	7390243
gacti	/ˈɡakti/	1320151
go̱golo	/ɡoːˈɡolo/	7299296
go̱xi	/ˈɡoːʃi/	7386704
hua̱ctzi̱n	/ˈwaːkt͜siːn/	7503731
huejcho	/wehtʃo/	1113916
huetzi	/wetsi/	1132442
huexi	/ˈweʃi/	7386709
hue̱chi	/ˈweːt͡ʃi/	7386708
hue̱ya̱ꞌ	/ˈweːjaːʔ/	7333291
hui̱lo̱ꞌ	/ˈwiːloːʔ/	1320111
ichcaꞌ	[itʃkaʔ]	1246562
icpalto̱nati̱ꞌ		7390257
icxi	/ˈikʃi/	299994
ilamaj	/iˈlamah/	1319408
jecxohua	/hekˈʃowa/	7391180
jejjejpa	/hehˈhehpa/	7380380
jocox	/ˈhokoʃ/	7333454
jo̱nchoꞌ	/ˈhoːnt͡ʃoʔ/	7269928
jo̱spoꞌ	/ˈhoːspoʔ/	7380367
jo̱spoꞌmi̱mia̱huaꞌ	/hoːspoʔmiːˈmjaːwaʔ/	7390249
lejlejpa	/lehˈlehpa/	7391185
láma̱r	/ˈlamaːr/	299970
ma̱tzaj	/maːtsah/	1320105
ma̱xtaꞌ	/ˈmaːʃtaʔ/	7390240
metza	/metsa/	1320688
mimílchil	/miˈmilt͡ʃiːl/	7333246
misto̱n	/ˈmistoːn/	329158
mi̱coj	/ˈmiːkoh/	7297814
mi̱mia̱huaꞌ	/miːˈmjaːwaʔ/	7390252
mo-ichtacana̱mictiá	/mo.it͡ʃtakanaːmikˈtja/	7384860
mo̱xi	/ˈmoːʃi/	7386710
mo̱ycoy	/ˈmoːjkoj/	7406597
mo̱yo̱ꞌ	/ˈmoːjoːʔ/	7406598
májpil	/ˈmahpil/	343843
nacaꞌ	/ˈnakaʔ/	7378738
nanaca	/naˈnaka/	7390229
na̱huiya̱ꞌ	/naːˈwijaːʔ/	7394140
na̱ntzi̱n	/ˈnaːnt͡siːn/	7378739
necti	/ˈnekti/	310016
no̱chti	/ˈnoːt͡ʃti/	7386712
no̱noj	/ˈnoːnoh/	7378741
ocoꞌ	/ˈokoʔ/	329144
ohuaꞌ	/ˈowaʔ/	7378749
ojmáxal	/ohˈmaʃal/	7378750
ojtaꞌ	[ˈohtaʔ]	7502301
olo̱ꞌ	[ˈoloːʔ]	7502297
omiꞌ	/ˈomiʔ/	7418999
oquich	/ˈokit͡ʃ/	7419002
otomicohua̱ꞌ	/otomiˈkowaːʔ/	7378759
pacha	/ˈpat͡ʃa/	279166
paquiyo̱ꞌ	/paˈkijoːʔ/	7384869
pa̱chi	/ˈpaːt͡ʃi/	763080
pa̱lej	/ˈpaːleh/	7333295
pe̱lo	/peːlo/	329149
pe̱pe	/ˈpeːpe/	7386728
pio-ilamaj	/pjo.iˈlamah/	7386723
pionacaꞌ	/pjoˈnakaʔ/	7394137
piotecsis	/pjoˈteksis/	7391036
piotecsistatzoyo̱n	/pjoteksistaˈt͡sojoːn/	7391035
piote̱cua̱ni	/pjoteːˈkʷaːni/	7299303
piotzojmiꞌ	/pjoˈt͡sohmiʔ/	7333415
piyo	/ˈpijo/	5868268
pi̱ni	/ˈpiːni/	7299302
pocoyoꞌ	/poˈkojoʔ/	7333437
po̱cho̱ꞌ	/ˈpoːt͡ʃoːʔ/	7333331
quico̱yo̱tiá	[kikoːjoːˈtja]	7502266
santo̱qui	/sanˈtoːki/	763094
sentaman	[senˈtaman]	7502334
sihua̱ꞌ	[ˈsiwaːʔ]	630400
si̱talin	[siːˈtalin]	299999
soquiꞌ	/ˈsokiʔ/	474402
so̱ya̱ꞌ	/ˈsoːjaːʔ/	7392377
tajocox	/taˈhokoʃ/	7503185
tamatilis	/tamaˈtilis/	7384851
taochi̱n	/taˈot͡ʃiːn/	7384852
tapítzco̱l	/taˈpit͡skoːl/	7391039
taquétzal	/taˈket͡sal/	7333320
tatziꞌtziꞌpatoꞌ	/tat͡siʔt͡siʔˈpatoʔ/	7380403
tatzoyo̱n	/taˈt͡sojoːn/	7391034
ta̱gaꞌ	/ˈtaːɡaʔ/	299969
ta̱lo̱li̱n	/taːˈloːliːn/	763100
ta̱po	/ˈtaːpo/	7502339
tecpínchi̱l	/tekˈpint͡ʃiːl/	7333239
tiahua̱ꞌ	/ˈtjawaːʔ/, /ˈkjawaːʔ/	7391171
ticuahuiꞌ	/tiˈkʷawiʔ/	7391193
timo̱yo̱ꞌ	/tiˈmoːjoːʔ/	7406605
tiocuahuiꞌ	/tjoˈkʷawiʔ/	7299948
tio̱pan	[tiˈoːpan]	763102
ti̱ltiꞌ	/ˈtiːltiʔ/	1221633
tocaꞌ	[ˈtokaʔ]	315186
tocaꞌite̱na̱ꞌ	/tokaʔiˈteːnaːʔ/	7502342
tochtzi̱n	/ˈtot͡ʃt͡siːn/	315188
to̱poj	/toːpoh/	329164
to̱san	[ˈtoːsan]	1320176
to̱to̱’	[ˈtoːtoːʔ]	329177
tziꞌtziꞌpa	/t͡siʔˈt͡siʔpa/	7380394
tzoe̱xi	/tso.eːʃi/	299959
tzojmiꞌ	/ˈt͡sohmiʔ/	7333402
tzoncalhuihuitani	/t͡sonkalwiwiˈtani/	7332545
tzóncal	/ˈt͡sonkal/	7332565
táxcal	[ˈtaʃkal]	4774915
tépol	/ˈtepol/	7391162
xa̱jli	[ˈʃaːhli]	1320163
xeque	/ˈʃeke/	1184180
xe̱poj	/ˈʃeːpoh/	7386731
xoco̱ꞌtzapoꞌ	/ʃokoːʔˈt͜sapoʔ/	7502345
xopilin	/ʃoˈpilin/	299974
xote	/ˈʃote/	4716580
xo̱chiʼ	[ˈʃoːt͡ʃiʔ]	1196771
xo̱qui	/ˈʃoːki/	7386688
xo̱toj	/ˈʃoːtoh/	299963
yacti	[ˈyakti]	339774
yancuiꞌ	/ˈjankʷiʔ/	7384853
yo̱li	/ˈjoːli/	7384856
yoꞌchi	/ˈjoʔt͡ʃi/	7502348
ña̱huix	/ˈɲaːwiʃ/	7378745
ñe̱ñe̱ꞌpatoꞌ	/ɲeːɲeːʔˈpatoʔ/	7378747
ñócoro	/ˈɲokoɾo/	7378742
