word	ipa	pageid
baoore	/bàoː.ɾé/	7807679
base	/bà.se/	7926
boko	/bò.kó/	314815
burkĩna	/bùɾ.kĩ.ná/	7810150
busi	/bù.sí/	6500610
butelle	/bú.tel.le/	8429393
bãoko	/bã́o.ko/	7808280
bõgemde	/bṍ.ɡem.dè/	8460670
dekalɩtre	/dé.ká.lɪt.rè/	8429403
dekametre	/dé.ká.met.rè/	2994102
desɩmetre	/dé.sɪ.met.rè/	8429407
dõde	/dõ.de/	7807555
ekaliptis	/é.ka.lip.tis/	8429411
esãase	/é.sãː.se/	8429413
faare	/fáːɾè/	4532287
faktɩʋʋre	/fák.tɪ.ʊː.ɾe/	8429415
foto	/fo.to/	208680
fulfuugu	/fúl.fuː.ɡu/	8471128
furi	/fú.ɾì/	308772
fɩnetre	/fɪ.net.ɾe/	8429421
fẽnetre	/fẽ.net.ɾe/	8429417
gaase	/ɡáː.sè/	6834785
garaam	/ɡá.ɾaːm/	8429428
gepeyɛse	/ɡe.pe.jɛ.se/	8429429
goore	/ɡòː.ɾé/	6816054
goɛtrgoɛɛga	/ɡòɛ.tɾ.ɡóɛːɡa/	7808179
kafe	/kà.fe/	560063
kagte	/kaɡ.te/	8431044
kale	/ká.le/	44711
kalwaase	/kal.wáː.sè/	8431052
kalãndirye	/ká.lãn.diɾ.ye/	8431046
koosgo	/kòːs.ɡo/	7807673
koɛɛnga	/kóɛːŋ.ɡá/	7808192
lakrɛ	/làk.ɾɛ́/	8459507
laloa	/là.lóa/	8459510
lampo		530100
lay	/láj/	7000
lekolle	/lé.kol.le/	8459516
leta	/lé.ta/	951451
li	/lí/	30523
lore	/ló.ɾè/	38030
lɛɛre	/lɛ́ː.ɾè/	8459520
malɛka	/mà.lɛ́.kà/	7806095
mog-ma boko	/mòɡ.má.bó.kó/	7809084
paase	/paː.se/	2487213
paasgo	/paːs.ɡo/	7807484
pemsem	/pèm.sém/	7808140
pʋg-yãanga	/pʊ̀ɡ.jã́ːŋ.ɡɑ/	7808893
pʋsʋka	/pʊ̌.sʊ̌.kǎ/	7808217
ra	/rà/	33282
raaga	/ràː.ɡá/	7807461
rabeem	/ɾà.béːm/	8470905
rabɛɛma	/rà.bɛ́ː.mà/	8470907
rapoore	/ɾa.poː.ɾe/	7807442
rãam	/ɾã́ːm/	8470900
rõde	/ɾõ.de/	7807557
sake	/sà.ke/	9733
sakre	/sàk.ɾé/	7807538
toeeme	/tóeː.mè/	7808113
vulũnvuugo		8471127
weefo	/wèː.fó/	7807402
yoko	/jò.kó/	4780129
yĩn-maasem	/yĩn.máá.sém/	8367546
zirga	/zíɾ.ɡa/	3575700
