word	ipa	pageid
à	/a/	34441
abanonner	/abanune/, nrf, /abanunɛ/	7848298
abantchi	/abɑ̃tʃi/	7849095
abat	/a.ba/	54950
abatteux d'bouais	/abatœ dbwei/	7849091
abattre	/a.batr/	279401
abiêmer	/abjɛːme/, nrf, /abjɛːmɛ/	7849120
abinnotage	/abinətaʒ/	7849107
abinnoter	/abinəte/	7849109
aboter	/abəte/	7849129
abouler	/abule/	1624073
âbre	/a.b(r)/	6886635
abreuvoir	/abrəvwar/	560
abréver	/abrɛve/, nrf, /abrɛvɛ/	7849223
abréveux	/abrɛvœ/	7849229
abri	/abri/	861609
abrias	/abriɑ/	1710313
abrier	/abriːe/, /abriːje/	1625253
abuser	/abyːze/	1122
abusette	/abyːzɛt/	7855381
abuter	/abyte/, nrf, /abytɛ/	7855366
abûther	/abyːðɛ/	3964595
achteur	/a.ʃtø/, nrf, /a.ʃtœʁ/, nrf, /a.stø/, nrf, /a.stœʁ/	7522249
achteur maishî	/a.ʃtø mɛ.zi/, /a.ʃtœʁ mɛ.zji/	7522246
agnel	/ɑ.ɲe/, /ã.ɲe/	4544736
anmîn	/amĩ/	3519697
annel	/ã.né/, /a.né/	7511913
aveu	/ɑ.vø/	456992
aveuc	/a.vø/	7522171
baïonnette	/ba.jɔ.nɛt/	858748
bête	/beit/, /bøit/, nrf, /bɛːt/, nrf, /bwɛːt/	198074
biauté	/bjaʊ.te/	1911696
blianc	/bjɑ̃/, /bʎɑ̃/	2577509
brüethe	/bry.eð/	3635370
caeir	/kɛj/, /ke/, nrf, /kɛ(r)/, nrf, /ki/, nrf, /tʃi/	2798616
calengier	/ka.lã.ʒi/, nrf, /ka.lã.ʒji/, nrf, /ka.lã.ʒe/, nrf, /ka.lã.ʒje/, nrf, /ka.lẽ.ʒe/	7522218
cat	/ka/	36
câtel	/kɑ.te/	7511896
chaîne	/ʃeːn/	201508
ch'min	/ʃmin/	3548116
cœur	/kø/	24962
cône	/kon/	837121
Côte	/koːt/	4045735
Cotentîn	/ko.tɑ̃.tẽ/	4045736
coumenchier	/ku.mã.ʃi/, nrf, /ku.mã.ʃji/, nrf, /ku.mã.ʃe/, nrf, /ku.mã.ʃje/, nrf, /kõʊ.mã.ʃe/	7522201
counnétablle	/kunetabl(ə)/	3563390
d'aveuc	/davø/	7522170
déhait	/de.ɣɛ/	7522234
dgèrre	/d͡ʒɛr/	2097069
dréchier	/dre.ʃi/, nrf, /dre.ʃji/, nrf, /dre.ʃe/, nrf, /dre.ʃje/	7522202
êfant	/ɛːfɑ̃/	516802
êffrité	/e.fri.tɛ/	4195947
èrgarder	/ɛɹɡaɹde/	3936066
faume	/fɔm/, /fɔːm/	3535146
faumme	/fɔm/, /fɔːm/	3547999
fête	/feit/	61255
fieu	/fjø/	1933366
finir	/fi.ni/, nrf, /fĩ.nĩ/, nrf, /fĩ.ni/	74290
foûnel	/fuʊ.ne/, /fu.ne/	7511916
fourque	/furk/	7511905
gardîn	/ɡardẽ/	3494996
genti	/ʒɑ̃ti/, nrf, /d͡ʒɑ̃ti/	963275
g'nou	/ʒnu/	3518852
grand	/ɡrɑ̃/, /ɡrɔ̃/	61936
habits	/habi/	188527
hammel	/xã.mé/, /ɦã.mé/, /a.mé/	7511912
hitchet	/hit͡ʃɛ/	2097042
houme	/ɔʊm/, /õʊm/, /õm/, /um/	6879034
iau	/jaʊ/, /jo/	926819
ichi	/i.ʃi/, nrf, /i.ʃĩ/, nrf, /i.ʃẽ/, nrf, /i.ʃit/, nrf, /i.si/, nrf, /i.sit/	213796
iloc	/i.lo/	7522237
Jèrri	/ʒɛri/	2095809
Jèrriais	/ˈʒɛ.ɾi.je/	229721
journaïe	/ʒuɹnai/	3569215
lé	/lɛː/	264394
lédgeunme	/led͡ʒœm/	3496593
lian	/jɑ̃/	517163
liement	/li.mã/	241186
litchi	/lit͡ʃi/	214440
maishî	/mɛ.zi/, /mɛ.zji/	7522243
mangier	/mãʊ̃.ʒi/, nrf, /mãʊ̃.ʒji/, nrf, /muʊ.ʒi/, nrf, /mã.ʒe/, nrf, /mã.ʒje/	895800
mâquier	/mɑ.tʃi/, nrf, /mɑ.kʃi/, nrf, /mɑ.kje/, nrf, /mɑ.ke/	7523146
maungier	/mãʊ̃.ʒi/, nrf, /mãʊ̃.ʒji/, nrf, /muʊ.ʒi/, nrf, /mã.ʒe/, nrf, /mã.ʒje/	7522776
mesnil	/mes.nil/	7674011
mougier	/muʊ.ʒi/, nrf, /muʊ.ʒji/, nrf, /mu.ʒe/	7523149
moûque	/muːk/	2410651
ouothelle	/wɔðɛl/	3592155
péthe	/peð/	3497061
plenté	/plã.te/	2018647
puche	/pyʃ/	3518864
qùeva	/kva/	3546109
queval	/k(ə)va/	7511908
quevalier	/k(ə)va.lje/	7511909
qùevâos	/kvaːo/	4689180
quien	/k(j)ĩ/, /k(j)ɛ̃/, /tʃĩ/	100779
quièvre	/k(j)ɛv(r)/	7511899
