word	ipa	pageid
aacht	/ɔːxt/, frr, /ʌːxt/	3056326
Aast	/ɔːst/	6489723
biise	/ˈbiːzə/	1570519
bister	/ˈbɪs.tə(r)/	289639
bjarn	/bjarn/	1800358
blädje	/ˈblɛdjə/	5237136
blö	/blœ/	7124713
Blör	/blœ(r)/	7124763
blööm	/blœːm/	4209468
Brain	/brai̯n/	6217319
Bruar	/brua̯(r)/	7124723
Bröch	/brœx/	7140008
Bröđer	/ˈbrœ.ðər/, frr, [ˈbrœ.lə(r)], frr, [ˈbrœ.rə(r)]	7125392
brün	/brʏn/	2691627
Buat	/bua̯t/	7124730
Buusem	/ˈbuː.zəm/	7127055
Daagen	/ˈdɔː.xən/	7125522
Dai	/daɪ̯/	122142
deling	/ˈdɛ.lɪŋ/	6841383
diling	/dilɪŋ/	1806784
djo	/djo/	2103704
drainke	/ˈdraɪŋkə/	4042814
Dreeng	/dreːŋ/	7127052
dräng	/drɛŋ/	1502295
däi	/dɛɪ/	6037599
dörnsch	/dœrnʃ/	2020076
dörtig	[ˈdœr.tɪɡ], frr, [ˈdœx.təç]	5090867
döör	/dœːr/	4041395
dü	/dʏ/	37538
düünj	/dyːnj/	4042822
düüwel	/dyːvəl/	1795808
eeđer	[ˈeː.lə(r)], frr, [ˈeː.rə(r)]	7125747
En	/ɛn/	7139974
Faamen	/ˈfɔː.mən/	7125537
Faamner	/ˈfɔːm.nə(r)/	7125540
Faađer	[ˈfɔː.lə(r)], frr, [ˈfɔː.rə(r)]	7125427
Fet	/fɛt/	211420
fif	/fɪf/	202232
Flāg	/flaːx/	7140030
Fođer	/ˈfɔ.lə/, frr, /ˈfɔ.rə/	7142484
fraagi	/ˈfrɔː.xə/	4799078
frasch	/fraʃ/	6037436
freese	/ˈfreːzə/	6038056
Frinj	/frɪɲ/	7124812
frün	/frʏn/	4041410
fälj	/fɛlj/	1795806
goobel	/ɡɔːbəl/	2020103
Gooki	/ˈɡoː.kə/	7125491
gre	/ɡrɛ/	1758584
green	/ɡreːn/	3648
gur	/ɡʊə̯/	874711
Guus	/ɡuːs/	7125525
Gögeler	/ˈɡœ.çɛ.lə(r)/	7125838
Gös	/ɡœs/	7125527
güül	/ɡyːl/	7124714
Gērs	/ɡɛːrs/	7123596
hart	/hart/	13720
Haur	/hau̯(r)/	7127069
heelpe	/ˈheːlpə/	4197657
heewe	/ˈheːvə/	2146969
hoken	/ˈhɔ.kɛn/	1378056
höm	/hœm/	7127332
hönj	/hœnj/	4204117
höör	/høː(r)/	7125566
hün	/hyn/	1800359
Hüs	/hʏs/	1327044
Hüüsing	/ˈhyː.zɪŋ/	7127056
Hārefst	/ˈhaː.rəfst/	7142505
ian	/ian/	2138683
iilj	/iːlj/	6037451
iinj	/iːnj/	4561699
iit	/iːt/	1237269
ik	/ɪk/	1529
ja	/ja/	39075
jeewe	/ˈjeːvə/	4196528
jen	/jɛn/	195944
Jungen	[ˈjʊ.ŋən]	135995
junk	/jʊŋk/	41706
jä	/jɛ/	2103705
jü	/jʏ/	2019877
kiike	/ˈkiːkə/	6037348
Kin	/kɪn/	5941008
Knif	/knɪf/	7127360
Kniiwer	[ˈkniː.və(r)]	7127362
krich	/krɪç/	6037624
kåmp	/kɒmp/	6037625
kåt	/kɒt/	1652284
Kü	/kʏ/	7124674
laawen	/ˈlaːvən/	6037429
liiwe	/ˈliːvə/	6037618
luupe	/ˈluːpə/	6038324
lönj	/lœnj/	2157139
Man	/mɑn/	139648
Mooter	[ˈmoː.tə(r)]	7125455
Mootji	/ˈmoː.tʲə/	7125534
moune	/mɔunə/	2157188
mönster	/ˈmœnstər/	2046780
mötj	/mœtj/	4190872
Mārig	/ˈmaː.rɪç/	7122957
niigen	/ˈniː.çən/	4796563
njüügen	/ˈnjyː.ɡən/	4796442
noome	/ˈnɔːmə/	4041427
Nuurđfriisk	/nuːrðfriːsk/	2146955
nåcht	/nɒxt/	6037458
nöös	/nøːs/	4201823
nü	/nʏ/	1877754
nüügen	[ˈnyː.wən], frr, [ˈnyː.ɡən]	4796473
oler	/ˈɔ.lə(r)/	176086
oocht	/ɔːxt/	4796472
Oom	/oːm/	5092009
ruar	/rua̯ə/	2587887
schap	/ʃap/	670721
schunge	/ˈʃʊŋə/	6038323
schäip	/ʃɛɪp/	6037657
schååp	/ʃɒːp/	6038348
schörk	/ʃœʀk/	6038327
se	/sɛ/	31481
sedel	/ˈsɛ.dəl/	1620119
seede	/ˈseːdə/	1970446
seeks	/seːks/	280815
sii	/siː/	193378
Sjürt	/ʂʏxt/	7141933
Skeepen	[ˈskeː.bən]	7127220
Skoch	/skɔx/	7125512
Skolp	/skɔlp/	7141875
Skruk	/skrʊk/	7140259
Skuur	[skuːə̯]	5102337
soks	/sɔks/	4796562
soowen	/ˈsoː.vən/, frr, /ˈsoː.fən/	4796471
spaale	/ˈspaːlə/	6037353
Spook	/spoːk/	7127046
Spraak	/sprɔːk/	4288362
spriik	/spriːk/	7127295
Stroom	/stroːm/	4685109
struum	/struːm/	4197745
suurt	/suːxt/	6839237
Swērt	/svɛːxt/	7125356
sös	/sœs/	4796487
Sērk	/sɛːxk/	7125721
taatji	/ˈtɔː.tʲə/	7127089
tau	/tau/	35787
Ter	[tɛə̯]	6145814
tiin	/tiːn/	801429
tjüsch	/tjʏʃ/	6038021
twasche	/ˈtvaʃə/	6037363
twesken	/ˈtvɛs.kən/	2726065
tånke	/ˈtɒŋkə/	6037365
Tērp	/tɛːxp/	2020070
ual	/uə̯l/	4201303
Ulv	[ʊlf]	7140049
Uurt	/uːxt/	7140085
wale	/ˈvalə/	61086
weese	/veːzə/	1398261
Weeter	/ˈveː.tə(r)/	7124838
wiis	/viːs/	7121364
win	/vɪn/	3161
wit	/vɪt/	39430
wååder	/vɒːdər/	1800357
wü	/vʏ/	7125605
ärm	/ɛrm/	234870
ääse	/ˈɛːzə/	6037600
ååpel	/ˈɒːpəl/	1803960
ååwe	/ɒːvə/	1806783
Önereersk	/œ.nə.reːsk/	7141243
önj	/œnj/	6037378
üs	/ʏs/	6785865
üüs	/yːs/	7125626
üđer	/ʏləɐ̯/, frr, /ʏrəɐ̯/	7141889
ārig	/ˈaː.rəç/	7127130
