word	ipa	pageid
afte	/ˈaːfte/	706912
aga	/ˈaːɣa/	281950
age	/ˈaːɣe/	3769
ain	/ˈaːi̯n/	203840
ak	/ˈaːk/	263437
an	/ˈaːn/	3971
ang	/ˈaːŋ/	228479
anich	/ˈaːniχ/	7827649
anne	/ˈaːnːe/	175461
arist	/ˈaːrist/	3142570
arst	/ˈaːrst/	2167637
askia	/ˈaːskia/	650586
athem	/ˈaːðem/	5684905
athom	/ˈaːðom/	6728314
aththa	/ˈaðːa/	7839199
athum	/ˈaːðum/	7820170
bam	/baːm/	5253
bane	/ˈbaːne/	48338
ben	/ˈbeːn/, [ˈbɛːn]	5556
biada	/ˈbi̯aːda/	1099956
boes-doer	/ˈboːsdoːr/	7809937
bos	/ˈboːs/	40174
boste	/ˈboːste/	1675835
brad	/ˈbraːd/	60044
bred	/ˈbreːd/, [ˈbrɛːd]	6810
ded	/ˈdeːd/, [ˈdɛːd]	291951
dwa	/ˈdwaː/	458537
een	/ˈeːn/, [ˈɛːn]	1534
efte	/ˈeːfte/, [ˈɛːfte]	6682372
ein	/ˈeːi̯n/, [ˈɛːɪ̯n]	48848
en	/ˈeːn/, [ˈɛːn]	1521
eng	/ˈeːŋ/, [ˈɛːŋ]	21337
enich	/ˈeːniχ/, [ˈɛːniχ]	6167819
enne	/ˈeːnːe/, [ˈɛːnːe]	192840
-er	/ˈer/	40836
er	/ˈeːr/, [ˈɛːr], ofs, /ˈeːr/, [ˈɛːr]	6727
ere	/ˈeːre/, [ˈɛːre]	60284
erest	/ˈɛːrest/	7827657
erm	/ˈerm/, [ˈærm]	213728
erost	/ˈɛːrost/	7827662
erosta	/ˈeːrosta/, [ˈɛːrosta]	4807484
erst	/ˈɛːrst/	228839
erste	/ˈeːrste/, [ˈɛːrste]	309238
evest	/ˈefeːst/, ofs, /ˈeweːst/	7811709
fa	/ˈfaː/	230
fach	/ˈfaːχ/	3414938
fader	/ˈfader/	61790
famne	/ˈfamne/	7839220
fat	/ˈfat/	1038499
feder	/ˈfeder/, [ˈfæder]	174867
feld	/ˈfeld/	1089548
femne	/ˈfeːmne/, [ˈfɛːmne]	3666510
fif	/ˈfiːf/	202232
fiuwer	/ˈfi̯uːwer/	4796398
flask	/ˈflaːsk/	68417
fon	/ˈfon/	205178
frase	/ˈfraːse/	214948
gast	/ˈɡaːst/	38251
gest	/ˈɡeːst/, [ˈɡɛːst]	2044610
ham	/ˈhaːm/	25411
hand	/ˈhand/	3950
har	/ˈhaːr/	192408
hel	/ˈheːl/, [ˈhɛːl]	221418
hela	/ˈheːla/, [ˈheːla], ofs, /ˈheːla/, [ˈhɛːla]	203798
helich	/ˈheːliχ/, [ˈhɛːliχ]	7819547
hem	/ˈheːm/, [ˈhɛːm]	10032
her	/ˈheːr/, [ˈhɛːr]	4156
