word	ipa	pageid
a³¹	/a³¹/	8627333
a³¹faʔ⁵⁵	/a³¹faʔ⁵⁵/	8135240
a³¹jaʔ³¹	/a³¹.jaʔ³¹/	8675240
a³¹kju̠⁵⁵ kɔ̠³⁵vɛ³⁵	/a³¹kju̠⁵⁵ kɔ̠³⁵vɛ³⁵/, [a³¹cu̠⁵⁵ kɔ̠³⁵vɛ³⁵]	8135057
a³¹pʰau³⁵		8511404
faʔ⁵⁵	/faʔ⁵⁵/	8135244
faʔ⁵⁵ kʰjɛʔ⁵⁵	/faʔ⁵⁵.kʰjɛʔ⁵⁵/, [faʔ⁵⁵.cʰɛʔ⁵⁵ ~ faʔ⁵⁵ tɕʰɛʔ⁵⁵]	8395143
jaʔ³¹	/jaʔ³¹/	8675259
ja̠m⁵⁵	/ja̠m⁵⁵/	8134983
ja̠p⁵⁵	/ja̠p⁵⁵/	8135030
ja̠p⁵⁵ maʔ⁵⁵	/ja̠p⁵⁵ maʔ⁵⁵/	8135041
ja⁵⁵	/ja⁵⁵/	8528655
jui⁵⁵	/jui⁵⁵/	8135263
ju⁵⁵	/ju⁵⁵/	8528575
jɔ̃³¹	/jɔ̃³¹/	8070010
kjaʔ³¹	/kjaʔ³¹/, [caʔ³¹]	8134960
kji̠⁵⁵	/kji̠⁵⁵/, [ci̠⁵⁵]	8134879
kɔ³¹kja⁵⁵	/kɔ³¹kja⁵⁵/, [kɔ³¹kja⁵⁵ ~ kɔ³¹tɕja⁵⁵]	8737214
la³¹		8627027
laʔ³¹	/laʔ³¹/	8135004
la̠³⁵	/la̠³⁵/	8070877
lɛ̠̃³⁵ma³¹	/lɛ̠̃³⁵ma³¹/	8070887
mau³¹	/mau³¹/	7310204
maŋ³¹	/maŋ³¹/	8735994
mi³¹	/mi³¹/	8070015
mjuʔ⁵⁵	/mjuʔ⁵⁵/	8527208
nam³¹pat⁵⁵	/nam³¹.pat⁵⁵/	8735808
nɔ̃⁵⁵	/nɔ̃⁵⁵/	8069543
pui⁵⁵	/pui⁵⁵/, [pəi⁵⁵]	8070739
pə̆³¹la⁵⁵		8722292
pɛ̠⁵⁵	/pɛ̠⁵⁵/	8388098
sak⁵⁵	/sak⁵⁵/, bxd, /sak⁵⁵/	8135022
sak⁵⁵ faʔ⁵⁵	/sak⁵⁵ faʔ⁵⁵/	8135247
saŋ³⁵	/saŋ³⁵/	8515700
ta³¹	/ta³¹/	8070715
tsʰɛ̃⁵⁵	/tsʰɛ̃⁵⁵/	8681485
va⁵⁵	/va⁵⁵/	8527251
və̆³¹kjɔ̃⁵⁵	/və̆³¹kjɔ̃⁵⁵/	8515773
vɛ̃⁵⁵	/vɛ̃⁵⁵/	8388375
xaŋ⁵⁵	/xaŋ⁵⁵/	8137240
xui⁵⁵	/xui⁵⁵/	8513924
ŋa³¹	/ŋa³¹/	8199314
ŋa̠ʔ⁵⁵	/ŋa̠ʔ⁵⁵/, [ŋa̠ʔ⁵⁵~⁵¹]	8069553
ŋa⁵⁵	/ŋa⁵⁵/	8069545
ŋø⁵⁵	/ŋø⁵⁵/	8388275
ŋɔ̠t⁵⁵	/ŋɔ̠t⁵⁵/	8135076
ŋə̆ta³¹		8535236
ɣaʔ³¹	/ɣaʔ³¹/	8134940
ɣu³⁵	/ɣu³⁵/	8515890
ɣəi⁵⁵	/ɣəi⁵⁵/	5788034
ʃauʔ⁵⁵	/ʃauʔ⁵⁵/	8388352
