word	ipa	pageid
aarufe	/ˈaːruːfə/	7729933
acht	/axt/	33344
acht un dreissich	/axt ʊn ˈdraɪ̯sɪç/	7727741
acht un fuffzich	/ˈaxt ʊn fʊft͡sɪç/	7751839
acht un neinzich	/ˈaxt ʊn ˌnaɪ̯nt͡sɪç/	7768768
acht un sechzich	/ˈaxt ʊn sɛçt͡sɪç/	7751871
acht un siwwezich	/ˈaxt ʊn ˌsiːvət͡sɪç/	7768744
acht un varzich	/axt ʊn ˈvaɐ̯t͡sɪç/	7729890
acht un zwansich	/axt ʊn ˈt͡sʋansɪç/	7726893
achtzeh	/ˈaxt͡seː/	6439465
achtzeht	/ˈaxt͡seːt/	7815716
achtzich	/ˈaxt͡sɪç/	6439517
Aendi	/ˈændi/	8058055
Aendis	/ˈændis/	8058056
Aent	/ˈænt/	8058052
Aents	/ˈænts/	8058053
Brieder	/ˈbriːdɐ/	6445695
Brieh	/briː/	6450600
Bruder	/ˈbruːdɐ/	246686
Daadi	/ˈdaːdi/	5982038
de	/də/	1519
Dechder	/ˈdɛçdɐ/, /ˈdɛkdɐ/	6445717
deede	/ˈdeːdə/	865910
dem	/dɛm/	38839
der	/dɛɐ̯/	33494
dich	/dɪç/	64192
dihr	/diːɐ̯/	6439348
dir	/diːɐ̯/	44226
Dochder	/ˈdɔxdɐ/	6437874
dotmache	/ˈdoːtmaxə/	7729957
drei	/draɪ̯/	38841
drei un achtzich	/ˈdraɪ̯ ʊn ˌaxt͡sɪç/	7768750
drei un dreissich	/draɪ̯ ʊn ˈdraɪ̯sɪç/	7727722
drei un fuffzich	/draɪ̯ ʊn ˈfʊft͡sɪç/	7751829
drei un neinzich	/ˈdraɪ̯ ʊn ˌnaɪ̯nt͡sɪç/	7768762
drei un sechzich	/ˈdraɪ̯ ʊn sɛçt͡sɪç/	7751854
drei un siwwezich	/ˈdrai̯ ʊn ˌsiːvət͡sɪç/	7768715
drei un varzich	/draɪ̯ ʊn ˈvaɐ̯t͡sɪç/	7729870
drei un zwansich	/draɪ̯ ʊn ˈt͡sʋansɪç/	7726887
dreissich	/ˈdraɪ̯sɪç/	6439487
dreizeh	/ˈdraɪ̯t͡seː/	6439443
dreizeht	/ˈdraɪ̯t͡seːt/	7815700
drinke	/ˈdrɪŋkə/	864569
dritt	/drɪt/	481445
een un achtzich	/ˈeːn ʊn ˌaxt͡sɪç/	7768747
een un dreissich	/eːn ʊn ˈdraɪ̯sɪç/	7727712
een un fuffzich	/eːn ʊn ˈfʊft͡sɪç/	7751824
een un neinzich	/ˈeːn ʊn ˌnaɪ̯nt͡sɪç/	7768757
een un sechzich	/ˈeːn ʊn sɛçt͡sɪç/	7751852
een un siwwezich	/ˈeːn ʊn ˌsiːvət͡sɪç/	7768713
een un varzich	/eːn ʊn ˈvaɐ̯t͡sɪç/	7729842
een un zwansich	/eːn ʊn ˈt͡sʋansɪç/	7726885
eens	/eːns/	715666
eich	/aɪ̯ç/	725561
elf	/ˈɛlf/	26269
elft	/ɛlft/	6465731
em	/ɛm/	30115
en	/ɛn/	1521
Enkel	/ˈɛŋkəl/, [ˈɛŋkl̩]	125891
Enkelin	/ˈɛŋkəlɪn/, [ˈɛŋklɪn]	692700
Enkelinne	/ˈɛŋkəlɪnə/, [ˈɛŋklɪnə]	8058049
Enkle	/ˈɛŋklə/	8058040
er	/ɛɐ̯/	6727
erscht	/ɛɐ̯ʃt/	6465573
es	/ɛs/	33291
esse	/ˈɛsə/	40054
faahre	/ˈfaːrə/	7682631
Familye	/faˈmiːljə/	6441560
fimf	/fɪmf/	308758
fimf un achtzich	/ˈfɪmf ʊn ˌaxt͡sɪç/	7768752
fimf un dreissich	/fɪmf ʊn ˈdraɪ̯sɪç/	7727731
fimf un fuffzich	/fɪmf ʊn ˈfʊft͡sɪç/	7751831
fimf un neinzich	/ˈfɪmf ʊn ˌnaɪ̯nt͡sɪç/	7768764
fimf un sechzich	/ˈfɪmf ʊn sɛçt͡sɪç/	7751862
fimf un siwwezich	/ˈfɪmf ʊn ˌsiːvət͡sɪç/	7768723
fimf un varzich	/fɪmf ʊn ˈvaɐ̯t͡sɪç/	7729876
fimf un zwansich	/fɪmf ʊn ˈt͡sʋansɪç/	7726889
fimft	/fɪmft/	6465627
fuffzeh	/ˈfʊft͡seː/	6439456
fuffzeht	/ˈfʊft͡seːt/	7815711
fuffzich	/ˈfʊft͡sɪç/	6439492
Gaarde	[ˈɡ̊oɐd̥ə]	6439621
Gebei	/ɡəˈbaɪ̯/, pdc, /ɡəˈbeː/	6446742
geh	/ˈɡeː/	2550578
glaawe	/ˈɡlaːʋə/	6455168
Groossdaadi	/ˈɡroːsˌdaːdi/	8058025
Groosseldre	/ˈɡroːsˌɛldrə/	8058018
Groossmammi	/ˈɡroːsːˌmami/	8058030
Groossmammis	/ˈɡroːsˌmamis/	8058031
Grossdaadis	/ˈɡroːsˌdaːdis/	8058027
Gschwei	/kˈʃʋaɪ̯/	8058102
Gschweie	/kˈʃʋaɪ̯ə/	8058104
hariche	/ˈhaːrɪçə/	6461330
Haus	/ˈhaʊ̯s/	1512
heere	/ˈheːrə/	1369483
Heiser	/ˈhaɪ̯sɐ/	6112742
hunnert	/ˈhʊnɐt/	1559842
huuschde	/ˈhuːʃdə/	7729916
ihm	/iːm/	259280
ihn	/iːn/	259281
ihne	/iːnə/	7727679
Ihne	/iːnə/	7727685
ihre	/iːrə/	290009
Kaer	/ˈkʰæːɐ̯/	7685504
Kar	/ˈˈkʰaːɐ̯/	1640971
kee	/keː/	472265
kem	/kɛm/	323050
ken	/kɛn/	40161
Kind	/ˈkɪnt/	136635
Kinner	/ˈkʰɪnɐ/	3136918
Kinnskind	/ˈkɪnsˌkɪnt/	8058032
Kinnskinner	/ˈkɪnsˌkɪnɐ/	8058033
Kossin	/ˈkɔsɪn/	8058061
Kossins	/ˈkɔsɪns/	8058063
kumme	/ˈkʰʊmə/	5011071
Mammi	/ˈmami/	5982044
me	/mə/	5752
Memm	/ˈmɛm/	8058010
mich	/mɪç/	90783
mir	/miːɐ̯/	60623
Mudder	/ˈmʊdɐ/	2578267
Neffyu	/ˈnɛfju/	8058064
Neffyus	/ˈnɛfjus/	8058066
nein	/naɪ̯n/	38873
nein un achtzich	/ˈnaɪ̯n ʊn ˌaxt͡sɪç/	7768755
nein un dreissich	/naɪ̯n ʊn ˈdraɪ̯sɪç/	7727743
nein un fuffzich	/ˈnaɪ̯n ʊn fʊft͡sɪç/	7751840
nein un neinzich	/ˈnaɪ̯n ʊn ˌnaɪ̯nt͡sɪç/	7768769
nein un sechzich	/ˈnaɪ̯n ʊn sɛçt͡sɪç/	7751872
nein un siwwezich	/ˈnaɪ̯n ʊn ˌsiːvət͡sɪç/	7768745
nein un varzich	/naɪ̯n ʊn ˈvaɐ̯t͡sɪç/	7729895
nein un zwansich	/naɪ̯n ʊn ˈt͡sʋansɪç/	7726894
neint	/naɪ̯nt/	6465686
neinzeh	/ˈnaɪ̯nt͡seː/	6439469
neinzehte	/ˈnaɪ̯nt͡seːt/	7815717
neinzich	/ˈnaɪ̯nt͡sɪç/	6439521
nenne	/ˈnɛnə/	2067256
niese	/ˈniːsə/	221877
Niess	/ˈniːs/	3058989
Niesse	/ˈniːsə/	8058070
Niesses	/ˈniːsəs/	8058073
Onkel	/ˈɔŋkəl/, [ˈɔŋkl̩]	204668
re	/rə/	5871
schaffe	/ˈʃafə/	2114640
schreiwe	/ˈʃraɪ̯ʋə/	6458091
Schwaeger	/ˈʃʋæːjɐ/	8058101
Schwaer	/ˈʃʋæːɐ/	8058083
Schwaerdaadi	/ˈʃʋæːɐˌdaːdi/	8058089
Schwaerdaadis	/ˈʃʋæːɐˌdaːdis/	8058090
Schwaere	/ˈʃʋæːrə/	8058085
Schwaermammi	/ˈʃʋæːɐˌmami/	8058095
Schwaermammis	/ˈʃʋæːɐˌmamis/	8058096
schwarz	/ˈʃʋaɐ̯t͡s/	50267
Schwarz	/ˈʃʋaːɐ̯t͡s/	155466
Schweschder	/ˈʃʋɛsdɐ/	6437107
Schweschdre	/ˈʃʋɛsdrə/	6445824
schwetze	/ˈʃʋɛt͡sə/	6445656
Schwiegerdechder	/ˈʃʋiːjɐˌdɛçdɐ/	8058110
Schwiegerdochder	/ˈʃʋiːjɐˌdɔxdɐ/	8058109
Schwiegermidder	/ˈʃʋiːjɐˌmɪdɐ/	8058094
Schwiegermudder	/ˈʃʋiːjɐˌmʊdɐ/	8058093
Schwiegern	/ˈʃʋiːjɐn/	8058092
Schwiegerseh	/ˈʃʋiːjɐˌseː/	8058106
Schwiegersoh	/ˈʃʋiːjɐˌsoː/	8058105
Schwiegervadder	/ˈʃʋiːjɐˌfadɐ/	8058087
Schwiegervedder	/ˈʃʋiːjɐˌfɛdɐ/	8058088
Schwoger	/ˈʃʋoːɐ/, [ˈʃʋoː.ɐ]	8058099
se	/sə/	31481
