word	ipa	pageid
adnet	/ˈatnet/, [at̚net]	2298847
aj	/aj/	86311
almatj	/ˈalmat͡ʃ/	7747993
áhttje	/ˈaːʰt͡ʃːe/, [ˈaːhtːʃe]	4570506
badde	/ˈpatːe/, [ˈpatːe]	6435573
bägga	/ˈpɛkːa/, [ˈpɛkːa]	6489029
båddå	/ˈpɔtːɔ/, [ˈpɔt̚.tɔ]	6421875
båhtet	/ˈpɔʰtet/	7748005
båssjo	/ˈpɔʃːo/	6489031
da	/ta/	37536
dá	/ˈtaː/	482229
dáffo	/ˈtaːfːo/, [ˈtaːfːo]	7875231
dállve	/ˈtaːlːve/	6485987
departemännta	/deˈparteˌmɛnːta/, [deˈparteˌmɛnːta]	7748014
drodnik	/trotnik/	4571598
du	/tu/	8365
dä	/tɛ/	5025123
dåhpe	/ˈtɔʰpe/, [ˈtɔhpe]	7749055
girrje	/ˈkirːje/	7748019
girrko	/ˈkirːʰko/, [ˈkirr̥ko]	7749065
gummpi	/ˈkumːpi/	7748011
gåttjåt	/ˈkɔt͡ʃːɔt/	7748002
juo	/jo/	557384
jus	/jus/	50163
káffa	/ˈkaːfːa/	7747995
mannje	/ˈmaɲːe/	6421823
maŋŋel	/ˈmaŋːel/, [ˈmaŋːel]	6884711
máhttet	/ˈmaːʰtːet/, [ˈmaːhtːetʰ]	6910885
murrko	/ˈmurːʰko/	7748007
namma	/ˈnamːa/, [ˈnamːa]	1059884
náhppe	/ˈnaːʰpːe/, [ˈnaːhp̚.pe]	6497250
sálbma	/ˈsaːlpma/	7748017
sálbmagirrje	/ˈsaːlpma.ˌkirːje/	7748016
tjájbmat	/t͡ʃaːjpmat/, [t͡ʃaːjp̚.matʰ]	7748020
tjidtje	/ˈt͡ʃit͡ʃːe/, [ˈt͡ʃitːʃe]	6421691
vádtset	/ˈvaːt͡sːet/, [ˈvaːtːsetʰ]	6910911
vuanntsa	/ˈvua̯nːʰt͡sa/	7748013
