word	ipa	pageid
Reconstruction:Proto-North Halmahera/aker	[a.ker]	8365983
Reconstruction:Proto-North Halmahera/aun	[a.un]	8439781
Reconstruction:Proto-North Halmahera/boro	[bo.ro]	8473029
Reconstruction:Proto-North Halmahera/gani	/ɡa.ni/	8430549
Reconstruction:Proto-North Halmahera/iŋir	[i.ŋir]	8425498
Reconstruction:Proto-North Halmahera/kahi	[ka.hi]	8501477
Reconstruction:Proto-North Halmahera/kalubati	[ka.lu.ba.ti]	8529884
Reconstruction:Proto-North Halmahera/kaso	[ka.so]	8430560
Reconstruction:Proto-North Halmahera/lako	[la.ko]	8425451
Reconstruction:Proto-North Halmahera/nawok	[na.wok]	8419662
Reconstruction:Proto-North Halmahera/peḋakat	[pe.ɖa.kat]	8477301
Reconstruction:Proto-North Halmahera/putu	[pu.tu]	8501475
Reconstruction:Proto-North Halmahera/sopok	[so.pok]	8477286
Reconstruction:Proto-North Halmahera/tagi	[ta.ɡi]	8450522
Reconstruction:Proto-North Halmahera/temo	[te.mo]	8465453
Reconstruction:Proto-North Halmahera/topok	[to.pok]	8465454
Reconstruction:Proto-North Halmahera/uhis	[u.his]	8450563
Reconstruction:Proto-North Halmahera/uku	/u.ku/	8431573
Reconstruction:Proto-North Halmahera/uru	[u.ru]	8475540
Reconstruction:Proto-North Halmahera/ŋunuŋ	[ŋu.nuŋ]	8419629
Reconstruction:Proto-North Halmahera/ḋowoŋi	[ɖo.wo.ŋi]	8419530
