word	ipa	pageid
Reconstruction:Proto-Philippine/anay	/anaj/	7579525
Reconstruction:Proto-Philippine/banua	/banua/	7494580
Reconstruction:Proto-Philippine/batu	/batu/	8183950
Reconstruction:Proto-Philippine/baʀani	/bərani/	7982015
Reconstruction:Proto-Philippine/baʀiuh	/baʀiuh/	7984030
Reconstruction:Proto-Philippine/bulaʀ	/bulaʀ/	7505895
Reconstruction:Proto-Philippine/bəʀay	/bəʀaj/	7982939
Reconstruction:Proto-Philippine/bəʀsay	/bəʀsaj/	7987911
Reconstruction:Proto-Philippine/daləm	/daləm/	7492650
Reconstruction:Proto-Philippine/daʀum	/daʀum/, 	7871654
Reconstruction:Proto-Philippine/haŋin	/haŋin/	3696349
Reconstruction:Proto-Philippine/kasaw	/kasaw/	7545245
Reconstruction:Proto-Philippine/layaʀ	/lajaʀ/, /lajar/	7526389
Reconstruction:Proto-Philippine/laŋaw	/laŋaw/	7582413
Reconstruction:Proto-Philippine/liqəʀ	/liʔəʀ/, /liqər/	7526367
Reconstruction:Proto-Philippine/mata	/mata/	7426713
Reconstruction:Proto-Philippine/nihawa	/nihawa/	7898565
Reconstruction:Proto-Philippine/paŋdan	/paŋdan/	7506151
Reconstruction:Proto-Philippine/qadəp	/qadəp/	7516373
Reconstruction:Proto-Philippine/qayam	/ʔajam/, /qajam/	7533181
Reconstruction:Proto-Philippine/qubi	/qubi/	8109895
Reconstruction:Proto-Philippine/qutan	/ʔutan/, /qutan/	7501407
Reconstruction:Proto-Philippine/sakit	/sakit/	7476688
Reconstruction:Proto-Philippine/salaq	/salaʔ/, /salaq/	7495718
Reconstruction:Proto-Philippine/talun	/talun/	7501896
Reconstruction:Proto-Philippine/tasik	/tasik/	7494524
Reconstruction:Proto-Philippine/timuʀ	/timuʀ/	7541476
Reconstruction:Proto-Philippine/tubuq	/tubuʔ/, /tubuq/	7488507
Reconstruction:Proto-Philippine/tuquʀ	/tuʔuʀ/	7951655
Reconstruction:Proto-Philippine/wahiʀ	/wahiʀ/	7729350
Reconstruction:Proto-Philippine/ʀamut	/ʀamut/	7746781
