word	ipa	pageid
Reconstruction:Proto-Malayo-Polynesian/məñak		7584261
Reconstruction:Proto-Nuclear Polynesian/afa		3698853
Reconstruction:Proto-Nuclear Polynesian/Sawaiki		3570052
Reconstruction:Proto-Polynesian/afa	/a.ˈfa(ː)/	3724539
Reconstruction:Proto-Polynesian/aka	/ˈa.ka/	3686861
Reconstruction:Proto-Polynesian/ane	/ˈa.ne/	7579655
Reconstruction:Proto-Polynesian/fa	/ˈfa(ː)/	3570163
Reconstruction:Proto-Polynesian/fafine	/fa.ˈfi.ne/	3685881
Reconstruction:Proto-Polynesian/fana	/fana/, poz-pol-pro, /fana/	7572377
Reconstruction:Proto-Polynesian/faqo	/faqo/	8142118
Reconstruction:Proto-Polynesian/fara	/ˈfara/	7505931
Reconstruction:Proto-Polynesian/fata	/ˈfa.ta/	7486444
Reconstruction:Proto-Polynesian/fenua	/fe.ˈnu.a/	3570047
Reconstruction:Proto-Polynesian/fesi	/fesi/	7513488
Reconstruction:Proto-Polynesian/fonu	/fonu/	7552929
Reconstruction:Proto-Polynesian/foqou	/foʔou/, /foqou/	7686045
Reconstruction:Proto-Polynesian/hau	/ˈha.u/	7992169
Reconstruction:Proto-Polynesian/haŋafulu	/ˌha.ŋaˈfu.lu/	3570178
Reconstruction:Proto-Polynesian/hiwa	/ˈhi.wa/	3570175
Reconstruction:Proto-Polynesian/i	/i/	3648219
Reconstruction:Proto-Polynesian/ia	/ˈi.a/	3724568
Reconstruction:Proto-Polynesian/ika	/ˈi.ka/	3571195
Reconstruction:Proto-Polynesian/kai	/ˈka.i/	3724572
Reconstruction:Proto-Polynesian/kaso	/ˈka.so/	7542450
Reconstruction:Proto-Polynesian/kau	/kau/	7432491
Reconstruction:Proto-Polynesian/kulu	/kulu/	8132549
Reconstruction:Proto-Polynesian/la	/ˈla(ː)/	7522761
Reconstruction:Proto-Polynesian/lalo	/lalo/	7492822
Reconstruction:Proto-Polynesian/lasi	/ˈla.si/	3724583
Reconstruction:Proto-Polynesian/laŋi	/ˈla.ŋi/	3570102
Reconstruction:Proto-Polynesian/laŋo	/ˈla.ŋo/	3724573
Reconstruction:Proto-Polynesian/lele	/ˈle.le/	7992130
Reconstruction:Proto-Polynesian/leo	/ˈle.o/	3724580
Reconstruction:Proto-Polynesian/loto	/ˈlo.to/	3675879
Reconstruction:Proto-Polynesian/lupe	/ˈlu.pe/	3724578
Reconstruction:Proto-Polynesian/mafu	/ˈma.fu/	7677669
Reconstruction:Proto-Polynesian/mala	/ˈma.la/	7523159
Reconstruction:Proto-Polynesian/malino	/maˈli.no/	8438009
Reconstruction:Proto-Polynesian/mana	/ˈma.na/	3570086
Reconstruction:Proto-Polynesian/manawa	/manawa/	7898691
Reconstruction:Proto-Polynesian/masaki	/masaki/	7489637
Reconstruction:Proto-Polynesian/masina	/maˈsi.na/	3724589
Reconstruction:Proto-Polynesian/mata	/ˈma.ta/	7426724
Reconstruction:Proto-Polynesian/mate	/ˈma.te/	3724591
Reconstruction:Proto-Polynesian/matuqa	/maˈtu.ʔa/	3570046
Reconstruction:Proto-Polynesian/maui	/ma.u.ˈi(ː)/	7686719
Reconstruction:Proto-Polynesian/mina	/ˈmi.na/	7271526
Reconstruction:Proto-Polynesian/moa	/ˈmo.a/	3570213
Reconstruction:Proto-Polynesian/mona	/mona/	7586812
Reconstruction:Proto-Polynesian/motu	/ˈmo.tu/	3570057
Reconstruction:Proto-Polynesian/namo	/ˈna.mo/	7992253
Reconstruction:Proto-Polynesian/nifo	/ˈni.fo/	3910980
Reconstruction:Proto-Polynesian/niu	/ˈni.u/	3570050
Reconstruction:Proto-Polynesian/ola	/ola/	6646945
Reconstruction:Proto-Polynesian/ono	/ˈo.no/	3570167
Reconstruction:Proto-Polynesian/peka	/ˈpe.ka/	3911103
Reconstruction:Proto-Polynesian/puaka	/pu.ˈa.ka/	7157050
Reconstruction:Proto-Polynesian/pula	/ˈpula/	7505913
Reconstruction:Proto-Polynesian/pule	/ˈpu.le/	3571196
Reconstruction:Proto-Polynesian/puqu	/puʔu/, /puqu/	7875597
Reconstruction:Proto-Polynesian/qaitu	/ˈʔaitu/	7452726
Reconstruction:Proto-Polynesian/qao	/ˈʔa.o/	3911136
