word	ipa	pageid
Reconstruction:Proto-Sunda-Sulawesi/aba	/aba/	3716513
Reconstruction:Proto-Sunda-Sulawesi/aba-h	/abah/	3716523
Reconstruction:Proto-Sunda-Sulawesi/aduh	/aduh/	3710042
Reconstruction:Proto-Sunda-Sulawesi/azak	/aɟak/	3712673
Reconstruction:Proto-Sunda-Sulawesi/bagus	/baɡus/	3703052
Reconstruction:Proto-Sunda-Sulawesi/(h)abu(s)	/(h)abu(s)/	3708291
Reconstruction:Proto-Sunda-Sulawesi/wada	/wada/	3708393
Reconstruction:Proto-Sunda-Sulawesi/wair	/waiʀ/	3711654
Reconstruction:Proto-Sunda-Sulawesi/wair mata	/waiʀ mata/	3712631
Reconstruction:Proto-Sunda-Sulawesi/waji	/waɡʲi/	3709584
Reconstruction:Proto-Sunda-Sulawesi/waji-ŋ	/waɡʲiŋ/	3709718
Reconstruction:Proto-Sunda-Sulawesi/waji-ʔ	/waɡʲiʔ/	3709604
Reconstruction:Proto-Sunda-Sulawesi/(w)akar	/(w)akaʀ/	3717106
