word	ipa	pageid
Reconstruction:Proto-Yukaghir/a:čə	/ˈaːt͡sə/	8185726
Reconstruction:Proto-Yukaghir/aŋa	/aˈŋa/	8111848
Reconstruction:Proto-Yukaghir/eče:	/eˈt͡seː/	8061436
Reconstruction:Proto-Yukaghir/ilʼejə	/iˈʎejə/	8478393
Reconstruction:Proto-Yukaghir/jowlə	/ˈjowlə/	8184676
Reconstruction:Proto-Yukaghir/könčʼə	/ˈkønt͡ʃə/	7967647
Reconstruction:Proto-Yukaghir/miẟenčʼə	/miˈðent͡ʃə/	8026480
Reconstruction:Proto-Yukaghir/pe:	/ˈpeː/	8185560
Reconstruction:Proto-Yukaghir/punče:	/punˈt͡seː/	8185659
Reconstruction:Proto-Yukaghir/qoroj	/qoˈroj/	8177949
Reconstruction:Proto-Yukaghir/wa:čə	/ˈwaːt͡sə/	8185731
Reconstruction:Proto-Yukaghir/wonor	/woˈnor/	8111868
Reconstruction:Proto-Yukaghir/čowinə	/t͡soˈwinə/	8660462
