word	ipa	pageid
Reconstruction:Punic/𐤀𐤂𐤆		8462889
Reconstruction:Punic/𐤓𐤌𐤍		8462856
Reconstruction:Punic/𐤕𐤐𐤇		8462867
𐤀𐤁		958615
𐤀𐤃𐤓		8666002
𐤀𐤇		959047
𐤀𐤇𐤕		962299
𐤀𐤉		8498643
𐤀𐤋		7361671
𐤀𐤍𐤊		1007250
𐤀𐤎𐤕		4062031
𐤀𐤓𐤑		958640
𐤀𐤔		959055
𐤁𐤍𐤕		7362621
𐤁𐤏𐤋		958653
𐤁𐤕		958650
𐤂𐤃		7906613
𐤂𐤃𐤓		3740528
𐤂𐤆𐤓		7907137
𐤃𐤁𐤓𐤕		7361254
𐤃𐤌		958710
𐤄		967024
𐤄𐤀		1007284
𐤆𐤓𐤀		3800765
𐤇𐤋𐤁		958664
𐤇𐤍𐤁𐤏𐤋		7635685
𐤇𐤑𐤓		8124168
𐤇𐤑𐤓 𐤂𐤆𐤋		8124152
𐤉𐤍		7361640
𐤉𐤓𐤇		1025901
𐤊𐤋𐤁		958938
𐤊𐤋𐤌		7906434
𐤊𐤌𐤍		7907136
𐤋𐤁		958837
𐤋𐤁𐤍		1009773
𐤋𐤁𐤍𐤕	/lvuːnaθ/, /əlvuːnaθ/	8676766
𐤋𐤔𐤍		958853
𐤌𐤌		958703
𐤌𐤎𐤐𐤓		3808392
𐤌𐤒𐤌		1007408
𐤍𐤃𐤓		4062028
𐤏𐤁𐤃		3800767
𐤏𐤆𐤓𐤁𐤏𐤋		7635668
𐤏𐤋𐤌		7360447
𐤏𐤑		7361645
𐤐		967047
𐤐𐤍		1095255
𐤐𐤔𐤕		7906608
𐤒𐤋		7360469
𐤒𐤍𐤀		7906568
𐤒𐤔𐤀		7911957
𐤓𐤀𐤔		1027497
𐤔𐤋𐤌		958681
𐤔𐤋𐤔		1009804
𐤔𐤌		958670
𐤔𐤌𐤔		958688
𐤔𐤏𐤓		8131503
𐤔𐤐𐤈		4982818
𐤔𐤓		5485973
𐤔𐤔𐤌		3808395
