word	ipa	pageid
a	/a/	106923
abé	/aˈbe/, [aˈβe]	2877845
ad	/ad/	3101
annu	/ˈannu/	273335
aocci	/aˈɔtt͡ʃi/	8644100
assé	/asˈse/	7816865
asulu	/aˈzulu/	8435757
attugni	/atˈtuɲɲi/	8670220
attugnu	/atˈtuɲɲu/	8665356
azurra	/aˈdzurra/, sdc, /aˈdzurra/	8643672
azurri	/aˈdzurri/	8643673
azurru	/aˈdzurru/	8643670
baglioru	/baʎˈʎɔru/	8643769
banchi	/ˈbanki/	475231
bancu	/ˈbanku/	221821
basthardha	[baˈɬ(t)aɮ(d)a], [baˈɬːaɮːa]	8643778
basthardhi	[baˈɬ(t)aɮ(d)i], [baˈɬːaɮːi]	8643781
basthardhu	[baˈɬ(t)aɮ(d)u], [baˈɬːaɮːu]	8643772
biaittu	/bjaˈittu/	8643510
bianca	/ˈbjanka/	51726
bianchi	/ˈbjanki/	529327
biancu	/ˈbjanku/	4815727
bidelli	/biˈdɛlli/	1101639
bidellu	/biˈdɛllu/	8650525
bossa	/ˈbossa/	956095
bossi	/ˈbossi/	597900
caggazzua	/kaɡɡatˈtsua/	8644490
cand'	/ˈkand‿/	8668727
candu	/ˈkandu/	959778
canta	/ˈkanta/	363760
canti	/ˈkanti/	279475
cantu	/ˈkantu/	2475973
cantà	/kanˈta/	932694
canzoni	/kanˈdzo.ni/	552207
caramai	/karaˈmai/	8650558
caramàiu	/karaˈmaju/	8650557
chi	/ki/	35790
ciamassi	/t͡ʃaˈmassi/	8653471
ciamà	/t͡ʃaˈma/	3051248
cimusgi	/t͡ʃiˈmuʒi/	8647087
cimùsgia	/t͡ʃiˈmuʒa/	8647085
crassi	/krassi/	1641244
cu'	/ku/	4083952
cument'e	/kuˈmente/	8645576
cumenti	/kuˈmenti/	8645561
cumpassi	/kumˈpassi/	8653093
cumpassu	/kumˈpassu/	8653088
cun	/kun/	536510
cun meggu	/kumˈmeɡɡu/	8654195
cun teggu	/kunˈteɡɡu/	8665054
