word	ipa	pageid
Aga	/ˈa.ɡa/	633397
ai	/aj/	4992
apresina	/apreˈsina/	7452332
asema	/aˈse.ma/	289124
awege	, /aˈwɛ.ɟe/	8462718
bai	/bai̯/	5068
bangi	/ˈba.ŋi/	1876756
barki	/ˈbarki/	825380
batra	/ˈba.tra/	1108090
batyaw	/baˈt͡ʃaw/	5662715
bedi	/ˈbe.di/	5947604
begi	/ˈbe.ɡi/	55098
bere	/ˈbe.re/	48416
beri	/ˈbe.ri/	277074
bigi	/ˈbi.ɡi/	1043599
bigin	/biˈɡin/	1364344
bika	/ˈbika/	297315
bikasi	/biˈkasi/	1068512
biri	/ˈbi.ri/	273320
bita	/ˈbi.ta/	200724
bo	/bo/	8661
bobi	/ˈbo.bi/	7038356
bori	/ˈbo.ri/	77158
boy	/boi̯/	4143
brada	/ˈbra.da/	52405
bradi	/ˈbra.di/	277256
brede	/ˈbre.de/	551910
bro	/bro/	52578
broko	/ˈbro.ko/	1113261
bubu	/buˈbu/	289725
buku	/ˈbu.ku/	6408
busi	/ˈbu.si/	6500610
dagu	/ˈda.ɡu/	1367205
daki	/ˈdaki/	7010803
dalèk	/ˈda.lɛk/	7523644
Damsko	/ˈdamsko/	1577020
dansi	/ˈdan.si/	2516603
dati	/ˈda.ti/	274230
datra	/ˈda.tra/	6840175
de	/de/	1519
dede	/ˈde.de/	814417
dei	/dei̯/	47251
deinen	[ˈdɪi̯.nɪŋ]	2102913
den	/den/	40173
dia	/ˈdia/	6416
didon	/diˈdon/	2809554
dipi	/ˈdi.pi/	600041
disi	/ˈdi.si/	3173019
dofu	/ˈdofu/	6841600
doksi	/ˈdoksi/	4699793
doti	/ˈdo.ti/	574007
dri	/dri/	308752
dringi	/ˈdri.ŋi/	6841571
drungu	/ˈdru.ŋu/	7119052
duku	/ˈdu.ku/	6542678
dungru	/ˈduŋ.ru/	6891724
dyogo	/d͡ʒo.ɡo/, /ɟo.ɡo/	7119009
dyonko	/ɟõŋ.ko/, /d͡ʒõŋ.ko/	8196799
Dyu	/d͡ʒu/	6841580
ede	/ˈe.de/	1174727
eksi	/ˈeksi/	4069386
esde	/ˈes.de/	7118999
esrede	/ˈes.re.de/	7119000
fa a e go	, /faj.ɡɔ/	8158330
fa a waka	, /fa.wa.ka/	8158324
fa fu yu	, /fa.fi/	8158349
fa yu de	, /faj.dɛ/	8158354
fa yu tan	, /faj.tãŋ/	8158346
fatu	/ˈfa.tu/	2644848
faya	/ˈfa.ja/	1108267
feti	/ˈfe.ti/	310594
finga	/ˈfi.ŋa/	656136
fisi	/ˈfi.si/	2662150
fo	/fo/	37540
fosi	/ˈfo.si/	1641917
foto	/ˈfo.to/	208680
futu	/ˈfu.tu/	700670
gado	/ˈɡa.do/	606358
Gado	/ˈɡa.do/	6831975
gi	/ɡi/, /d͡ʒi/	75153
go	/ɡo/	6947
gon	/ɡon/	251937
gotro	/ˈɡo.tro/	1108219
granman	/ˌɡrãˈmãŋ/	1108210
gridi	/ˈɡri.di/	595944
kabisi	/ˈka.bi.si/, dated, /ˈt͡ʃa.bi.si/	5864526
kanari	/ka.na.ri/	259476
kandra	/ˈkan.dra/	6841497
kaw	/kaw/	3275395
kiri	/ˈki.ri/	266268
kondre	/ˈkon.dre/	1068838
kontreki	/kɔnˈtɾe.ci/	8132840
kosi	/ˈko.si/	652872
koto	/ˈko.to/	241047
kragi	/ˈkra.ɡi/	1913471
kromanti	/kroˈman.ti/	7119088
lafu	/ˈla.fu/	6840224
lasi	/ˈla.si/	202103
law	/lau̯/	6534
leki	/ˈle.ki/	293309
leti	/ˈle.ti/	1108116
lobi	/ˈlo.bi/	1000701
luku	/ˈlu.ku/	472110
man	/man/, /maŋ/	1796
meti	/ˈme.ti/	198732
mi	/mi/	2677
miri	/ˈmi.ri/	203270
mofo	/ˈmo.fo/	88729
moni	/ˈmo.ni/	476107
moro	/ˈmo.ro/	6157
mun	/mun/	193372
mus	/mus/	33401
na	/na/	31465
nai	/nai̯/	537019
nefi	/ˈne.fi/	5178862
nofo	/ˈno.fo/	1108141
noso	/ˈno.so/	1183995
nyun	/ɲun/	6284386
oli	/ˈo.li/	258241
olo	/ˈo.lo/	637307
oni	/ˈo.ni/	43494
oso	/ˈo.so/	92054
oto	/ˈo.to/	277378
pesi	/ˈpe.si/	332536
peti	/ˈpe.ti/	198737
piki	/ˈpi.ki/	609519
pikin	/piˈcin/, /piˈkin/, /piˈkiŋ/, /piˈtʃin/, /ˈpt͡ʃiŋ/	1364301
pisi	/ˈpi.si/	486075
podosiri	/poː.doːˈsiː.riː/	8730635
poti	/ˈpo.ti/	595556
prei	/prei̯/	959427
sa	/sa/	42720
sabi	/ˈsa.bi/	1364220
sarki	/ˈsar.ki/	1108233
sipi	/ˈsi.pi/	839624
skowtu	/ˈskou̯.tu/	1106702
skrifi	/ˈskri.fi/	6897677
smara	/ˈsma.ra/	6840144
smeri	/ˈsme.ri/	1108195
smoko	/ˈsmo.ko/	49583
sneki	/ˈsne.ki/	6833209
sopropo	/sɔ.prɔˈpɔ/	8480696
spuku	/ˈspu.ku/	7038157
spun	/spun/	7652
stari	/ˈsta.ri/	198754
ston	/ston/	2735247
strati	/ˈstra.ti/	492799
sukru	/ˈsu.kru/	7380461
swa	/swa/	216349
sweri	/ˈswe.ri/	1108209
syi	/ʃi/	6841617
taki	/ˈta.ki/	274074
tapu	/ˈta.pu/	263408
te	/te/	1530
teki	/ˈte.ki/	622540
tifi	/ˈti.fi/	810614
tiki	/ˈti.ki/	77796
tongo	/ˈto.ŋo/	1091023
tranga	/ˈtra.ŋa/	1108251
