word	ipa	pageid
ꪀꪝꪾ	/kam˨˨/	8734561
ꪀꪫꪱꪉ	/kwaːŋ˨˨/	6046012
ꪀꪮ	/kɔ˨˨/	8734563
ꪀꪱ	/kaː˨˨/	8734365
ꪀ꪿ꪱ	/kaː˦˥/	8734369
ꪀ꫁ꪱ	/kaː˨˦ʔ/	8734366
ꪀꪱꪉ	/kaːŋ˨˨/	8734431
ꪹꪀ꫁ꪱ	/kaw˨˦ʔ/	6873275
ꪀ꫁ꪺꪥ	/koj˨˦ʔ/	8734579
ꪁꪫ꪿ꪱ	/kwaː˦˥˦/	8734473
ꪁꪱ	/kaː˦˦/	8734363
ꪁ꪿ꪱ	/kaː˦˥˦/	8734364
ꪁ꫁ꪱ	/kaː˧˩ʔ/	8161050
ꪵꪁ꫁ꪫ	/kɛw˧˩ʔ/	8734571
ꪂꪫꪸꫀ	/kʰwe˦˥/	8734472
ꪂ꫁ꪺ	/kʰo˨˦ʔ/	8734445
ꪼꪄ	/xaj˨˨/	8734461
ꪅꪫꪽ	/xwan˦˦/	8734470
ꪉꪫ꪿ꪱ	/ŋwaː˦˥˦/	8734471
ꪉ꪿ꪱꪥ	/ŋaːj˦˥˦/	8732245
ꪋ꫁ꪮꪙ	/t͡ɕɔn˧˩ʔ/	8734432
ꪼꪌ꪿	/t͡ɕʰaj˦˥/	8734446
ꪎꪮꪉ	/sɔŋ˨˨/	6853803
ꪎꪰꪒ	/sat˦˥/	8734421
ꪎꪲꪫ	/siw˨˨/	8734569
ꪏꪴꪒ	/sut˦˦/	8734482
ꪶꪑꪉ	/ɲuŋ˦˦/	8734459
ꪒ꪿ꪮꪙ	/dɔn˦˥/	8734443
ꪒꪱꪫ	/daːw˨˨/	8557885
ꪔꪳ꪿ꪙ	/tɯn˦˥/	8734480
ꪔꪴ	/tu˨˨/	8734433
ꪵꪔ꫁ꪣ	/tɛm˨˦ʔ/	8734479
ꪕꪳ	/tɯ˦˦/	8734555
ꪵꪕ꫁	/tɛ˧˩ʔ/	8734560
ꪖꪲ꪿	/tʰi˦˥/	8734554
ꪖꪲꪫ	/tʰiw˨˨/	8734447
ꪘ꫁ꪱ	/naː˨˦ʔ/	3505765
ꪘꪸꪫ	/new˨˨/	8734570
ꪚꪷꪙ	/bɤn˨˨/	8746003
ꪻꪚ	/baɰ˨˨/	8734575
ꪝ꪿ꪮ	/pɔ˦˥˦/	8734434
ꪝꪴ	/pu˦˦/	8734556
ꪞ꫁ꪱ	/pʰaː˨˦ʔ/	8734448
ꪠꪱ	/faː˨˨/	8734460
ꪢꪱꪀ	/maːʔ˦˥/	8732336
ꪢꪷꪉ	/mɤŋ˨˨/	8734558
ꪣꪰꪀ	/mak˦˦/	8734483
ꪣꪳꪉ	/mɯŋ˦˦/	8734458
ꪣꪷꪥꫀ	/mɤj˦˥˦/	8746009
ꪣꪸ	/me˦˦/	8734566
ꪣꪺꪒ	/mot˦˦/	8734420
ꪥ꫁ꪮꪥ	/jɔj˧˩ʔ/	8734464
ꪨꪱꪥ	/laːj˨˨/	8734577
ꪼꪨ	/laj˨˨/	8734578
ꪩꪱꪒ	/laːt˦˦/	8734418
ꪩꪸ	/le˦˦/	8734557
ꪩꪺꪉ	/loŋ˦˦/	6873395
ꪪꪱꪙ	/vaːn˨˨/	8734463
ꪬꪮꪥ	/hɔj˨˨/	8734576
ꪬꪴꪚ	/hup˦˥/	8734481
ꪬꪷꫀ	/hɤ˦˥/	8746010
ꪬꪺ	/ho˨˨/	8734568
ꪭꪷ	/hɤ˦˦/	8746012
ꪮ꪿ꪱꪉ	/ʔaːŋ˦˥/	8734430
ꪮꪱꪙ	/ʔaːn˨˨/	8734562
ꪮꪱꪚ	/ʔaːp˦˥/	8734419
ꪮꪳꪀ	/ʔɯʔ˦˥/	8734484
ꪮꪴ꫁ꪥ	/ʔuj˨˦ʔ/	8734572
ꪮꪺꪒ	/ʔot˦˥/	8734559
