word	ipa	pageid
анбоштан	[æmbɔːʃtæn]	1739876
андохтан	[ændɔːxtæn]	1742399
анҷомидан	[ændʒɔːmiːdæn]	1742422
арзидан	[ærzidæn]	1742427
Арманистон	/ærmænistɔːn/	1602948
арғамчин	/ærʁæmtʃin/	1603046
асп	/æsp/	1379391
афкандан	[æfkændæn]	1741965
афрохтан	/afɾɔːxˈtan/	3421243
афрӯхтан	[æfrɵxtæn]	1742439
Афғонистон		1957789
ба	/bæ/	1603047
ба кор бурдан	[bæ ˌkʰɔːɾ buɾˈd̪æn]	3862610
бале	[ˈbale]	1738491
баргаштан	[bærɡæʃtæn]	1739888
бародар	/baɾɔːˈdaɾ/	1381404
барра	/bærːæ/	1381429
Баъл		8397293
баъс		8404164
баҳр	/bæhr/	1603310
бе	/be/	1603069
бе-	/be/	3407694
бедодгарӣ		3636616
бемор	[beˈmɔːɾ]	1743672
беша	/beʃæ/	1603037
бинӣ	/biˈniː/	1434779
бо	/bɔː/	691944
бод	/bɔːd/	1625120
бол	/bɔːl/	1003205
бом	/bɔːm/	1625230
борон	/bɔːˈrɔːn/	1603297
боғ	/bɔːʁ/	1478266
буд	[bud]	691945
будан	[buˈdan]	254545
буз	/buz/	1625226
бузург	/buzurɡ/	1625224
бунёдӣ	[bunjɔːˈdij]	3399810
бурдан	[burdæn]	1741907
бурҷ	[burdʒ]	1625160
бӯсидан	[bɵːsiˈd̪an]	2958106
вай	/vaj/	1746210
варзидан	[værzidæn]	1742444
ватан	/vatan/	333076
вақт	/vaqt/, tg, /vaχt/	1625240
Википедиа	/vikipedia/	2994362
вожа	/vɔːˈʒa/	3413028
газидан	[ɡæzidæn]	1603078
гандидан	[ɡændidæn]	1741931
гандум	/ɡændum/	1625254
гардан	/ɡærdæn/	1603064
гардидан	[ɡærdidæn]	1739892
гаштан	[ɡæʃtæn]	1603276
гирифтан	[ɡirifˈtan]	1603286
гоидан	/ɡɔjidan/	7379239
гул	/ɡul/	1603043
гум кардан	/ˌɡumkarˈdan/	3420988
гум шудан	/ˌɡumʃuˈdan/	3420991
гурба	/ɡurˈba/	1600500
гуфтан	[ɡuftæn]	1741957
гӯсфанд	/ɡɵsˈfand/	1601483
гӯш	/ɡɵʃ/, tg, /ɡɯʃ/	1434712
гӯшт	/ɡɵːʃt/	1603049
дам	/dæm/	487764
дандон	/dandɔːn/	1603056
дар	/dær/	223113
дар бораи	/darbɔːrayi/	691942
дарё	/darjɔː/	1394177
даҳон	/dæˈhɔːn/	1603055
деҳқон		3861887
дигарҷинсгароӣ		2954460
дидан	[diˈdan]	1603255
дил	/dil/	1603066
додан	[dɔːdæn]	1603283
донистан	[dɔːnistan]	1603262
доштан	/dɔːʃtæn/	1628430
дум	/dum/	1603052
Душанбе	/dʊʃambe/	1957750
душанбе		1957763
дуҷинсгароӣ		2954461
дӯзах		2866156
дӯст	/dɵst/	1628423
дӯстона	/dɵːstɔːnæ/	1628426
дӯш	/dɵʃ/	1738504
ё		52440
жарф	/ʒaɾf/	3902138
забон	/zæˈbɔːn/	691971
зивок		6463490
зиндагӣ	[zindaˈɡiː]	2965490
зону	/zɔːnu/	1603060
кардан	[karˈdan]	1603081
кирм	/kirm/	1603035
кишоварз		3861859
киштан	[kiʃtæn]	1739937
корбар	[kʰɔːɾˈbæɾ]	3862606
корез	/kɔːˈɾeːz/	4073693
курбока	/kuɾbɔkɑ/	1799718
куштан	[kuʃtæn]	1603271
кӯдак	/kɵdæk/	1603028
кӯл	/kɵl/	1603315
кӯр	/kɵːr/	2956744
макидан	[mækidæn]	1603080
ман	/mæn/	1434710
мағз	/maʁz/	547553
мева	/mevæ/	1597419
меҳан	/mehan/	3191325
мо	/mɔː/	1060390
модар	/mɔːdær/	1597390
мор	/mɔːr/	1296254
моҳӣ	/mɔːˈhiː/	1603032
музей	/muˈzej/	493494
мурдан	[murdæn]	1603269
мухлис		7880447
мӯ	/mɵ/	1603258
мӯй	/mɵj/	1603053
навиштан	/naviʃˈtan/	1653393
навохтан	/navɔxtan/	7376437
Наврӯз	[nævˈɾɵːz]	2932873
намак	/næmæk/	1603319
намедонам	[ˈnameˌdɔːnam]	3000885
намоз	[naˈmɔːz]	3922345
наҳр	/næhr/	1603312
нерӯ	/neɾɵː/	8555674
ном	/nɔːm/	59746
нохун	/nɔːxun/	1603057
нӯшидан	[nɵʃidæn]	1603072
об	[ɔːb]	104501
овардан	[ɔːvaɾˈdan]	1741897
озмудан	[ɔːzmudæn]	1741968
озодӣ		3410282
омадан	[ɔːmædæn]	1603277
он	/ɔːn/	47456
осон	[ɔːˈsɔːn]	3541975
офтоб	/ɔftɔb/	1603293
охир	/ɔːχiɾ/	3825751
ош	/ɔːʃ/	1615976
пазируфтан	[pæziruftæn]	1741936
панҷшанбе		1957844
Панҷшер	/pand͡ʒʃeɾ/	8267434
пар	/pær/	759735
паранда	/paɾanˈda/	7556660
парастидан		3189080
паридан	[paɾid̪an]	1603273
парранда	/paranˈda/	1603034
по	/pɔː/	42845
пой	/pɔːj/	1603059
Покистон	[pɔːkist̪ɔːn̪]	1758672
пролетарҳои ҳамаи мамлакатҳо, як шавед		7349651
пур	/pur/, tg, /pur/	1603263
пухтан	[puxtæn]	1987092
пушт	/puʃt/	1603065
пушти	/puʃti/	1603211
пӯст	/pɵːst/	1603048
рафиқ	[raˈfiq]	3901835
рафтан	[ræftæn]	1741938
рег	/reɡ/	1603339
реша	/reʃæ/	1603042
рон	[rɔːn]	2987213
ронҳо	[rɔːnˈhɔː]	2987215
рус	[rus]	3907577
русӣ	[ruˈsi]	2720111
рӯбоҳ	/rɵbɔːh/	1434726
рӯд	/rɵd/	1603302
рӯз		1379369
Рӯм	[rɵːm]	3945605
рӯфтан	[rɵftæn]	1741953
сабза	/sæbzæ/	1603045
саг	/sæɡ/	1603017
салом алайкум	/saˈlɔːm ʔaˈlajkum/	4299457
Салҷуқ		8380720
салҷуқӣ		8380745
санг	/sæŋ/	1603327
сар	/sær/	1389084
саҳифа	/sæhifa/	3844136
сешанбе	[seʃanbe]	1957822
соиқа	/sɔːjiqa/	3819626
сулфа	[sulˈfa]	2958067
сурфа	[sulˈfa]	3925346
тавонистан	/tavɔːnisˈtan/	3423656
таробарӣ	[tʰaɾɔːbaˈɾiː]	3939387
тарҷума	/taɾdʒuˈma/	2596729
то	/tɔː/	471248
тоҷик	/tɔːdʒik/	1603247
Тоҷикистон	/tɔː.d͡ʒi.kis.tɔːn/	691941
тоҷикӣ	/tɔːdʒɪˈkiː/	958597
ту	/t̪u/	1737978
тухм	/tuxm/	1603040
туҳмат	/tʊh.mat/	8629943
устухон	/ustuxɔːn/	1600506
уқоб	/uˈqɔːb/	3413149
фурӯпошӣ		3917514
фурӯхтан	/furɵːxˈtan/	3189063
фурӯшанда	/furɵːʃanˈda/	3414884
Халиҷи Форс	/xæliːdʒi foːɾs/	3627283
хандидан	[xændidæn]	1603083
харгӯш	/xaɾɡɵːʃ/	6472272
хатарнок	/xataɾˈnɔːk/	2954499
хоб	/xɔːb/	2749933
хобидан	[xɔːbiˈdæn]	1603266
хос	/xɔːs/	1601293
хоҳар	/xɔːhaɾ/	1601484
хун	/xun/	1603050
хӯрдан	[xɵːrˈdan]	1603077
чаридан	[tʃæridæn]	1741805
чашм	/tʃaʃm/	1603054
чаҳоршанбе		1957847
чинор	[t͡ʃʰiˈnɔːɾ]	3870727
чоршанбе		1961813
чӯб	/tʃɵb/	1603039
шайтонпарастӣ	/ʃajtonpaɾastˈi/	3762720
шанбе		1957830
шикам	/ʃikæm/	1603063
шимол	/ʃiˈmɔːl/	2985753
шод	[ʃɔːd̪]	3274072
шох	/ʃɔːx/	1603051
шоҳ	/ʃɔːh/	1615962
шоҳкор		3475978
шумо	/ʃumɔː/	1746245
Шумо	/ʃumɔː/	1746247
шуморидан	[ʃumɔːridæn]	1741917
шумурдан	[ʃumurdæn]	1741920
шунидан	[ʃunidan]	1603257
шустан	[ʃustæn]	1987067
шуш	[ˈʃuʃ]	7527554
якшанбе		1957819
ғ	/ʁ/	54683
Ғ	/ʁ/	172812
ғук	/ʁuk/	1434721
қалб	/qælb/	1603068
Қатар	/qataɾ/	8274230
қонун	/qɔːnun/	691940
қонунӣ	/qɔːnunij/	1601479
қочоқчӣ	/qɔːtʃɔːqtʃiː/	8123682
Қуния		8386022
