word	ipa	pageid
α	/a/	97973
αμέρα	/aˈme̞ra/	6831797
απέ	/aˈpe/	6831719
βότσχε	/ˈvotʃe/	6831969
βου	/vu/	6828278
γουναίκα	[ɣuˈne̞ka]	6419453
γρούσσα	/ˈɣɾusːa/	6419398
εζού	/e̞ˈzu/	6825864
είνι	/ˈiɲi/	6419429
εκιού	/e̞ˈcu/	6826929
εμού	/eˈmu/	5657924
επφέρζι	/e̞ˈpʰe̞ʒi/	6831822
έσι	/ˈesi/	6419500
θάσσα	/ˈθasa/	6419461
καούρ	/kaˈur/	6419502
κάτου	/ˈkatu/	6831749
κούε	/ˈkue̞/	6822185
κούλικα	/ˈkuʎika/	6833184
λιούκο	/ˈʎuko̞/	6812246
μάλι	/ˈmaʎi/	7210252
μάτη	/ˈmati/	1535545
νάμου	/ˈnamu/	6826962
νι	/ɲi/	225699
νιούμου	/ˈɲumu/	6826987
νιούτθα	/ˈɲutʰa/	6822191
ο	/o̞/	49828
ούρα	/ˈura/	672632
ποκήρι	/poˈciri/	6419419
σάμερε	/ˈsame̞re̞/	6831790
σάτη	/ˈsati/, tsd, /ˈsʲati/, tsd, /ˈʃati/	6820638
σι	/si/	5418067
σχίνα	/ˈʃina/	6831950
σχίντα	/ˈʃinda/	7178712
τάνου	/ˈtanu/	6831743
τθούμα	[ˈtʰuma]	4790237
τσαι	/t͡se̞/	6419407
ύο	/ˈi.o/	6825803
