word	ipa	pageid
abtej	/ʔä̃ʔmtʰɛh/	5584172
ajvalil	/ˈʔähβälil/	5648950
akʼ	/ʔäkʼ/	566152
ama	/ˈʔämä/	97031
ants	/ʔänt͡sʰ/	281177
atsʼam	/ˈʔät͡sʼäm/	5648983
bak	/ɓäkʰ/	221356
bakʼ	/ɓäkʼ/	5649008
balamil	/ˈɓälämil/	5446623
bat	/ɓätʰ/	5282
batsʼi	/ˈɓät͡sʼi/	5574643
batsʼi kʼop	/ˈɓät͡sʼi‿kʼɔpʰ/	5565523
be	/ɓɛ/	1810
bekʼtal	/ˈɓɛkʼtʰäl/	5577192
bikʼit	/ˈɓikʼitʰ/	5652038
boch	[ɓɔt͡ɕʰ]	4443470
bolom	/ˈɓɔlɔm/	5571750
buchʼu	/ˈɓut͡ɕʼu/	5565516
chanul pom	/ˈt͡ɕʰänul‿pʰɔm/	5652112
chij	/t͡ɕʰih/	5555600
chikinil	/ˈt͡ɕʰikʰinil/	5565702
chitom	/ˈt͡ɕʰitʰɔm/	5554691
chiʼilil	/t͡ɕʰiʔilil/	5577024
chon	/t͡ɕʰɔn/	1492297
chopol	/ˈt͡ɕʰɔpʰɔl/	5580038
chʼen	/t͡ɕʼɛn/	5578482
chʼichʼelil	/ˈt͡ɕʼit͡ɕʼɛlil/	5568161
chʼojon	/ˈt͡ɕʼɔhɔn/	5652087
chʼutil	/ˈt͡ɕʼutʰil/	5598165
eal	/ʔɛäl/	2156350
ep	/ʔɛpʰ/	211995
ibel	/ʔiʔɓɛl/	5575956
il	/ʔil/	50067
ixim	/ʔiɕim/	5565665
jol akan	/hɔl‿ʔäkʰän/	5657933
jolol	/hɔlɔl/	5565691
k'ucha'al	/kʼut͡ɕʰäʔäl/	5574633
karina	/ˈkʰäɾinä/	822051
kavron	/ˈkʰävɾɔn/	5721651
kaxlan vaj	/ˈkʰäɕlän‿βäh/	5565777
kaʼ	/kʰäʔ/	5604133
ko'ol	[ˈkʰɔʔɔl]	5574656
kot	/kʰɔtʰ/	50282
kotol	/kʰɔtʰɔl/	4540317
krixchano	/kʰɾiɕt͡ɕʰänɔ/	5565783
kuxlejal	/ˈkʰuɕlɛhäl/	5566418
kʼajomal	/kʼähɔmäl/	5577215
kʼalal	[ˈkʼäläl]	5945560
kʼokʼ	/kʼɔkʼ/	5569922
kʼop	/kʼɔpʰ/	5575498
kʼopoj	/kʼɔpʰɔh/	5450934
kʼusi	/kʼusi/	5574629
lek	/lɛkʰ/	88241
loʼbol	/lɔʔbɔl/	5607457
me'il	/mɛʔil/	5569402
mochol	/mɔt͡ɕʰɔl/	5647547
mu	/mu/	28942
mukʼta	/ˈmukʼtʰä/	5652041
na	/nä/	31465
nat	/nätʰ/	187324
ni'il	/niʔil/	5565716
nichim	/nit͡ɕʰim/	5446307
nopol	/nɔpʰɔl/	5602148
okol	/ˈʔɔkʰɔl/	5566400
p'ej	[pʼɛh]	5559458
paxakʼ	/pʰäɕäkʼ/	5607566
pukuj	/pʰukʰuh/	5606273
pus	/pʰus/	55111
satil	/sätʰil/	5565728
sob	/sɔʔm̥/	230879
sut	/sutʰ/	69875
t'anal	/tʼänäl/	5600634
t'ul	/tʼul/	5504564
ta jlikel	/tʰä‿hlikʰɛl/	5598197
ta ts'akal	/tʰä‿t͡sʼäkʰäl/	5604141
tak'in	/ˈtʰäkʼin/	5504258
tal	/tʰäl/	74038
te'	/tʰɛʔ/	5408124
teklumal	/ˈtʰɛkʰlumäl/	5575451
totil	/ˈtʰɔtʰil/	5569382
ts'iba	/ˈt͡sʼiʔɓä/	5674433
ts'ibaj	/ˈt͡sʼiʔɓäh/	5674432
tseb	/t͡sʰɛʔm̥/	5451089
tsekil	/ˈt͡sʰɛkʰil/	5653153
tsoj	/t͡sʰɔh/	5574649
tsots	/t͡sʰɔt͡sʰ/	5653307
tsukut	/ˈt͡sʰukʰutʰ/	5597897
u	/ʔu/	8704
vaj	/βäh/	264358
vakax	/ˈβäkʰäɕ/	5604165
vil	/vil/	559146
vo'	/vɔʔ/	5568157
voʼon	/vɔʔɔn/	5571751
voʼot	/vɔʔɔtʰ/	5571752
voʼotik	/vɔʔɔtʰikʰ/	5571754
voʼotikotik	/vɔʔɔtʰikʰɔtʰikʰ/	5571755
voʼox	[ˈvɔʔɔɕ]	7437259
vun	/vun/	3057223
xchiʼuk	/ˈɕt͡ɕʰiʔukʰ/	5449335
xinich	/ˈɕinit͡ɕʰ/	5571749
xiʼ	/ɕiʔ/	5604661
xiʼel	/ɕiʔɛl/	5604701
xtok	/ɕtʰɔkʰ/	5598152
ʼaʼ	/ʔäʔ/	6379694
