word	ipa	pageid
chàu	/cau⁵/	8673775
chường	/cɨəŋ⁵/	8243517
fạ	/fa⁶/	8378083
fạ mjẹp	/fa⁶ mʲɛp⁶/	8648483
hả	/ha˧˩˧/	6304991
khao	/xaw¹/	7489854
khuổi	/kʰuɔj³/	8356208
lồm	/lom⁵/	8683914
mi	/mi¹/	2677
mường	/mɨəŋ⁵/	6563900
ngù	/ŋu⁵/	2145439
nà	/na⁵/	482992
nặm	/nɐm⁶/	8242551
phuối		8329398
phân	/pʰən¹/	2155983
pja	/pʲa¹/	8510855
pì noọng	/pi⁵ nɔːŋ⁶/	8413993
slam	/ɬam¹/	62605
slam cooc	/ɬam¹ kɔːk⁷/	8677296
sloong	/ɬɔːŋ¹/	8242689
slí	/ɬi²/	3424659
slẩy	/ɬəj³/	8741156
slẻ	/ɬɛ³/	8741091
tha	/tʰa¹/	307936
tha vằn	/tʰa¹ vɐn⁵/	8439607
tu	/tu¹/	33327
đao hang	/ɗaw¹ haŋ¹/	8527158
đao đí	/ɗaw¹ ɗi²/	8368485
đều	/ɗew˨˩/	5879847
