word	ipa	pageid
bailo	/ˈbaj.lo/	360052
belumat	/be.lu.ˈmat/	2972797
benvegnuo	/beŋ.veˈɲu.o/	2973404
bixato	/bi.ˈza.to/	2972826
bixo	/ˈbi.zo/	826347
boschier	/bos.ˈkjer/	6948254
boton	/boˈtoŋ/	1849867
budin	/buˈdiŋ/	2972988
butiro	/buˈti.ɾo/	2972989
bòsch	/bɔsk/	6948262
can	/kaŋ/	1574
carega	/kaˈrɛːɡa/	826345
ceste	/ˈt͡ʃeste/	791080
cexa	/ˈtʃe.za/	3056176
Cexa	/ˈtʃe.za/	7888895
clase	/ˈklase/	329965
cocal	/ko.ˈkal/	3056182
det	[det]	49392
fajàn	/fa.ˈjaŋ/	3174439
fenocio	/feˈnɔt͡ʃo/	988215
freschin	/fres.ˈkiŋ/	4464714
fum	/fum/	273857
gat	/ˈɡat/	65872
gato	/ˈɡa.to/	46582
grixo	/ˈɡɾi.zo/	3052223
l'è	/ˈlɛ/	5010291
labarda	/la.ˈbar.da/	4183927
lach	/lak/	235707
leon	/leˈoŋ/	188223
magon	/mɑˈɡon/	1046244
marangon	/ma.ɾaŋˈɡoŋ/	7850729
marìo	/maˈri.o/	3059874
medexina	[medeˈzina]	3060441
muso	/ˈmu.so/	262063
nòme	/ˈnɔme/	6948272
pagar	/paˈɡar/	258256
pan	/paŋ/, /pan/	499412
piat	/pjat/	3279219
picar	/piˈkar/	263095
puìna	/puˈi.na/	6368550
rixi e bixi	/ˈɾi.zi e ˈbi.zi/	3053321
rèla	/ˈrɛ.la/	4662579
rùxene	/ˈru.ze.ne/	3067531
sapar	/sa.ˈpar/	3666435
sbrixołona	/zbɾi.zoˈɰo.na/	3058551
sginsała	/zd͡ʒinˈsä.e̯ä/	3058556
sità	/si.ˈta/	324099
sopresar	[so.pre.ˈsar]	4077378
sotopòrtego	/ˌsotoˈpɔrteɡo/	3066027
Spagna	/ˈspa.ɲa/	86464
stagion	/staˈd͡ʒoŋ/	7802717
stria	/ˈstria/	82089
striga	/ˈstri.ɡa/	321605
strucar	/stɾuˈkaɾ/	4580172
sòrt	[ˈsɔrt]	4409885
tiramesù	/ˌti.ɾa.meˈsu/	3060256
traversar	/traverˈsar/	3075942
tren	/ˈtrɛŋ/	50735
union	/uˈnjoŋ/	35271
uvi	/ˈuvi/	276403
va	/va/	51558
val	/val/	51748
vin	/viŋ/	74876
vènt	/vɛŋt/	4195327
xaca	/ˈza.ka/	2976406
àxeno	/ˈa.ze.no/	2971150
èser	/ˈɛ.ser/	2970398
