word	ipa	pageid
åjhey	/ɔː.ˈʒɛj/	3508227
aler	/ale/	1884710
aschoûtrece	/a.skuːˈtʀɛs/	6948961
avou	/avu/	2193956
berbis	/bɛʀbi/	3154950
bladje	/blat͡ʃ/	4900187
copete	/kɔpɛt/	921213
coujhene	/kuːʒɛn/	4242096
crole	/kʀɔl/	3645643
crosse	/kʀɔs/	518728
dijh	/diʒ/	2090277
diski	/diski/	2377800
djåzer	/d͡ʒɔː.ˈze/, /d͡ʒaː.ˈze/, /d͡ʒoː.ˈze/	3549932
fier	/fjɛːʀ/	24209
five	/fiːf/	1696
frexh	/fʀɛç/	3514318
hay	/haj/	6401
Lompré	/lɔ̃pʀe/, wa, /lɔ̃pʀɛ/	2415861
lotchet	/lɔt͡ʃɛ/	3767407
lyi	/lji/, wa, /liː/	3791087
nedjî	/nɛ.d͡ʒiː/	3549944
nive	/niːf/	2135484
plaece	/plɛs/	3828658
polene	/pɔlɛn/	1104746
pougn	/puɲ/	3668996
raecene	/ʀɛ.sɛn/	3549983
råyî	/ʀɔːjiː/	3796243
rinde	/ʀɛ̃t/	177271
saetchî	/sɛt͡ʃiː/	3549951
schome	/skɔm/, wa, /hɔm/, wa, /ʃym/, wa, /skum/	4242100
schôpyî	/skoːpjiː/, wa, /ʃoːpjiː/, wa, /hoːpiː/	3836474
sovint	/sɔˈvɛ̃/	1742302
sprewe	/spʀɛw/	3692455
tchampinne	/t͡ʃãpɛ̃n/	3689345
tchår	/tʃɔːʀ/	3872499
tchestea	/t͡ʃɛstja/, /t͡ʃɛstɛː/	1454004
tcheyire	/t͡ʃɛ.jiːʀ/	4451121
timpe	/tɛ̃p/	3873473
toet	/twɛ/, /tøː/	1504503
traite	/tʀɛːt/, /tʀet/	547070
trîxhe	/tʀiːç/	3808451
vatche	/vat͡ʃ/	4428070
waerbea	/wɛʀbja/	3887695
xhorbi	/ʃɔʀ.bi/	3549961
zonôze	/zɔnɔːs/	6884015
