word	ipa	pageid
aaintj	[ɛ̀ɲ̊t͡ɕ], [ɑ̀ɪ̯ɲ̊t͡ɕ]	6074895
aak	/²ɑːk/	231861
aakt	, [ɑ̀ktʰ], [àktʰ], [æ̀ktʰ]	6134937
aga	[ɑ̀ːɣɐ], [òːɣɐ]	281950
aggsi	[ˈè̞ɪ̯ɡʲːˌsiː], gmq-bot, [ˈæ̀ɡʲːˌsiː], gmq-bot, [ˈɑ̀ɡːˌsiː]	7284775
aigg	/ɛ́ɡː/, /ɑ́ɪ̯ɡː/, [ɛ́kː], [ɑ́ɪ̯kː]	6069832
ainlaitt	[ˈè̞ɪ̯ːɳˌɭétʰː], gmq-bot, [ˈæ̀ɪ̯ːɳˌɭǽɪ̯tʲʰː], gmq-bot, [ˈèːɳˌɭétʰː], gmq-bot, [ˈɛ̀ɪ̯ːɳˌɭɛ́ɪ̯tʰː]	7047572
aller se	/²ɑlːe̞r seː/	7093686
allt åm senn	/ɑlt ɔm ˈsenː/	7093698
alltin	/²ɑlːˌten/, gmq-bot, /ˈɔlːl̥tɪn/	6381439
almast	/²ɑɽmɑst/	7284727
ammin	/²amːiːɳ/, gmq-bot, /²æmːiːɳ/, gmq-bot, /²ɑmːiːɳ/	6622067
andörj	/²ɑːnˌyːle/, gmq-bot, /²ɑnːˌyːlɪ/, gmq-bot, /²anːˌdœːrɪ/, gmq-bot, /²ɑnːˌdœːrɪ/, gmq-bot, /²ɑnːˌdɑrːj/, /²ɑnːˌdœrːj/, gmq-bot, /²ɑnːˌdɪlʲːj/, gmq-bot, /anːˈdœre/	6331419
annehvar	/²ænːˌvoːr/	6324506
annt	/ænt/	6302393
ar	[ɑ́ːɾ], [áːɾ], gmq-bot, [óːɾ], [ɑ́ːɾ], gmq-bot, [óːɾ], [ɑ́ːɾ], gmq-bot, [óːɾ], [ɑ́ːɾ]	31467
arg	/ˈaːre/, /ˈæːrɪ/, /ˈærɡʲ/, /ˈærːj/	265998
asint	[ɑ̀sːɪnt], gmq-bot, [ɑ̀ːse̞ɪ̯nʲtʲ], gmq-bot, [ɑ̀ːsæɪ̯nʲtʲ], gmq-bot, [ɑ̀ːsɪnt], gmq-bot, [òːsʊ(n)t], gmq-bot, [òsɪt]	7284594
atahl	[ˈɑ̀ːˌtʰɑːɽ]	6297142
atan	[²ɑː.tɐɳ], gmq-bot, [²ɑː.tɐɳ], gmq-bot, [²æː.tɐɳ], gmq-bot, [²ɑː.tɐɳ], [²ɑː.ʈɐɳ], gmq-bot, /²ɑː.tɐɳ/, gmq-bot, [²æː(r̯)ʈɐɳ]	1229311
att	/ɑt/, /ɑtː/, gmq-bot, /ɑtː/	254615
atve	/ɑ(ː)tʋe̞/	7214649
auk	/²æɵ̯ːk/, gmq-bot, /²eʊ̯ːk/, gmq-bot, /éʊ̯ːk/	59979
bain	/ˈbeɪ̯ːn/, /ˈbeɪ̯ːɳ/, /ˈbeːɳ/, /ˈbe̞ɪ̯ːɳ/, /ˈbäɪ̯ːɳ/, /ˈbɑːɳ/, /ˈbäɪ̯ːn/	212173
baingjel	[bæ̀ɪ̯ɲːje̞l], gmq-bot, [bàɪ̯ɲːje̞l], gmq-bot, [bɛ̀ŋːe̞ɽ]	6388142
