word	ipa	pageid
आँभु		8016480
इॽठोप		8018154
एन्‍ढि		8019976
का		266033
किङ्‌मे़ॽला		8020030
किसा		8016493
के़ए़		8031445
कोक्चुम		8018138
खनावा		8020725
खपेटा		8016496
खाइमा		8020726
खाप		7902747
खाम्‍डाङ		8032401
खाम्‍बुक		8020032
खासा		8020031
खाॽला		8020727
खिम		8016502
खिरिक		8016501
खिसाक		8016500
खुङ्‌सा		8016499
खो		8018167
खोइॽए		8031446
खोरे़		8017555
गिबा		8016542
ङाजिक		8016543
चम		8016545
चा		417501
चिउरिङ		8019420
चुक		8017246
चुङ्‌नम		8017248
चेॽठाम		8018143
चोक्पा		8017131
चोक्‍चि		8020028
चोफुक्‍ला		8018130
चोमोलोङ्‍मा		8018134
चोरा		8018124
जिउ		8017129
टाङ		8017127
टुबालाबा		8020038
ठाक्‍पा		8017126
ठुक्‍ला		8017124
डप्‍को		8019417
डिहि		8019301
डुक्‍घ्‍रेक		8016546
डुम्‍खुरा		8017123
डुम्‍रुक		8017122
डुम्‍हाङ		8019300
तुक		5375104
थाउरुम		8019297
दोस्‍कार		8019998
ननि		8019295
नम्‍डेम		8019294
नाॽउ		8018535
निवा		8019293
निॽचि		8018554
नुच्‍चि		8018511
नेए़क		8020027
पक्‍पक्मा		8019291
पयाक		8018444
पस्‍ना		8018474
पाक्‍देङ		8018500
पिक		8017155
पिक्‍पुसा		8019290
पितोङ्सि		8017554
पिम्‍भि		8020110
पुडाङ		8020114
पुवाबु		8018315
पे़पु		8020033
पोबोक		8018475
फाक्‍मा		8016487
फाखामा		8016538
फाबु		8016540
फेॽवा		8016484
फोकुन्डोइक		8016489
फॽवा		8016485
मक्‍मिॽ		8019416
मखुवा		8019412
माःक्‍सा		8016453
माक्लुङ्बिक		8016478
माक्‍तेङ		8016465
मागुप		8019408
माङ्सुक		8016476
मिॽवा		8019407
मे़ःॽमा		8019385
मे़ॽखु		8019383
रङ		7790163
रप्‍खे़ॽवा		8018343
रम		2466072
राङ्‌खे़ॽवासि		8031438
राङ्‍घाॽवा		8031443
राजिमि		8031442
राजिराङ्‌मा		8031441
रिक्‍ना		8020131
रिङ्बु		8018278
रिजि		8018249
रुङ्सेप्पा		8019289
ला		5455679
लेन		8031440
लेम		8031437
वया		8031420
वाइङ		8031426
वाक्‍पा		8020050
वाफिमा		8031038
वाबोक्ला		8020049
सङ्‌गि		8020019
सजङ		8020009
समिक		8020006
समिक्‍पा		8020008
सम्‍फि		8020004
सयचोङ		8031404
ससोक		8020048
साँङा		8020003
साउक		8020001
साङ्‌याङ		8031411
साटा		8031410
साधि		8031408
साप्‍फि		8031412
साम		6145382
सिङाक		8019994
सिङ्‌		8017194
सिङ्‌बु		8019996
सिचउवा		8017559
सुःक्मारा		8020046
सेमाङ		8031414
से़ला		8020034
सेॽकोॽवा		8019997
सोःक्‍मा		8019990
सोङ		8031417
सोङा		8031415
सोङ्‌घेङ		8031419
सोङ्‌रा		8031418
सोरि		6252978
ह:पक		8022841
हउरम्बा		8022843
हचोक्टोक		8022844
हरि		904366
हुक		8018151
